"time","type","value"
2010,"consumption",1505.0943330851
2010,"withdrawal",44641.2560987758
2012,"consumption",1359.3501260891
2012,"withdrawal",36620.5375150305
2014,"consumption",1412.01686328756
2014,"withdrawal",38639.2356019465
2016,"consumption",1263.04721953669
2016,"withdrawal",32573.0883113683
2018,"consumption",1250.0717085985
2018,"withdrawal",31669.2582004339
2020,"consumption",1274.24103979384
2020,"withdrawal",31743.4497010722
2022,"consumption",1286.83293467479
2022,"withdrawal",31086.5729156502
2024,"consumption",1303.11350079582
2024,"withdrawal",31145.8218710989
2026,"consumption",1312.02157068071
2026,"withdrawal",31065.4520313305
2028,"consumption",1309.82847420159
2028,"withdrawal",30842.0139377297
2030,"consumption",1290.6343969263
2030,"withdrawal",29500.2243623581
2032,"consumption",1286.3645954561
2032,"withdrawal",28287.1558131598
2034,"consumption",1287.05276765701
2034,"withdrawal",27253.3427717588
2036,"consumption",1293.27573798778
2036,"withdrawal",26682.867304535
2038,"consumption",1288.38058413413
2038,"withdrawal",26296.8895724348
2040,"consumption",1283.90241599192
2040,"withdrawal",25728.4870875726
2042,"consumption",1256.53321986011
2042,"withdrawal",24643.7089301009
2044,"consumption",1208.97839423152
2044,"withdrawal",23100.9960163261
2046,"consumption",1125.9132214609
2046,"withdrawal",19946.5877034767
2048,"consumption",1023.29019887708
2048,"withdrawal",17268.1402972099
2050,"consumption",946.57697547155
2050,"withdrawal",15461.4419053372
