"gid","time","value","type"
"AL",2010,1778.9613708467,"withdrawal"
"AL",2012,1334.65594219613,"withdrawal"
"AL",2014,1458.61813968987,"withdrawal"
"AL",2016,1373.81978421908,"withdrawal"
"AL",2018,1375.40896959251,"withdrawal"
"AL",2020,1472.4342156559,"withdrawal"
"AL",2022,1480.3049000326,"withdrawal"
"AL",2024,1615.00621396656,"withdrawal"
"AL",2026,1622.96881312662,"withdrawal"
"AL",2028,1650.92027466343,"withdrawal"
"AL",2030,1630.63235147927,"withdrawal"
"AL",2032,1606.41736617307,"withdrawal"
"AL",2034,1622.16308370259,"withdrawal"
"AL",2036,1627.14144853169,"withdrawal"
"AL",2038,1646.10221344698,"withdrawal"
"AL",2040,1653.10276005716,"withdrawal"
"AL",2042,1654.66101542107,"withdrawal"
"AL",2044,1621.86659745921,"withdrawal"
"AL",2046,1431.56957261697,"withdrawal"
"AL",2048,1242.21636771951,"withdrawal"
"AL",2050,1238.38628239259,"withdrawal"
"AR",2010,72.1409744304543,"withdrawal"
"AR",2012,52.0784111679219,"withdrawal"
"AR",2014,71.8548636229858,"withdrawal"
"AR",2016,32.773295767986,"withdrawal"
"AR",2018,51.7982082045216,"withdrawal"
"AR",2020,56.310072215767,"withdrawal"
"AR",2022,56.6359236043815,"withdrawal"
"AR",2024,59.0623358978114,"withdrawal"
"AR",2026,59.5842634424862,"withdrawal"
"AR",2028,59.4212111051358,"withdrawal"
"AR",2030,60.4291712650056,"withdrawal"
"AR",2032,59.874695844159,"withdrawal"
"AR",2034,61.6079954513732,"withdrawal"
"AR",2036,62.5225121509156,"withdrawal"
"AR",2038,62.4117357523319,"withdrawal"
"AR",2040,64.1353685202035,"withdrawal"
"AR",2042,64.742976755497,"withdrawal"
"AR",2044,65.7893463718888,"withdrawal"
"AR",2046,66.0638202696547,"withdrawal"
"AR",2048,72.4547385213989,"withdrawal"
"AR",2050,72.1321839628971,"withdrawal"
"AZ",2010,111.816333009388,"withdrawal"
"AZ",2012,113.096139884218,"withdrawal"
"AZ",2014,112.923190941952,"withdrawal"
"AZ",2016,84.9174987043844,"withdrawal"
"AZ",2018,87.7911556572576,"withdrawal"
"AZ",2020,80.4535656972955,"withdrawal"
"AZ",2022,80.7981295475437,"withdrawal"
"AZ",2024,69.2216851358459,"withdrawal"
"AZ",2026,69.7036677958172,"withdrawal"
"AZ",2028,69.5738410899499,"withdrawal"
"AZ",2030,68.5523403009558,"withdrawal"
"AZ",2032,68.42082489856,"withdrawal"
"AZ",2034,68.8841316627371,"withdrawal"
"AZ",2036,68.565968252167,"withdrawal"
"AZ",2038,69.8368191633994,"withdrawal"
"AZ",2040,69.0789449527446,"withdrawal"
"AZ",2042,70.2224617860995,"withdrawal"
"AZ",2044,70.0402464423572,"withdrawal"
"AZ",2046,69.5969012813609,"withdrawal"
"AZ",2048,70.1687526273612,"withdrawal"
"AZ",2050,63.69890757604,"withdrawal"
