"time","type","value"
2010,"price",107.71049586857
2012,"price",106.263676544393
2014,"price",109.574711718254
2016,"price",106.633330727612
2018,"price",106.914737425735
2020,"price",108.500494766351
2022,"price",108.04997855299
2024,"price",107.366105834198
2026,"price",108.609873517636
2028,"price",108.298078969804
2030,"price",108.46913921082
2032,"price",108.275046307965
2034,"price",107.866524699099
2036,"price",107.288939409889
2038,"price",108.428837780155
2040,"price",107.864359287419
2042,"price",106.623967276588
2044,"price",104.442887889393
2046,"price",104.774607727331
2048,"price",105.404622423364
2050,"price",105.421246052693
2010,"comp_p",48.7362909970863
2012,"comp_p",33.6012537713279
2014,"comp_p",44.1206013456461
2016,"comp_p",28.8349255495628
2018,"comp_p",33.1496186795738
2020,"comp_p",37.0129566367364
2022,"comp_p",37.5669600160378
2024,"comp_p",38.0597607014926
2026,"comp_p",40.1409924284462
2028,"comp_p",39.8142781567758
2030,"comp_p",40.0425556862786
2032,"comp_p",39.4924331360456
2034,"comp_p",39.3231554095693
2036,"comp_p",39.9803414176063
2038,"comp_p",40.8068842013584
2040,"comp_p",40.8692238808428
2042,"comp_p",41.0304393013538
2044,"comp_p",42.3273316481419
2046,"comp_p",43.8779841368658
2048,"comp_p",45.5441358678393
2050,"comp_p",45.0386085510752
