"gid","time","tech","value"
"AL",2010,"Nuclear",0.264541547468801
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0143496849934259
"AL",2010,"NG-CT",0.00103834165028125
"AL",2010,"Offshore Wind",0
"AL",2010,"Utility PV",0
"AL",2010,"Land-based Wind",5.55477613607886e-07
"AL",2010,"Coal",0.177542044882962
"AL",2010,"Geothermal",0
"AL",2010,"Rooftop PV",0
"AL",2010,"NG-CC",0.476540756271504
"AL",2010,"CSP",0
"AL",2010,"Hydro",0.0659870692554122
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Geothermal",0
"AL",2012,"Utility PV",0
"AL",2012,"Land-based Wind",6.48982636649942e-07
"AL",2012,"Nuclear",0.309072529250387
"AL",2012,"Coal",0.0491391775396292
"AL",2012,"Rooftop PV",0
"AL",2012,"NG-CC",0.565205468084801
"AL",2012,"Biopower",0.015077788132399
"AL",2012,"Hydro",0.0601511501528566
"AL",2012,"NG-CT",0.00135323785729117
"AL",2012,"Offshore Wind",0
"AL",2012,"CSP",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.079719460319043
"AL",2014,"Offshore Wind",0
"AL",2014,"Biopower",0.0130650156828314
"AL",2014,"Nuclear",0.301110115589083
"AL",2014,"Geothermal",0
"AL",2014,"Utility PV",0
"AL",2014,"NG-CT",0.000850588652511314
"AL",2014,"CSP",0
"AL",2014,"Imports",0
"AL",2014,"Land-based Wind",5.48256144592629e-07
"AL",2014,"Coal",0.129662583205648
"AL",2014,"NG-CC",0.47558310082468
"AL",2014,"Rooftop PV",8.58747005807674e-06
"AL",2016,"Geothermal",0
"AL",2016,"Nuclear",0.315580641864838
"AL",2016,"Coal",0.0973545312738346
"AL",2016,"Utility PV",0.000511078805712431
"AL",2016,"NG-CC",0.509203372020037
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Imports",0
"AL",2016,"Rooftop PV",1.76021959628124e-05
"AL",2016,"Offshore Wind",0
"AL",2016,"CSP",0
"AL",2016,"Hydro",0.0646272930361024
"AL",2016,"NG-CT",0.00123489655768409
"AL",2016,"Biopower",0.0114700096419974
"AL",2016,"Land-based Wind",5.74603831154572e-07
"AL",2018,"Hydro",0.065930055860418
"AL",2018,"Biopower",0.0139689069075894
"AL",2018,"Nuclear",0.321942145015921
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Rooftop PV",4.17482484524519e-05
"AL",2018,"Utility PV",0.00277165159205382
"AL",2018,"NG-CC",0.502677571628147
"AL",2018,"Land-based Wind",6.75951356168569e-07
"AL",2018,"Geothermal",0
"AL",2018,"Imports",0
"AL",2018,"NG-CT",0.00126364248394798
"AL",2018,"Offshore Wind",0
"AL",2018,"Coal",0.0914036023121132
"AL",2018,"CSP",0
"AL",2020,"NG-CT",0.00102794066907151
"AL",2020,"Utility PV",0.00311359612985055
"AL",2020,"Coal",0.124844840727921
"AL",2020,"Rooftop PV",4.77374012504902e-05
"AL",2020,"Offshore Wind",0
"AL",2020,"Hydro",0.0763864635534755
"AL",2020,"NG-CC",0.413493268929696
"AL",2020,"Geothermal",0
"AL",2020,"CSP",0
"AL",2020,"Biopower",0.0158474877376175
"AL",2020,"Imports",0
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Nuclear",0.365237897933885
"AL",2020,"Land-based Wind",7.6691723208741e-07
"AL",2022,"NG-CC",0.413161566890835
"AL",2022,"Imports",0
"AL",2022,"Rooftop PV",4.70482080795367e-05
"AL",2022,"Coal",0.131813837360371
"AL",2022,"Nuclear",0.359690534229267
"AL",2022,"NG-CT",0.0014118072056194
"AL",2022,"Offshore Wind",0
"AL",2022,"Biopower",0.015606790431061
"AL",2022,"Geothermal",0
"AL",2022,"Utility PV",0.00303349604244071
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"Land-based Wind",8.64098254752379e-06
"AL",2022,"CSP",0
"AL",2022,"Hydro",0.0752262786497791
"AL",2024,"Coal",0.17622097537616
"AL",2024,"Utility PV",0.00293009056565792
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Rooftop PV",4.64928739081617e-05
"AL",2024,"Biopower",0.0152231541397954
"AL",2024,"Geothermal",0
"AL",2024,"NG-CT",0.00125806571503186
"AL",2024,"Offshore Wind",0
"AL",2024,"NG-CC",0.38004196200267
"AL",2024,"CSP",0
"AL",2024,"Land-based Wind",5.32975768564576e-05
"AL",2024,"Hydro",0.0733771136549399
"AL",2024,"Imports",0
"AL",2024,"Nuclear",0.35084884809498
"AL",2026,"Coal",0.21244538608894
"AL",2026,"Biopower",0.0153363968807023
"AL",2026,"Offshore Wind",0
"AL",2026,"CSP",0
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"Rooftop PV",4.86617303918399e-05
"AL",2026,"NG-CT",0.00138186828195596
"AL",2026,"Land-based Wind",6.06718470644987e-05
"AL",2026,"Utility PV",0.00292317662056947
"AL",2026,"Imports",0
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.073922954903988
"AL",2026,"NG-CC",0.340422124041781
"AL",2026,"Nuclear",0.353458759604607
"AL",2028,"Utility PV",0.0406050688630835
"AL",2028,"Offshore Wind",0
"AL",2028,"Biopower",0.0159997365570359
"AL",2028,"Rooftop PV",5.46732288009063e-05
"AL",2028,"CSP",0
"AL",2028,"Land-based Wind",7.89113309651189e-05
"AL",2028,"Coal",0.238406935137207
"AL",2028,"Imports",0
"AL",2028,"NG-CT",0.0010378162251148
"AL",2028,"Nuclear",0.368746784622296
"AL",2028,"Oil-Gas-Steam",0
"AL",2028,"Geothermal",0
"AL",2028,"Hydro",0.0784278672664334
"AL",2028,"NG-CC",0.256642206769063
"AL",2030,"Utility PV",0.0347366764101203
"AL",2030,"Offshore Wind",0
"AL",2030,"Biopower",0.0138315449078321
"AL",2030,"Land-based Wind",6.82094628676981e-05
"AL",2030,"Rooftop PV",5.5532016597867e-05
"AL",2030,"CSP",0
"AL",2030,"NG-CT",0.000897177379926282
"AL",2030,"Oil-Gas-Steam",0
"AL",2030,"Nuclear",0.318776355656876
"AL",2030,"Imports",0
"AL",2030,"Geothermal",0
"AL",2030,"Hydro",0.0680165345911479
"AL",2030,"Coal",0.18114833461273
