"gid","time","value","type"
"AL",2010,1828.45051077104,"withdrawal"
"AL",2012,1360.97071672862,"withdrawal"
"AL",2014,1614.02574945865,"withdrawal"
"AL",2016,1392.2394661034,"withdrawal"
"AL",2018,1383.36602653726,"withdrawal"
"AL",2020,1466.38642609633,"withdrawal"
"AL",2022,1480.59515839766,"withdrawal"
"AL",2024,1588.45163663231,"withdrawal"
"AL",2026,1623.60493940245,"withdrawal"
"AL",2028,1627.18575282596,"withdrawal"
"AL",2030,1610.6362408773,"withdrawal"
"AL",2032,1583.01231656526,"withdrawal"
"AL",2034,1620.13071388168,"withdrawal"
"AL",2036,1626.55047356348,"withdrawal"
"AL",2038,1660.57396615188,"withdrawal"
"AL",2040,1661.31381847789,"withdrawal"
"AL",2042,1684.49667548084,"withdrawal"
"AL",2044,1618.94964405358,"withdrawal"
"AL",2046,1427.46321820631,"withdrawal"
"AL",2048,1242.15441188066,"withdrawal"
"AL",2050,1235.63193951288,"withdrawal"
"AR",2010,73.0005693798221,"withdrawal"
"AR",2012,52.0452958067594,"withdrawal"
"AR",2014,71.3582389483467,"withdrawal"
"AR",2016,34.5091234948477,"withdrawal"
"AR",2018,51.5316746807588,"withdrawal"
"AR",2020,52.2528730988642,"withdrawal"
"AR",2022,52.8297570276095,"withdrawal"
"AR",2024,52.7994871366288,"withdrawal"
"AR",2026,53.2201436007723,"withdrawal"
"AR",2028,53.0181937563608,"withdrawal"
"AR",2030,51.2578934563815,"withdrawal"
"AR",2032,52.2007283368573,"withdrawal"
"AR",2034,56.9920482527922,"withdrawal"
"AR",2036,60.4046639391479,"withdrawal"
"AR",2038,60.778432581198,"withdrawal"
"AR",2040,60.9280432948864,"withdrawal"
"AR",2042,61.0907739344369,"withdrawal"
"AR",2044,61.2590338179924,"withdrawal"
"AR",2046,63.5556885024121,"withdrawal"
"AR",2048,62.4523295387953,"withdrawal"
"AR",2050,59.7910765277142,"withdrawal"
"AZ",2010,112.1717563754,"withdrawal"
"AZ",2012,113.218070971929,"withdrawal"
"AZ",2014,113.96614508931,"withdrawal"
"AZ",2016,85.8012004804789,"withdrawal"
"AZ",2018,88.595574792199,"withdrawal"
"AZ",2020,81.8700284485376,"withdrawal"
"AZ",2022,81.9189982305433,"withdrawal"
"AZ",2024,70.2664361811725,"withdrawal"
"AZ",2026,70.1520924539848,"withdrawal"
"AZ",2028,70.5939553474512,"withdrawal"
"AZ",2030,69.176612946311,"withdrawal"
"AZ",2032,69.632750538051,"withdrawal"
"AZ",2034,70.5321198082426,"withdrawal"
"AZ",2036,70.6596918890581,"withdrawal"
"AZ",2038,70.7834416333154,"withdrawal"
"AZ",2040,70.4819592495356,"withdrawal"
"AZ",2042,70.528253042033,"withdrawal"
"AZ",2044,69.6317540508319,"withdrawal"
"AZ",2046,69.8492287913548,"withdrawal"
"AZ",2048,69.8263569033242,"withdrawal"
"AZ",2050,63.8585112610779,"withdrawal"
"CA",2010,1963.40398914528,"withdrawal"
"CA",2012,1807.70146680038,"withdrawal"
"CA",2014,1071.68382025154,"withdrawal"
"CA",2016,1071.99385096058,"withdrawal"
"CA",2018,1051.91070940337,"withdrawal"
"CA",2020,1033.59064385446,"withdrawal"
"CA",2022,1024.9536130487,"withdrawal"
"CA",2024,612.813909866441,"withdrawal"
"CA",2026,184.853919455647,"withdrawal"
"CA",2028,133.906647439234,"withdrawal"
"CA",2030,100.844256748661,"withdrawal"
"CA",2032,110.909907248072,"withdrawal"
"CA",2034,107.482615494399,"withdrawal"
"CA",2036,110.653221809184,"withdrawal"
"CA",2038,120.357257651332,"withdrawal"
"CA",2040,118.223778963709,"withdrawal"
"CA",2042,116.713170598285,"withdrawal"
"CA",2044,117.008125220935,"withdrawal"
"CA",2046,117.576777442632,"withdrawal"
"CA",2048,120.569483565762,"withdrawal"
"CA",2050,109.676665464863,"withdrawal"
"CO",2010,77.8394788209225,"withdrawal"
"CO",2012,75.074164130065,"withdrawal"
"CO",2014,74.5694941685431,"withdrawal"
"CO",2016,71.7225322163791,"withdrawal"
"CO",2018,56.3560392275976,"withdrawal"
"CO",2020,51.3381448514015,"withdrawal"
"CO",2022,53.9066749812369,"withdrawal"
"CO",2024,54.7473959725089,"withdrawal"
"CO",2026,53.2247430240253,"withdrawal"
"CO",2028,53.4866797146097,"withdrawal"
"CO",2030,53.3971472849949,"withdrawal"
"CO",2032,53.4241526242918,"withdrawal"
"CO",2034,53.2886890615256,"withdrawal"
"CO",2036,53.915466968588,"withdrawal"
"CO",2038,53.8137497144388,"withdrawal"
"CO",2040,52.3490615328385,"withdrawal"
"CO",2042,52.2697082928848,"withdrawal"
"CO",2044,49.6788803061315,"withdrawal"
"CO",2046,49.4278629609969,"withdrawal"
"CO",2048,47.153514563878,"withdrawal"
"CO",2050,43.5849229112617,"withdrawal"
