"time","tech","value"
2010,"Nuclear",100.9359945
2010,"Coal",309.886015556229
2010,"Oil-Gas-Steam",107.000063
2010,"NG-CC",212.319256668182
2010,"NG-CT",136.160526
2010,"Hydro",75.873188
2010,"Geothermal",2.487
2010,"Biopower",6.91822
2010,"Land-based Wind",39.7232308422099
2010,"Offshore Wind",0
2010,"CSP",0.48414
2010,"PV",1.73868316995091
2010,"Storage",22.24305
2012,"Nuclear",102.092324738588
2012,"Coal",304.110865529072
2012,"Oil-Gas-Steam",98.7583523636364
2012,"NG-CC",226.958408113804
2012,"NG-CT",142.177057459775
2012,"Hydro",75.96487
2012,"Geothermal",2.6334
2012,"Biopower",7.250269
2012,"Land-based Wind",58.2956758422099
2012,"Offshore Wind",0
2012,"CSP",0.550187
2012,"PV",7.25485746884545
2012,"Storage",22.24305
2014,"Nuclear",98.3142039428189
2014,"Coal",294.765623084645
2014,"Oil-Gas-Steam",91.883601
2014,"NG-CC",240.519690778851
2014,"NG-CT",144.61074139223
2014,"Hydro",76.29487
2014,"Geothermal",2.7222
2014,"Biopower",7.7032096056338
2014,"Land-based Wind",64.7889918422099
2014,"Offshore Wind",0
2014,"CSP",1.784587
2014,"PV",17.6897910909091
2014,"Storage",22.24305
2016,"Nuclear",99.2065124105142
2016,"Coal",265.086242796875
2016,"Oil-Gas-Steam",93.159991
2016,"NG-CC",250.122315096916
2016,"NG-CT",145.495262968836
2016,"Hydro",76.349499
2016,"Geothermal",2.773574
2016,"Biopower",7.7751196056338
2016,"Land-based Wind",81.0047808422099
2016,"Offshore Wind",0.03
2016,"CSP",1.894587
2016,"PV",36.5752863636364
2016,"Storage",22.24305
2018,"Nuclear",96.0879167791532
2018,"Coal",253.307013
2018,"Oil-Gas-Steam",75.822446
2018,"NG-CC",272.095915151286
2018,"NG-CT",144.241066968836
2018,"Hydro",78.599499
2018,"Geothermal",3.673574
2018,"Biopower",7.75259723176314
2018,"Land-based Wind",96.3869013445422
2018,"Offshore Wind",0.0300022385316306
2018,"CSP",1.894587
2018,"PV",60.1243209381818
2018,"Storage",22.3346887620097
2020,"Nuclear",97.3797167791532
2020,"Coal",248.075713
2020,"Oil-Gas-Steam",68.831346
2020,"NG-CC",276.708274133507
2020,"NG-CT",143.469280968836
2020,"Hydro",80.239946
2020,"Geothermal",5.698574
2020,"Biopower",7.75259705994084
2020,"Land-based Wind",118.551033771386
2020,"Offshore Wind",0.0300022385316306
2020,"CSP",1.894587
2020,"PV",106.688105908486
2020,"Storage",22.3349448980076
2022,"Nuclear",96.3391167791532
2022,"Coal",219.316280888889
2022,"Oil-Gas-Steam",64.230371
2022,"NG-CC",276.462007780258
2022,"NG-CT",146.52679365102
2022,"Hydro",80.3288875
2022,"Geothermal",5.698574
2022,"Biopower",7.75259675995864
2022,"Land-based Wind",133.61295565705
2022,"Offshore Wind",0.0300022385316306
2022,"CSP",1.894587
2022,"PV",151.046388103149
2022,"Storage",22.6012094239192
2024,"Nuclear",95.1891167791532
2024,"Coal",214.480110888889
2024,"Oil-Gas-Steam",58.445193
2024,"NG-CC",276.462007780258
2024,"NG-CT",146.711471319679
2024,"Hydro",80.367891
2024,"Geothermal",5.698574
2024,"Biopower",7.70069685630582
2024,"Land-based Wind",132.794013192989
2024,"Offshore Wind",0.0300022385316306
2024,"CSP",1.894587
2024,"PV",170.321509516742
2024,"Storage",22.7759358317594
2026,"Nuclear",94.0391167791532
2026,"Coal",209.216360888889
2026,"Oil-Gas-Steam",48.311443
2026,"NG-CC",279.130652491048
2026,"NG-CT",147.948393888218
2026,"Hydro",80.522051
2026,"Geothermal",6.26614688
2026,"Biopower",7.70069701806594
2026,"Land-based Wind",131.989514619169
2026,"Offshore Wind",0.0300022385316306
2026,"CSP",1.894587
2026,"PV",179.141255263885
2026,"Storage",22.9009943463568
2028,"Nuclear",94.0391167791532
2028,"Coal",205.980050888889
2028,"Oil-Gas-Steam",38.913031
2028,"NG-CC",290.945137070764
2028,"NG-CT",143.249593472664
2028,"Hydro",80.712322992
2028,"Geothermal",6.28613401523052
2028,"Biopower",7.70069701806594
2028,"Land-based Wind",133.596648339519
2028,"Offshore Wind",0.0300022385316306
2028,"CSP",1.894587
2028,"PV",201.653278578376
2028,"Storage",23.4167479951124
2030,"Nuclear",91.9338167791532
2030,"Coal",198.236880888889
2030,"Oil-Gas-Steam",26.10293
2030,"NG-CC",309.213610815104
2030,"NG-CT",144.55772481749
2030,"Hydro",80.778840992
2030,"Geothermal",6.73591448
2030,"Biopower",7.70069701806594
2030,"Land-based Wind",140.548097667843
2030,"Offshore Wind",0.0300022385316306
2030,"CSP",1.894587
2030,"PV",241.744711601654
2030,"Storage",25.9619122477525
2032,"Nuclear",87.3280169837768
2032,"Coal",194.523360888889
2032,"Oil-Gas-Steam",19.520446
2032,"NG-CC",322.62790519814
2032,"NG-CT",153.50957835404
2032,"Hydro",80.943320992
2032,"Geothermal",6.73591448
2032,"Biopower",7.70069701806594
2032,"Land-based Wind",145.175286346516
2032,"Offshore Wind",0.0300022385316306
2032,"CSP",1.894587
2032,"PV",253.057974304167
2032,"Storage",27.1712553500969
2034,"Nuclear",86.6242489837768
2034,"Coal",187.646884888889
2034,"Oil-Gas-Steam",14.54649
2034,"NG-CC",322.348932537525
2034,"NG-CT",174.501398603656
2034,"Hydro",80.999695692
2034,"Geothermal",6.73591448
2034,"Biopower",7.70069701806594
2034,"Land-based Wind",150.454523675513
2034,"Offshore Wind",0.0300022385316306
2034,"CSP",1.894587
2034,"PV",275.164249720512
2034,"Storage",28.4294421562193
2036,"Nuclear",82.5405939837768
2036,"Coal",180.258324888889
2036,"Oil-Gas-Steam",6.4124
2036,"NG-CC",322.249013168571
2036,"NG-CT",206.483503763103
2036,"Hydro",81.019276192
2036,"Geothermal",6.80219547
2036,"Biopower",7.70069701806594
2036,"Land-based Wind",159.873528068873
2036,"Offshore Wind",0.0300022385316306
2036,"CSP",1.894587
2036,"PV",295.577637093857
2036,"Storage",29.6592270779017
2038,"Nuclear",79.6345939837768
2038,"Coal",174.527174888889
2038,"Oil-Gas-Steam",5.8104
2038,"NG-CC",321.465748913257
2038,"NG-CT",227.057058595308
2038,"Hydro",81.097405592
2038,"Geothermal",6.80219547
2038,"Biopower",7.69719701806594
2038,"Land-based Wind",173.783085990706
2038,"Offshore Wind",0.0300022385316306
2038,"CSP",1.894587
2038,"PV",315.262498281257
2038,"Storage",30.1265876718139
2040,"Nuclear",78.7515439837768
2040,"Coal",168.765596
2040,"Oil-Gas-Steam",5.7889
2040,"NG-CC",321.374442429485
2040,"NG-CT",243.54352721164
2040,"Hydro",81.097934892
2040,"Geothermal",6.80219547
2040,"Biopower",7.67029701806594
2040,"Land-based Wind",191.53672762853
2040,"Offshore Wind",2.23853163060985e-06
2040,"CSP",1.894587
2040,"PV",333.140172279042
2040,"Storage",30.6544249749089
2042,"Nuclear",76.4581439837768
2042,"Coal",157.202266
2042,"Oil-Gas-Steam",5.7389
2042,"NG-CC",318.69318076184
2042,"NG-CT",266.348412913385
2042,"Hydro",81.349564892
2042,"Geothermal",6.78449547
2042,"Biopower",7.65457973149124
2042,"Land-based Wind",205.0307929823
2042,"Offshore Wind",0
2042,"CSP",1.82854
2042,"PV",352.504287345699
2042,"Storage",31.8429625453422
2044,"Nuclear",72.020944431963
2044,"Coal",145.765946
2044,"Oil-Gas-Steam",5.65885
2044,"NG-CC",319.066081723603
2044,"NG-CT",292.246852388328
2044,"Hydro",81.357664892
2044,"Geothermal",6.78449547
2044,"Biopower",7.62995973149124
2044,"Land-based Wind",227.138757062075
2044,"Offshore Wind",0
2044,"CSP",0.59414
2044,"PV",377.393216465702
2044,"Storage",33.5351791990569
2046,"Nuclear",62.6239432367894
2046,"Coal",128.474646
2046,"Oil-Gas-Steam",5.5719
2046,"NG-CC",314.217526391149
2046,"NG-CT",324.025492254394
2046,"Hydro",81.365664892
2046,"Geothermal",6.73414897
2046,"Biopower",7.61690973149124
2046,"Land-based Wind",258.984291522528
2046,"Offshore Wind",0
2046,"CSP",0.48414
2046,"PV",407.624703831233
2046,"Storage",36.2177355289824
2048,"Nuclear",53.6574438477848
2048,"Coal",108.739646
