"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,40.0500135936
"AL","Nuclear",2036,40.0500135936
"AL","Nuclear",2038,40.0500135936
"AL","Nuclear",2040,40.0500135936
"AL","Nuclear",2042,40.0500135936
"AL","Nuclear",2044,40.0500135936
"AL","Nuclear",2046,40.0500135936
"AL","Nuclear",2048,40.0500135936
"AL","Nuclear",2050,40.0500135936
"AL","Coal",2010,26.2249480784602
"AL","Coal",2012,5.28059854306331
"AL","Coal",2014,15.3306875168711
"AL","Coal",2016,11.8356065187567
"AL","Coal",2018,11.2161279572754
"AL","Coal",2020,12.4344242189269
"AL","Coal",2022,10.796171523429
"AL","Coal",2024,13.4958601653838
"AL","Coal",2026,19.2848827640763
"AL","Coal",2028,22.5538873280586
"AL","Coal",2030,20.7569164239586
"AL","Coal",2032,16.3397339576557
"AL","Coal",2034,14.2818298820107
"AL","Coal",2036,14.4693577591219
"AL","Coal",2038,15.460777627479
"AL","Coal",2040,14.407423229385
"AL","Coal",2042,15.5434670257397
"AL","Coal",2044,16.545290685559
"AL","Coal",2046,13.7401160502248
"AL","Coal",2048,9.59719470658242
"AL","Coal",2050,3.62212142926665
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,70.5448463029145
"AL","NG-CC",2012,73.2371307608846
"AL","NG-CC",2014,61.405226504532
"AL","NG-CC",2016,63.8779181566987
"AL","NG-CC",2018,61.714742390806
"AL","NG-CC",2020,39.8420635454943
"AL","NG-CC",2022,32.1912663980203
"AL","NG-CC",2024,34.0233380285995
"AL","NG-CC",2026,28.9909255904076
"AL","NG-CC",2028,24.9149748304894
"AL","NG-CC",2030,38.301782839279
"AL","NG-CC",2032,54.7584716812472
"AL","NG-CC",2034,54.8922285962497
"AL","NG-CC",2036,58.4810268063807
"AL","NG-CC",2038,60.7309744473436
"AL","NG-CC",2040,61.9733557419249
"AL","NG-CC",2042,61.4011023789847
"AL","NG-CC",2044,60.3956493161566
"AL","NG-CC",2046,59.155057048894
"AL","NG-CC",2048,60.9662712829239
"AL","NG-CC",2050,62.1300739007316
"AL","NG-CT",2010,0.151882426453452
"AL","NG-CT",2012,0.175354292118207
"AL","NG-CT",2014,0.113082291664571
"AL","NG-CT",2016,0.156723885829851
"AL","NG-CT",2018,0.157198737236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.157198737236046
"AL","NG-CT",2024,0.112718417236046
"AL","NG-CT",2026,0.112718417236046
"AL","NG-CT",2028,0.142485777236046
"AL","NG-CT",2030,0.112718417236046
"AL","NG-CT",2032,0.109516667446415
"AL","NG-CT",2034,0.134924540481078
"AL","NG-CT",2036,0.221292906966743
"AL","NG-CT",2038,0.25475124276434
"AL","NG-CT",2040,0.510836899445585
"AL","NG-CT",2042,0.775682179195089
"AL","NG-CT",2044,0.651924790116374
"AL","NG-CT",2046,1.66414807156255
"AL","NG-CT",2048,2.12441487455433
"AL","NG-CT",2050,2.9490078111934
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.47163036084043
"AL","Hydro",2022,8.47163036084043
"AL","Hydro",2024,8.47163036084043
"AL","Hydro",2026,8.47163036084043
"AL","Hydro",2028,8.54537385419249
"AL","Hydro",2030,8.55867108612406
"AL","Hydro",2032,8.5872796564681
"AL","Hydro",2034,8.61442601099456
"AL","Hydro",2036,8.61442601099456
"AL","Hydro",2038,8.61442601099456
"AL","Hydro",2040,8.61442601099456
"AL","Hydro",2042,8.61442601099456
"AL","Hydro",2044,8.61442601099456
"AL","Hydro",2046,8.61442601099456
"AL","Hydro",2048,8.6329897944178
"AL","Hydro",2050,8.6329897944178
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.88381955886035
