"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.21874550922461
2010,"USA","Coal Usage (Quads)",19.3338522846522
2010,"USA","Coal Price",2.49986483237902
2010,"USA","Gas Price",5.51592268343309
2012,"USA","Gas Usage (Quads)",9.19258011926305
2012,"USA","Coal Usage (Quads)",14.5719237410914
2012,"USA","Coal Price",2.47540040137839
2012,"USA","Gas Price",3.61519693135343
2014,"USA","Gas Usage (Quads)",8.05079387930947
2014,"USA","Coal Usage (Quads)",16.68648716641
2014,"USA","Coal Price",2.41160726167119
2014,"USA","Gas Price",5.01243607189184
2016,"USA","Gas Usage (Quads)",10.5006297876823
2016,"USA","Coal Usage (Quads)",11.9420670982076
2016,"USA","Coal Price",2.14682879776976
2016,"USA","Gas Price",2.94990485533068
2018,"USA","Gas Usage (Quads)",10.310891423248
2018,"USA","Coal Usage (Quads)",11.1979518540705
2018,"USA","Coal Price",2.20095683527305
2018,"USA","Gas Price",3.5033836002289
2020,"USA","Gas Usage (Quads)",10.3578337345133
2020,"USA","Coal Usage (Quads)",10.2711806070251
2020,"USA","Coal Price",2.2586148762238
2020,"USA","Gas Price",3.86178767446318
2022,"USA","Gas Usage (Quads)",11.2762677098479
2022,"USA","Coal Usage (Quads)",9.04866252177112
2022,"USA","Coal Price",2.26548794915074
2022,"USA","Gas Price",3.69676661004158
2024,"USA","Gas Usage (Quads)",11.2817265441014
2024,"USA","Coal Usage (Quads)",9.40545483535117
2024,"USA","Coal Price",2.27503958959747
2024,"USA","Gas Price",3.71539885918715
2026,"USA","Gas Usage (Quads)",11.152048552821
2026,"USA","Coal Usage (Quads)",9.31093306587239
2026,"USA","Coal Price",2.25657105759563
2026,"USA","Gas Price",3.76382447326187
2028,"USA","Gas Usage (Quads)",10.8896677763375
2028,"USA","Coal Usage (Quads)",9.30545486217614
2028,"USA","Coal Price",2.24636051300379
2028,"USA","Gas Price",3.80521302877069
2030,"USA","Gas Usage (Quads)",11.3736530108413
2030,"USA","Coal Usage (Quads)",8.32731859192009
2030,"USA","Coal Price",2.21078719734319
2030,"USA","Gas Price",3.77296111510498
2032,"USA","Gas Usage (Quads)",12.3846443895828
2032,"USA","Coal Usage (Quads)",7.5129258857854
2032,"USA","Coal Price",2.19573656225222
2032,"USA","Gas Price",3.7307336714441
2034,"USA","Gas Usage (Quads)",13.127336439094
2034,"USA","Coal Usage (Quads)",6.97853547499758
2034,"USA","Coal Price",2.19989655946259
2034,"USA","Gas Price",3.7743103732781
2036,"USA","Gas Usage (Quads)",13.8319383787825
2036,"USA","Coal Usage (Quads)",6.72820280342828
2036,"USA","Coal Price",2.20391477351672
2036,"USA","Gas Price",3.82236048867766
2038,"USA","Gas Usage (Quads)",14.669681259387
2038,"USA","Coal Usage (Quads)",6.35903506666375
2038,"USA","Coal Price",2.21836215343778
2038,"USA","Gas Price",3.85037158622497
2040,"USA","Gas Usage (Quads)",15.3216670931375
2040,"USA","Coal Usage (Quads)",6.35762918587072
2040,"USA","Coal Price",2.23299657147574
2040,"USA","Gas Price",3.83807708486072
2042,"USA","Gas Usage (Quads)",16.0026300750547
2042,"USA","Coal Usage (Quads)",5.9720394424412
2042,"USA","Coal Price",2.22973519872041
2042,"USA","Gas Price",3.82670887609568
2044,"USA","Gas Usage (Quads)",16.6713196252756
2044,"USA","Coal Usage (Quads)",5.7245502507649
2044,"USA","Coal Price",2.23061428675887
2044,"USA","Gas Price",3.80536343464849
2046,"USA","Gas Usage (Quads)",17.4197343091872
2046,"USA","Coal Usage (Quads)",5.37620204832548
2046,"USA","Coal Price",2.23595247591525
2046,"USA","Gas Price",3.82784148442763
2048,"USA","Gas Usage (Quads)",18.2574396955766
2048,"USA","Coal Usage (Quads)",4.8548058798717
2048,"USA","Coal Price",2.23905239988673
2048,"USA","Gas Price",3.89117775487712
2050,"USA","Gas Usage (Quads)",19.0372615659433
2050,"USA","Coal Usage (Quads)",4.35034050101612
2050,"USA","Coal Price",2.25278819520817
2050,"USA","Gas Price",3.89493769657859
