"time","type","value"
2010,"consumption",1500.869505444
2010,"withdrawal",44456.0139392932
2012,"consumption",1360.09041007532
2012,"withdrawal",36239.0329086942
2014,"consumption",1413.55954159093
2014,"withdrawal",38570.1548161431
2016,"consumption",1258.45222326308
2016,"withdrawal",32315.1000780726
2018,"consumption",1218.21919964629
2018,"withdrawal",30112.2575401875
2020,"consumption",1186.07751402827
2020,"withdrawal",28384.5979557633
2022,"consumption",1149.37393331546
2022,"withdrawal",26612.1971240927
2024,"consumption",1164.31236777685
2024,"withdrawal",26633.1725803858
2026,"consumption",1164.04162934052
2026,"withdrawal",25635.5944051231
2028,"consumption",1171.15213267454
2028,"withdrawal",25102.8527810883
2030,"consumption",1141.10221028044
2030,"withdrawal",23407.9206841123
2032,"consumption",1115.92749995283
2032,"withdrawal",21505.2347145877
2034,"consumption",1118.89557022873
2034,"withdrawal",20102.2125147189
2036,"consumption",1114.3291729559
2036,"withdrawal",19033.576524012
2038,"consumption",1105.82979547599
2038,"withdrawal",18455.9102379321
2040,"consumption",1119.7385885661
2040,"withdrawal",18455.4101118237
2042,"consumption",1105.02519694572
2042,"withdrawal",17970.1488315338
2044,"consumption",1085.55705520668
2044,"withdrawal",17475.9913898383
2046,"consumption",1048.44612424683
2046,"withdrawal",15583.1933846628
2048,"consumption",997.891268330089
2048,"withdrawal",14339.19964159
2050,"consumption",970.261370926562
2050,"withdrawal",13401.5525577838
