"time","type","value"
2010,"price",107.710505289719
2012,"price",106.263756223091
2014,"price",109.574750140413
2016,"price",106.608348151644
2018,"price",106.740328995919
2020,"price",108.089708377332
2022,"price",108.147882410541
2024,"price",106.567087209264
2026,"price",107.898082354178
2028,"price",107.570031074789
2030,"price",107.786414706561
2032,"price",108.505482493385
2034,"price",109.008874926585
2036,"price",109.27481320946
2038,"price",110.986158521843
2040,"price",109.569172877675
2042,"price",108.576449876398
2044,"price",104.533564744639
2046,"price",105.057917755884
2048,"price",106.236640061623
2050,"price",108.783587497343
2010,"comp_p",48.7362278869599
2012,"comp_p",33.6014361051955
2014,"comp_p",44.1205944811659
2016,"comp_p",28.8319393625066
2018,"comp_p",32.9711149486757
2020,"comp_p",36.7009191551248
2022,"comp_p",36.7050083552338
2024,"comp_p",37.1420993371634
2026,"comp_p",38.4662305117257
2028,"comp_p",38.112666308071
2030,"comp_p",37.5895433306436
2032,"comp_p",36.4759360272512
2034,"comp_p",35.7856512336778
2036,"comp_p",37.0072968152521
2038,"comp_p",37.9307221891371
2040,"comp_p",37.8045541845855
2042,"comp_p",38.2091213886312
2044,"comp_p",38.4998719582233
2046,"comp_p",40.3025722260042
2048,"comp_p",41.8317596119111
2050,"comp_p",42.6659702362112
