"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,40.0500135936
"AL","Nuclear",2036,40.0500135936
"AL","Nuclear",2038,40.0500135936
"AL","Nuclear",2040,40.0500135936
"AL","Nuclear",2042,40.0500135936
"AL","Nuclear",2044,40.0500135936
"AL","Nuclear",2046,40.0500135936
"AL","Nuclear",2048,40.0500135936
"AL","Nuclear",2050,40.0500135936
"AL","Coal",2010,26.8788086352325
"AL","Coal",2012,6.36746329884686
"AL","Coal",2014,17.2461435738094
"AL","Coal",2016,12.3551630983297
"AL","Coal",2018,11.1706112216148
"AL","Coal",2020,13.7734666476142
"AL","Coal",2022,13.7667184641151
"AL","Coal",2024,19.2490271117194
"AL","Coal",2026,23.8934917054699
"AL","Coal",2028,25.6607550380991
"AL","Coal",2030,20.0767320950851
"AL","Coal",2032,16.3397339576557
"AL","Coal",2034,13.5770825656841
"AL","Coal",2036,14.0706554841965
"AL","Coal",2038,14.822574559399
"AL","Coal",2040,15.0077213844665
"AL","Coal",2042,15.8923998950606
"AL","Coal",2044,16.3168202684766
"AL","Coal",2046,13.8077579891281
"AL","Coal",2048,9.31817705001378
"AL","Coal",2050,4.20699278048606
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,72.1454317077612
"AL","NG-CC",2012,73.24004736
"AL","NG-CC",2014,63.2562661168658
"AL","NG-CC",2016,64.6224023709071
"AL","NG-CC",2018,63.2787629646873
"AL","NG-CC",2020,46.2248933850588
"AL","NG-CC",2022,44.2778071383132
"AL","NG-CC",2024,43.4643736904025
"AL","NG-CC",2026,38.8159516930063
"AL","NG-CC",2028,29.9848762892651
"AL","NG-CC",2030,45.7147378815748
"AL","NG-CC",2032,60.3290427535999
"AL","NG-CC",2034,67.4335280535378
"AL","NG-CC",2036,71.1933434569155
"AL","NG-CC",2038,72.4044069409562
"AL","NG-CC",2040,75.4573027806086
"AL","NG-CC",2042,77.1398156688179
"AL","NG-CC",2044,77.4549986591405
"AL","NG-CC",2046,77.7891615697538
"AL","NG-CC",2048,79.2874798684874
"AL","NG-CC",2050,84.1912814442617
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.175354292118207
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.156719447776268
"AL","NG-CT",2018,0.157198737236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.157198737236046
"AL","NG-CT",2024,0.129767636602075
"AL","NG-CT",2026,0.149532145783388
"AL","NG-CT",2028,0.142485777236046
"AL","NG-CT",2030,0.112718417236046
"AL","NG-CT",2032,0.112487960569446
"AL","NG-CT",2034,0.126033614469857
"AL","NG-CT",2036,0.250189591326996
"AL","NG-CT",2038,0.255403764416978
"AL","NG-CT",2040,0.321629702695995
"AL","NG-CT",2042,0.346591087176226
"AL","NG-CT",2044,0.444047106377263
"AL","NG-CT",2046,1.17162488139489
"AL","NG-CT",2048,2.02882900136559
"AL","NG-CT",2050,2.17653850296679
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.37612668616747
"AL","Hydro",2028,8.51814112319664
"AL","Hydro",2030,8.51814112319663
"AL","Hydro",2032,8.54537385419249
"AL","Hydro",2034,8.54537385419249
"AL","Hydro",2036,8.54537385419249
"AL","Hydro",2038,8.54537385419249
"AL","Hydro",2040,8.54537385419249
"AL","Hydro",2042,8.54537385419249
"AL","Hydro",2044,8.54537385419249
"AL","Hydro",2046,8.54537385419249
"AL","Hydro",2048,8.54537385419249
"AL","Hydro",2050,8.54537385419249
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.95397185746159
