"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.21869490368203
2010,"USA","Coal Usage (Quads)",19.3340077968608
2010,"USA","Coal Price",2.49985961856539
2010,"USA","Gas Price",5.51591690073259
2012,"USA","Gas Usage (Quads)",9.19253813790434
2012,"USA","Coal Usage (Quads)",14.5719583831039
2012,"USA","Coal Price",2.47540557210883
2012,"USA","Gas Price",3.61517914116474
2014,"USA","Gas Usage (Quads)",8.05077810141964
2014,"USA","Coal Usage (Quads)",16.6866450157762
2014,"USA","Coal Price",2.41159774774343
2014,"USA","Gas Price",5.01242600917335
2016,"USA","Gas Usage (Quads)",10.5006297876823
2016,"USA","Coal Usage (Quads)",11.9425344602598
2016,"USA","Coal Price",2.14683259278587
2016,"USA","Gas Price",2.94986197944421
2018,"USA","Gas Usage (Quads)",9.58910524884884
2018,"USA","Coal Usage (Quads)",12.1814186469571
2018,"USA","Coal Price",2.21377381428698
2018,"USA","Gas Price",3.67329739260112
2020,"USA","Gas Usage (Quads)",8.15656409675956
2020,"USA","Coal Usage (Quads)",12.9974314986016
2020,"USA","Coal Price",2.312566698401
2020,"USA","Gas Price",4.3574153691712
2022,"USA","Gas Usage (Quads)",8.00612889569054
2022,"USA","Coal Usage (Quads)",13.3163331228068
2022,"USA","Coal Price",2.323286531411
2022,"USA","Gas Price",4.40657662553519
2024,"USA","Gas Usage (Quads)",7.97834860824209
2024,"USA","Coal Usage (Quads)",13.7603641316877
2024,"USA","Coal Price",2.3354610458101
2024,"USA","Gas Price",4.45903989653928
2026,"USA","Gas Usage (Quads)",7.81151523696752
2026,"USA","Coal Usage (Quads)",14.0881810625113
2026,"USA","Coal Price",2.32683808365883
2026,"USA","Gas Price",4.54446662264246
2028,"USA","Gas Usage (Quads)",7.43801160608777
2028,"USA","Coal Usage (Quads)",14.1639142118152
2028,"USA","Coal Price",2.31113281859112
2028,"USA","Gas Price",4.57591960926437
2030,"USA","Gas Usage (Quads)",7.29031082094073
2030,"USA","Coal Usage (Quads)",13.7669532865267
2030,"USA","Coal Price",2.29377796721119
2030,"USA","Gas Price",4.58597592131686
2032,"USA","Gas Usage (Quads)",7.614254657979
2032,"USA","Coal Usage (Quads)",13.7581367295104
2032,"USA","Coal Price",2.29802632396512
2032,"USA","Gas Price",4.6608734985719
2034,"USA","Gas Usage (Quads)",7.95273906343609
2034,"USA","Coal Usage (Quads)",13.4108772025451
2034,"USA","Coal Price",2.31405492438809
2034,"USA","Gas Price",4.64616517628155
2036,"USA","Gas Usage (Quads)",8.30612768619489
2036,"USA","Coal Usage (Quads)",13.5526505789828
2036,"USA","Coal Price",2.34087193867642
2036,"USA","Gas Price",4.75415215103447
2038,"USA","Gas Usage (Quads)",8.68472010988198
2038,"USA","Coal Usage (Quads)",13.5381774313152
2038,"USA","Coal Price",2.36533960572271
2038,"USA","Gas Price",4.79380978515155
2040,"USA","Gas Usage (Quads)",9.07032532365849
2040,"USA","Coal Usage (Quads)",13.2689837877148
2040,"USA","Coal Price",2.38084639196579
2040,"USA","Gas Price",4.84619156735939
2042,"USA","Gas Usage (Quads)",9.40310059065861
2042,"USA","Coal Usage (Quads)",12.7844611049563
2042,"USA","Coal Price",2.38488692435054
2042,"USA","Gas Price",4.93614332967487
2044,"USA","Gas Usage (Quads)",9.61455476813169
2044,"USA","Coal Usage (Quads)",12.1676334562156
2044,"USA","Coal Price",2.3951579345307
2044,"USA","Gas Price",5.08870115299526
2046,"USA","Gas Usage (Quads)",10.192590501701
2046,"USA","Coal Usage (Quads)",11.0713566312913
2046,"USA","Coal Price",2.39785784463784
2046,"USA","Gas Price",5.30076155025608
2048,"USA","Gas Usage (Quads)",10.5855009325923
2048,"USA","Coal Usage (Quads)",9.57309069596263
2048,"USA","Coal Price",2.39296212817012
2048,"USA","Gas Price",5.51557420456828
2050,"USA","Gas Usage (Quads)",10.6469474044637
2050,"USA","Coal Usage (Quads)",8.43983350590795
2050,"USA","Coal Price",2.40078836771946
2050,"USA","Gas Price",5.61164426055031
