"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.21874681769971
2010,"USA","Coal Usage (Quads)",19.3338552302012
2010,"USA","Coal Price",2.49986491494153
2010,"USA","Gas Price",5.5159224285326
2012,"USA","Gas Usage (Quads)",9.19257800910965
2012,"USA","Coal Usage (Quads)",14.5719498084829
2012,"USA","Coal Price",2.47540247001798
2012,"USA","Gas Price",3.61519517322699
2014,"USA","Gas Usage (Quads)",8.05079388838799
2014,"USA","Coal Usage (Quads)",16.6865759780247
2014,"USA","Coal Price",2.41160745700339
2014,"USA","Gas Price",5.01243971711324
2016,"USA","Gas Usage (Quads)",10.5006297876823
2016,"USA","Coal Usage (Quads)",11.9422229672986
2016,"USA","Coal Price",2.14682406633671
2016,"USA","Gas Price",2.94990647930105
2018,"USA","Gas Usage (Quads)",9.58920865135609
2018,"USA","Coal Usage (Quads)",12.176481960223
2018,"USA","Coal Price",2.21344507337685
2018,"USA","Gas Price",3.67350084009435
2020,"USA","Gas Usage (Quads)",8.16046793774749
2020,"USA","Coal Usage (Quads)",13.0094713587775
2020,"USA","Coal Price",2.31211344854138
2020,"USA","Gas Price",4.35795258449781
2022,"USA","Gas Usage (Quads)",8.01043225546539
2022,"USA","Coal Usage (Quads)",13.3292742930566
2022,"USA","Coal Price",2.32307022017359
2022,"USA","Gas Price",4.40703907207736
2024,"USA","Gas Usage (Quads)",7.65636704605104
2024,"USA","Coal Usage (Quads)",13.257530454299
2024,"USA","Coal Price",2.34274914569818
2024,"USA","Gas Price",4.40181964531272
2026,"USA","Gas Usage (Quads)",6.97404846536885
2026,"USA","Coal Usage (Quads)",12.1239995284552
2026,"USA","Coal Price",2.3370576214637
2026,"USA","Gas Price",4.37182451568991
2028,"USA","Gas Usage (Quads)",6.09134625852608
2028,"USA","Coal Usage (Quads)",11.1686939253087
2028,"USA","Coal Price",2.30747299995036
2028,"USA","Gas Price",4.31949687757026
2030,"USA","Gas Usage (Quads)",5.87431824705428
2030,"USA","Coal Usage (Quads)",9.25867892192869
2030,"USA","Coal Price",2.2870472413887
2030,"USA","Gas Price",4.32858690848909
2032,"USA","Gas Usage (Quads)",5.82784521426019
2032,"USA","Coal Usage (Quads)",7.40877667108765
2032,"USA","Coal Price",2.29820723762037
2032,"USA","Gas Price",4.32397176915365
2034,"USA","Gas Usage (Quads)",5.98666100548844
2034,"USA","Coal Usage (Quads)",5.36019464568569
2034,"USA","Coal Price",2.31595798892629
2034,"USA","Gas Price",4.29253239179557
2036,"USA","Gas Usage (Quads)",5.89988796476458
2036,"USA","Coal Usage (Quads)",4.1480085600109
2036,"USA","Coal Price",2.3515875886673
2036,"USA","Gas Price",4.32686747511035
2038,"USA","Gas Usage (Quads)",5.89690663912641
2038,"USA","Coal Usage (Quads)",3.02350199798811
2038,"USA","Coal Price",2.38136179170345
2038,"USA","Gas Price",4.30689039742019
2040,"USA","Gas Usage (Quads)",5.87415284385655
2040,"USA","Coal Usage (Quads)",2.0024391035455
2040,"USA","Coal Price",2.3965791999281
2040,"USA","Gas Price",4.27456041420579
2042,"USA","Gas Usage (Quads)",5.7968040272698
2042,"USA","Coal Usage (Quads)",1.2249236193479
2042,"USA","Coal Price",2.37351359232595
2042,"USA","Gas Price",4.26424565633313
2044,"USA","Gas Usage (Quads)",5.53940130212232
2044,"USA","Coal Usage (Quads)",0.865108413198986
2044,"USA","Coal Price",2.36128737609949
2044,"USA","Gas Price",4.31490119464314
2046,"USA","Gas Usage (Quads)",5.53889820192251
2046,"USA","Coal Usage (Quads)",0.586190346745564
2046,"USA","Coal Price",2.35149532076054
2046,"USA","Gas Price",4.37431655944774
2048,"USA","Gas Usage (Quads)",5.53889820192251
2048,"USA","Coal Usage (Quads)",0.39282451365708
2048,"USA","Coal Price",2.38248909226695
2048,"USA","Gas Price",4.48152181841373
2050,"USA","Gas Usage (Quads)",5.55586333055535
2050,"USA","Coal Usage (Quads)",0.365191343477472
2050,"USA","Coal Price",2.3814440808249
2050,"USA","Gas Price",4.56073489213167
