"time","type","value"
2010,"price",107.710500117838
2012,"price",106.263671600021
2014,"price",109.575076715688
2016,"price",106.633461168157
2018,"price",106.916618610305
2020,"price",108.499880505856
2022,"price",107.972591347598
2024,"price",106.960690995874
2026,"price",107.858683607495
2028,"price",107.392057272093
2030,"price",107.690227804635
2032,"price",109.070715367789
2034,"price",109.35872082112
2036,"price",110.019975400521
2038,"price",114.461462504292
2040,"price",114.35070322028
2042,"price",113.455072366226
2044,"price",111.052431512994
2046,"price",112.439947325675
2048,"price",111.699695586331
2050,"price",113.39942708291
2010,"comp_p",48.7362908323232
2012,"comp_p",33.6012529051524
2014,"comp_p",44.1207059922062
2016,"comp_p",28.8348974946877
2018,"comp_p",33.1509529219648
2020,"comp_p",37.0153784868315
2022,"comp_p",37.3795975573389
2024,"comp_p",37.1349537533175
2026,"comp_p",37.3548999418118
2028,"comp_p",36.6147364548841
2030,"comp_p",35.3059257502678
2032,"comp_p",36.4565419550126
2034,"comp_p",37.7609103526048
2036,"comp_p",39.8404547286383
2038,"comp_p",41.3201809839666
2040,"comp_p",42.271953401321
2042,"comp_p",43.0750486972319
2044,"comp_p",44.7301484335649
2046,"comp_p",47.0887892680527
2048,"comp_p",51.272708996855
2050,"comp_p",52.0110474497998
