"gid","time","value","type"
"AL",2010,1828.45052072108,"withdrawal"
"AL",2012,1360.9746412402,"withdrawal"
"AL",2014,1614.025191812,"withdrawal"
"AL",2016,1392.23941902814,"withdrawal"
"AL",2018,1383.36390665464,"withdrawal"
"AL",2020,1466.38454367306,"withdrawal"
"AL",2022,1481.17442155788,"withdrawal"
"AL",2024,1564.05917455951,"withdrawal"
"AL",2026,1616.26903969208,"withdrawal"
"AL",2028,1621.91513287298,"withdrawal"
"AL",2030,1472.81225405883,"withdrawal"
"AL",2032,1387.39302310837,"withdrawal"
"AL",2034,1403.39013011968,"withdrawal"
"AL",2036,1423.59431082365,"withdrawal"
"AL",2038,1455.68596030234,"withdrawal"
"AL",2040,1476.55731141795,"withdrawal"
"AL",2042,1519.65020618716,"withdrawal"
"AL",2044,1479.35248718783,"withdrawal"
"AL",2046,1423.47600292643,"withdrawal"
"AL",2048,1237.19765518176,"withdrawal"
"AL",2050,1231.37922480804,"withdrawal"
"AR",2010,73.0005689467626,"withdrawal"
"AR",2012,52.045537253903,"withdrawal"
"AR",2014,71.3582364899674,"withdrawal"
"AR",2016,34.5091066621465,"withdrawal"
"AR",2018,51.5323551868964,"withdrawal"
"AR",2020,52.2525145975929,"withdrawal"
"AR",2022,52.8395279056394,"withdrawal"
"AR",2024,51.6515236156031,"withdrawal"
"AR",2026,49.8950383680181,"withdrawal"
"AR",2028,45.6215522874626,"withdrawal"
"AR",2030,42.6349051808871,"withdrawal"
"AR",2032,37.5301757314394,"withdrawal"
"AR",2034,38.4148774389073,"withdrawal"
"AR",2036,37.2523365218107,"withdrawal"
"AR",2038,34.9802140168553,"withdrawal"
"AR",2040,36.5997161501539,"withdrawal"
"AR",2042,36.9970624160368,"withdrawal"
"AR",2044,37.0361718355348,"withdrawal"
"AR",2046,40.5648050880581,"withdrawal"
"AR",2048,42.0219444549587,"withdrawal"
"AR",2050,46.1754375067654,"withdrawal"
"AZ",2010,112.171773026412,"withdrawal"
"AZ",2012,113.218085132284,"withdrawal"
"AZ",2014,113.966172755505,"withdrawal"
"AZ",2016,85.8035429545734,"withdrawal"
"AZ",2018,88.5941675242119,"withdrawal"
"AZ",2020,81.7805866988486,"withdrawal"
"AZ",2022,81.0400194583397,"withdrawal"
"AZ",2024,68.0233180995785,"withdrawal"
"AZ",2026,68.5714566968699,"withdrawal"
"AZ",2028,68.3018737015664,"withdrawal"
"AZ",2030,68.1468166154048,"withdrawal"
"AZ",2032,68.8876161090637,"withdrawal"
"AZ",2034,68.9145851749622,"withdrawal"
"AZ",2036,68.2041315645583,"withdrawal"
"AZ",2038,68.6257348370216,"withdrawal"
"AZ",2040,69.0037583885402,"withdrawal"
"AZ",2042,68.8715140005017,"withdrawal"
"AZ",2044,68.625945472816,"withdrawal"
"AZ",2046,70.1792562430818,"withdrawal"
"AZ",2048,69.3478096616819,"withdrawal"
"AZ",2050,64.0248668902616,"withdrawal"
"CA",2010,1963.40384653976,"withdrawal"
"CA",2012,1807.7015881167,"withdrawal"
"CA",2014,1071.68412047115,"withdrawal"
"CA",2016,1071.98809665167,"withdrawal"
"CA",2018,1051.90589352153,"withdrawal"
"CA",2020,1031.86777190785,"withdrawal"
"CA",2022,1015.3405811577,"withdrawal"
"CA",2024,616.172852031708,"withdrawal"
"CA",2026,196.997271368012,"withdrawal"
"CA",2028,186.963785186329,"withdrawal"
"CA",2030,129.17533793301,"withdrawal"
"CA",2032,112.199661354401,"withdrawal"
"CA",2034,87.802704570231,"withdrawal"
"CA",2036,67.6689487647846,"withdrawal"
"CA",2038,66.1435838717317,"withdrawal"
"CA",2040,65.6769408827691,"withdrawal"
"CA",2042,68.0679355926699,"withdrawal"
"CA",2044,86.4468436499544,"withdrawal"
"CA",2046,99.0863485175557,"withdrawal"
"CA",2048,99.7515231880961,"withdrawal"
"CA",2050,91.7244373116108,"withdrawal"
"CO",2010,77.8394855940945,"withdrawal"
"CO",2012,75.0739516600495,"withdrawal"
"CO",2014,74.5694151510468,"withdrawal"
"CO",2016,71.7226426963008,"withdrawal"
"CO",2018,56.3500678928612,"withdrawal"
"CO",2020,51.3842647884501,"withdrawal"
"CO",2022,53.6762745671819,"withdrawal"
"CO",2024,48.8523059163124,"withdrawal"
"CO",2026,47.9972946125722,"withdrawal"
"CO",2028,44.2958119794193,"withdrawal"
"CO",2030,41.3584045685542,"withdrawal"
"CO",2032,46.5382152270181,"withdrawal"
"CO",2034,50.5034654458866,"withdrawal"
"CO",2036,52.6951037186577,"withdrawal"
"CO",2038,53.177942873345,"withdrawal"
"CO",2040,51.887464772294,"withdrawal"
"CO",2042,51.453182736687,"withdrawal"
"CO",2044,49.3671606417949,"withdrawal"
"CO",2046,49.5688546786363,"withdrawal"
"CO",2048,46.8639467263844,"withdrawal"
"CO",2050,43.2145843200106,"withdrawal"
"CT",2010,772.120340093811,"withdrawal"
"CT",2012,738.189288245864,"withdrawal"
"CT",2014,841.390874365132,"withdrawal"
"CT",2016,752.256181750925,"withdrawal"
"CT",2018,743.29234181301,"withdrawal"
"CT",2020,766.360018828626,"withdrawal"
"CT",2022,773.467003762371,"withdrawal"
"CT",2024,773.43656630312,"withdrawal"
"CT",2026,773.358371007651,"withdrawal"
"CT",2028,754.580110550922,"withdrawal"
"CT",2030,748.724657456721,"withdrawal"
"CT",2032,737.454723361421,"withdrawal"
"CT",2034,737.627745541701,"withdrawal"
"CT",2036,432.30970659037,"withdrawal"
"CT",2038,432.344337607033,"withdrawal"
"CT",2040,432.175142450434,"withdrawal"
"CT",2042,432.281601969866,"withdrawal"
"CT",2044,432.225203878454,"withdrawal"
"CT",2046,3.0050589147804,"withdrawal"
"CT",2048,2.87264889922545,"withdrawal"
"CT",2050,2.97800501391355,"withdrawal"
"DE",2010,65.8268748033957,"withdrawal"
"DE",2012,44.7501744402695,"withdrawal"
"DE",2014,3.27906955394692,"withdrawal"
"DE",2016,3.96025760995627,"withdrawal"
"DE",2018,3.56253713168962,"withdrawal"
"DE",2020,3.33510718665677,"withdrawal"
"DE",2022,3.52316786537776,"withdrawal"
"DE",2024,3.45338281181041,"withdrawal"
"DE",2026,3.44412573189849,"withdrawal"
"DE",2028,3.19097964387689,"withdrawal"
"DE",2030,3.2019095146301,"withdrawal"
"DE",2032,3.20313713999702,"withdrawal"
"DE",2034,3.43437748929315,"withdrawal"
"DE",2036,3.55286842944302,"withdrawal"
"DE",2038,3.62842944704369,"withdrawal"
"DE",2040,3.69337714989903,"withdrawal"
"DE",2042,3.81403647128831,"withdrawal"
"DE",2044,3.83310271980419,"withdrawal"
"DE",2046,3.96749833240943,"withdrawal"
"DE",2048,4.00387172918563,"withdrawal"
"DE",2050,4.01784151207258,"withdrawal"
"FL",2010,2140.50009307335,"withdrawal"
"FL",2012,1963.83430422532,"withdrawal"
"FL",2014,2066.01638797962,"withdrawal"
"FL",2016,2195.28598284413,"withdrawal"
"FL",2018,1810.14690961746,"withdrawal"
"FL",2020,1976.97943193528,"withdrawal"
"FL",2022,1988.71058776102,"withdrawal"
"FL",2024,2019.9191163081,"withdrawal"
"FL",2026,2041.63588637816,"withdrawal"
"FL",2028,2077.02182963896,"withdrawal"
"FL",2030,2041.75630913153,"withdrawal"
"FL",2032,1877.03762289596,"withdrawal"
"FL",2034,1877.32155751017,"withdrawal"
"FL",2036,1920.75711849025,"withdrawal"
"FL",2038,1958.98392265627,"withdrawal"
"FL",2040,1981.53859213365,"withdrawal"
"FL",2042,1916.30565737033,"withdrawal"
"FL",2044,1897.80687422009,"withdrawal"
"FL",2046,1837.258172427,"withdrawal"
"FL",2048,1673.99063590105,"withdrawal"
"FL",2050,1683.609565888,"withdrawal"
"GA",2010,507.903989223031,"withdrawal"
"GA",2012,151.290214943265,"withdrawal"
"GA",2014,350.178820131473,"withdrawal"
"GA",2016,107.857042627474,"withdrawal"
"GA",2018,82.9215328300439,"withdrawal"
"GA",2020,106.901928099751,"withdrawal"
"GA",2022,107.835601173086,"withdrawal"
"GA",2024,109.885973637427,"withdrawal"
"GA",2026,110.615908150403,"withdrawal"
"GA",2028,112.330125263351,"withdrawal"
"GA",2030,105.654460116867,"withdrawal"
"GA",2032,100.189891412489,"withdrawal"
"GA",2034,102.16405213496,"withdrawal"
"GA",2036,99.7187656728497,"withdrawal"
"GA",2038,102.600058338773,"withdrawal"
"GA",2040,97.3009042380493,"withdrawal"
"GA",2042,101.379630183071,"withdrawal"
"GA",2044,104.697489371643,"withdrawal"
"GA",2046,105.547548962342,"withdrawal"
"GA",2048,101.728141603718,"withdrawal"
"GA",2050,89.6528941148122,"withdrawal"
"IA",2010,956.349402094985,"withdrawal"
"IA",2012,935.813127558707,"withdrawal"
"IA",2014,908.175046938409,"withdrawal"
"IA",2016,723.682022017689,"withdrawal"
"IA",2018,701.22954851256,"withdrawal"
"IA",2020,695.250494113473,"withdrawal"
"IA",2022,755.679083771119,"withdrawal"
"IA",2024,740.422061409203,"withdrawal"
"IA",2026,660.106415520668,"withdrawal"
"IA",2028,270.615525787846,"withdrawal"
"IA",2030,116.828508152341,"withdrawal"
"IA",2032,98.9705819701869,"withdrawal"
"IA",2034,77.1517152069123,"withdrawal"
"IA",2036,85.5950068783506,"withdrawal"
"IA",2038,90.4628698219055,"withdrawal"
"IA",2040,90.5136535410616,"withdrawal"
"IA",2042,90.7741713852297,"withdrawal"
"IA",2044,104.830732518919,"withdrawal"
"IA",2046,126.514452522837,"withdrawal"
"IA",2048,128.862555104814,"withdrawal"
"IA",2050,128.399826458664,"withdrawal"
"ID",2010,0.180480748136272,"withdrawal"
"ID",2012,0.691887605372562,"withdrawal"
"ID",2014,0.893179859548597,"withdrawal"
"ID",2016,0.632978962693368,"withdrawal"
"ID",2018,0.397444315579766,"withdrawal"
"ID",2020,0.416981437501128,"withdrawal"
"ID",2022,0.388068138893289,"withdrawal"
"ID",2024,0.406181160740469,"withdrawal"
"ID",2026,0.348880076428049,"withdrawal"
"ID",2028,0.298870862826823,"withdrawal"
"ID",2030,0.314025147549012,"withdrawal"
"ID",2032,0.446128156866802,"withdrawal"
"ID",2034,0.584442154387041,"withdrawal"
"ID",2036,0.651348048291063,"withdrawal"
"ID",2038,0.647352506572467,"withdrawal"
"ID",2040,0.703546364709792,"withdrawal"
"ID",2042,0.7077598312326,"withdrawal"
"ID",2044,0.728016253914744,"withdrawal"
"ID",2046,0.771450079347053,"withdrawal"
"ID",2048,0.710971102942824,"withdrawal"
"ID",2050,0.679656433674488,"withdrawal"
