"time","type","value"
2010,"price",107.710500367636
2012,"price",106.258151625823
2014,"price",109.618972403164
2016,"price",106.614918080614
2018,"price",106.990918111391
2020,"price",108.667543467785
2022,"price",108.156895606836
2024,"price",107.456107045462
2026,"price",108.873706156669
2028,"price",108.57520296541
2030,"price",108.77309579588
2032,"price",108.758729101734
2034,"price",108.366312181607
2036,"price",108.216109220145
2038,"price",109.991259134286
2040,"price",109.066724902406
2042,"price",107.600365524874
2044,"price",104.622764425593
2046,"price",105.580042447162
2048,"price",107.097760401431
2050,"price",108.995119229943
2010,"comp_p",48.737932264717
2012,"comp_p",33.6142586731214
2014,"comp_p",44.1524285633686
2016,"comp_p",28.8608866816616
2018,"comp_p",33.2226961738622
2020,"comp_p",37.119216760898
2022,"comp_p",37.7450258491588
2024,"comp_p",38.2551954591585
2026,"comp_p",40.3024823553262
2028,"comp_p",40.0952406756805
2030,"comp_p",40.5446495354235
2032,"comp_p",40.3169961336698
2034,"comp_p",40.7150504282612
2036,"comp_p",41.8986493407726
2038,"comp_p",43.166215392686
2040,"comp_p",43.9533668518667
2042,"comp_p",44.3491927815371
2044,"comp_p",45.740853832041
2046,"comp_p",47.5262365035217
2048,"comp_p",49.7614415614928
2050,"comp_p",51.2396075470517
