"gid","time","tech","value"
"AL",2010,"Nuclear",0.264498432755159
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0143473462962902
"AL",2010,"NG-CT",0.00103817242241008
"AL",2010,"Offshore Wind",0
"AL",2010,"PV",0
"AL",2010,"Land-based Wind",5.55387082428665e-07
"AL",2010,"Coal",0.177558813104215
"AL",2010,"Geothermal",0
"AL",2010,"NG-CC",0.476580365285187
"AL",2010,"CSP",0
"AL",2010,"Hydro",0.065976314749656
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Land-based Wind",6.48617516355778e-07
"AL",2012,"Geothermal",0
"AL",2012,"PV",0
"AL",2012,"NG-CC",0.564887481169411
"AL",2012,"Nuclear",0.308898643777302
"AL",2012,"Coal",0.0494372653160368
"AL",2012,"NG-CT",0.00135247652012032
"AL",2012,"Biopower",0.0153061757306342
"AL",2012,"Hydro",0.0601173088689797
"AL",2012,"Offshore Wind",0
"AL",2012,"CSP",0
"AL",2014,"Imports",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0798135372655797
"AL",2014,"Offshore Wind",0
"AL",2014,"PV",8.60289722752357e-06
"AL",2014,"Biopower",0.0130804337097093
"AL",2014,"Nuclear",0.301465455679603
"AL",2014,"Geothermal",0
"AL",2014,"NG-CT",0.000851592432301929
"AL",2014,"CSP",0
"AL",2014,"Land-based Wind",5.48903141747361e-07
"AL",2014,"Coal",0.129236524991363
"AL",2014,"NG-CC",0.475543304121074
"AL",2016,"Imports",0
"AL",2016,"Geothermal",0
"AL",2016,"PV",0.000529840894436985
"AL",2016,"Nuclear",0.316266513977595
"AL",2016,"Coal",0.0975661182636343
"AL",2016,"NG-CT",0.00123758043938878
"AL",2016,"NG-CC",0.510958051888323
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Hydro",0.0647677517719568
"AL",2016,"Offshore Wind",0
"AL",2016,"CSP",0
"AL",2016,"Biopower",0.00867356691201013
"AL",2016,"Land-based Wind",5.75852655357931e-07
"AL",2018,"NG-CT",0.00125544500446022
"AL",2018,"Hydro",0.0655023555516618
"AL",2018,"Nuclear",0.319853647546475
"AL",2018,"Imports",0
"AL",2018,"Biopower",0.0138782880582741
"AL",2018,"CSP",0
"AL",2018,"PV",0.00279514882004609
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Land-based Wind",6.71564880573955e-07
"AL",2018,"Geothermal",0
"AL",2018,"NG-CC",0.505904494651634
"AL",2018,"Coal",0.0908099488025684
"AL",2018,"Offshore Wind",0
"AL",2020,"PV",0.00313858987903874
"AL",2020,"NG-CT",0.00102033983492947
"AL",2020,"CSP",0
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Geothermal",0
"AL",2020,"Coal",0.124482742192355
"AL",2020,"Land-based Wind",7.61246466597972e-07
"AL",2020,"NG-CC",0.417662916186224
"AL",2020,"Offshore Wind",0
"AL",2020,"Hydro",0.0754270996151536
"AL",2020,"Imports",0
"AL",2020,"Biopower",0.0157303077003976
"AL",2020,"Nuclear",0.362537243345435
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"NG-CC",0.407048086057043
"AL",2022,"CSP",0
"AL",2022,"Coal",0.137433829397016
"AL",2022,"Land-based Wind",6.60131056617409e-06
"AL",2022,"Imports",0
"AL",2022,"NG-CT",0.0012606606404867
"AL",2022,"PV",0.00308858396170604
"AL",2022,"Offshore Wind",0
"AL",2022,"Nuclear",0.360513649559972
"AL",2022,"Geothermal",0
"AL",2022,"Hydro",0.0750060840840921
"AL",2022,"Biopower",0.0156425049891169
"AL",2024,"PV",0.00296872025965328
"AL",2024,"CSP",0
"AL",2024,"Nuclear",0.349913574809441
"AL",2024,"Coal",0.175410845517608
"AL",2024,"Land-based Wind",5.37205770452838e-05
"AL",2024,"NG-CT",0.00137343204574055
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Biopower",0.0151825731047831
"AL",2024,"Geothermal",0
"AL",2024,"Offshore Wind",0
"AL",2024,"NG-CC",0.382296431003996
"AL",2024,"Hydro",0.0728007026817333
"AL",2024,"Imports",0
"AL",2026,"CSP",0
"AL",2026,"Offshore Wind",0
"AL",2026,"Coal",0.217087930657697
"AL",2026,"Nuclear",0.355511121076685
"AL",2026,"PV",0.00298906656076522
"AL",2026,"Imports",0
"AL",2026,"Biopower",0.015425447807361
"AL",2026,"Land-based Wind",6.05024027936291e-05
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.0739652911140935
"AL",2026,"NG-CT",0.00138989211258487
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"NG-CC",0.33357074826802
"AL",2028,"Nuclear",0.368437667988605
"AL",2028,"PV",0.0263456293538585
"AL",2028,"Offshore Wind",0
"AL",2028,"CSP",0
"AL",2028,"Coal",0.237146716891908
"AL",2028,"Imports",0
"AL",2028,"Land-based Wind",7.15694524774422e-05
"AL",2028,"Hydro",0.0776345428101313
"AL",2028,"Biopower",0.0159863241425804
"AL",2028,"Geothermal",0
"AL",2028,"NG-CC",0.273199474486072
"AL",2028,"NG-CT",0.00117807487436799
"AL",2028,"Oil-Gas-Steam",0
"AL",2030,"PV",0.0222244944026472
"AL",2030,"CSP",0
"AL",2030,"Offshore Wind",0
"AL",2030,"Biopower",0.0136295838233458
"AL",2030,"Land-based Wind",6.79322618831047e-05
"AL",2030,"Geothermal",0
"AL",2030,"Hydro",0.0663496762428833
"AL",2030,"Imports",0
"AL",2030,"NG-CT",0.000884077258585253
"AL",2030,"Nuclear",0.314121747735197
"AL",2030,"Coal",0.179224115449956
"AL",2030,"NG-CC",0.403498372825502
"AL",2030,"Oil-Gas-Steam",0
"AL",2032,"PV",0.0214169214492303
"AL",2032,"Offshore Wind",0
"AL",2032,"CSP",0
"AL",2032,"Geothermal",0
"AL",2032,"Imports",0
"AL",2032,"Land-based Wind",0.00024709331464369
"AL",2032,"Nuclear",0.305825075847102
"AL",2032,"Hydro",0.0645972299457469
"AL",2032,"Biopower",0.0132695954246791
"AL",2032,"NG-CC",0.428343342558279
"AL",2032,"Coal",0.165624319299125
"AL",2032,"NG-CT",0.000676422161193912
"AL",2032,"Oil-Gas-Steam",0
"AL",2034,"CSP",0
"AL",2034,"PV",0.0208179383419224
"AL",2034,"Offshore Wind",0
"AL",2034,"Land-based Wind",0.000231055152993673
"AL",2034,"Geothermal",0
"AL",2034,"Hydro",0.0632941389833478
"AL",2034,"Imports",0
"AL",2034,"Biopower",0.0130019138245994
"AL",2034,"Oil-Gas-Steam",0
"AL",2034,"NG-CT",0.00146290009464801
"AL",2034,"NG-CC",0.441160062275311
"AL",2034,"Nuclear",0.299655803685647
"AL",2034,"Coal",0.16037618764153
"AL",2036,"Biopower",0.0123053772615154
"AL",2036,"Land-based Wind",0.000220206899735013
"AL",2036,"CSP",0
"AL",2036,"NG-CT",0.00201431329387811
"AL",2036,"Geothermal",0
"AL",2036,"Imports",0
"AL",2036,"PV",0.0306191594485722
"AL",2036,"Offshore Wind",0
"AL",2036,"Hydro",0.0599033549322023
"AL",2036,"Nuclear",0.28360268824256
"AL",2036,"NG-CC",0.452921710175556
"AL",2036,"Coal",0.158413189745981
"AL",2036,"Oil-Gas-Steam",0
"AL",2038,"Imports",0
"AL",2038,"Land-based Wind",0.00021885587576746
"AL",2038,"Geothermal",0
"AL",2038,"NG-CT",0.00170392713369434
"AL",2038,"Oil-Gas-Steam",0
"AL",2038,"Offshore Wind",0
"AL",2038,"Biopower",0.0119470625605717
"AL",2038,"Hydro",0.0581590563014576
"AL",2038,"NG-CC",0.452772829377682
"AL",2038,"Coal",0.170211803166725
"AL",2038,"Nuclear",0.275344590155451
"AL",2038,"CSP",0
"AL",2038,"PV",0.0296418754286507
"AL",2040,"Imports",0
"AL",2040,"Biopower",0.0116202907351621
"AL",2040,"Land-based Wind",0.000214412947421447
"AL",2040,"NG-CT",0.00201707505633522
"AL",2040,"CSP",0
"AL",2040,"Hydro",0.056568310384177
"AL",2040,"Geothermal",0
"AL",2040,"PV",0.0286042104625206
"AL",2040,"NG-CC",0.464474720220331
"AL",2040,"Offshore Wind",0
"AL",2040,"Oil-Gas-Steam",0
"AL",2040,"Coal",0.168687517785323
"AL",2040,"Nuclear",0.267813462408729
"AL",2042,"NG-CT",0.00210739956131634
"AL",2042,"CSP",0
"AL",2042,"Geothermal",0
"AL",2042,"Hydro",0.056144624645763
"AL",2042,"PV",0.0282288323405869
"AL",2042,"Oil-Gas-Steam",0
"AL",2042,"NG-CC",0.462116812689887
"AL",2042,"Imports",0
"AL",2042,"Biopower",0.0115332569979464
"AL",2042,"Coal",0.173643158900899
"AL",2042,"Nuclear",0.265807591209691
"AL",2042,"Land-based Wind",0.000418323653910228
"AL",2042,"Offshore Wind",0
"AL",2044,"Hydro",0.0562766221512869
"AL",2044,"Imports",0
"AL",2044,"NG-CC",0.449743518346886
"AL",2044,"NG-CT",0.00399711174592193
"AL",2044,"Land-based Wind",0.00042051053217122
"AL",2044,"PV",0.0281655443328434
"AL",2044,"CSP",0
"AL",2044,"Offshore Wind",0
"AL",2044,"Oil-Gas-Steam",0
"AL",2044,"Coal",0.183403808974148
"AL",2044,"Nuclear",0.266432511924904
"AL",2044,"Geothermal",0
"AL",2044,"Biopower",0.0115603719918376
"AL",2046,"CSP",0
"AL",2046,"Hydro",0.0543241433276484
"AL",2046,"NG-CC",0.473708442952046
"AL",2046,"Offshore Wind",0
"AL",2046,"Nuclear",0.257188818583401
"AL",2046,"Geothermal",0
"AL",2046,"Imports",0
"AL",2046,"Oil-Gas-Steam",0
"AL",2046,"NG-CT",0.00854887454203709
"AL",2046,"Land-based Wind",0.00730299607960087
"AL",2046,"PV",0.0272551399184109
"AL",2046,"Biopower",0.0111592928110942
"AL",2046,"Coal",0.160512291785762
"AL",2048,"NG-CC",0.500945740798659
"AL",2048,"NG-CT",0.0105441943483876
"AL",2048,"Land-based Wind",0.00715028177195046
"AL",2048,"Nuclear",0.253989131064156
"AL",2048,"Imports",0
"AL",2048,"Offshore Wind",0
"AL",2048,"Coal",0.125817144983264
"AL",2048,"CSP",0
"AL",2048,"Oil-Gas-Steam",0
"AL",2048,"Geothermal",0
"AL",2048,"Hydro",0.0537115426368982
"AL",2048,"PV",0.0368215044093802
"AL",2048,"Biopower",0.0110204599873038
"AL",2050,"Land-based Wind",0.00713125142290135
"AL",2050,"NG-CC",0.515612618813358
"AL",2050,"Nuclear",0.254668086406679
"AL",2050,"CSP",0
"AL",2050,"Coal",0.0938580701102978
"AL",2050,"Geothermal",0
"AL",2050,"Hydro",0.0540370373470516
"AL",2050,"Oil-Gas-Steam",0
"AL",2050,"NG-CT",0.0148531596880571
"AL",2050,"Offshore Wind",0
"AL",2050,"Imports",0
"AL",2050,"PV",0.0487898566952998
"AL",2050,"Biopower",0.0110499195163556
"AR",2010,"Nuclear",0.294785967349545
"AR",2010,"Imports",0
"AR",2010,"Oil-Gas-Steam",0
"AR",2010,"Biopower",0.0014292857167153
"AR",2010,"NG-CT",0.000800150879799852
"AR",2010,"Offshore Wind",0
"AR",2010,"PV",0
"AR",2010,"Land-based Wind",0
"AR",2010,"Coal",0.206473484846391
"AR",2010,"Geothermal",0
"AR",2010,"NG-CC",0.416271252228561
"AR",2010,"CSP",0
"AR",2010,"Hydro",0.0802398589789876
"AR",2012,"Imports",0
"AR",2012,"Oil-Gas-Steam",0
"AR",2012,"Land-based Wind",0
"AR",2012,"Geothermal",0
"AR",2012,"PV",0
"AR",2012,"NG-CC",0.595875574884352
"AR",2012,"Nuclear",0.291693711780127
"AR",2012,"Coal",0.0574443241642716
"AR",2012,"NG-CT",0.00140559533514202
"AR",2012,"Biopower",0.00141429274823197
"AR",2012,"Hydro",0.0521665010878746
"AR",2012,"Offshore Wind",0
"AR",2012,"CSP",0
"AR",2014,"Imports",0
"AR",2014,"Oil-Gas-Steam",0
"AR",2014,"Hydro",0.0679714046419373
"AR",2014,"Offshore Wind",0
"AR",2014,"PV",8.52129479014971e-05
"AR",2014,"Biopower",0.00184580881391034
"AR",2014,"Nuclear",0.380692628763783
"AR",2014,"Geothermal",0
"AR",2014,"NG-CT",0.00119669427589073
"AR",2014,"CSP",0
"AR",2014,"Land-based Wind",0
"AR",2014,"Coal",0.369397753767086
"AR",2014,"NG-CC",0.178810496789491
"AR",2016,"Imports",0
"AR",2016,"Geothermal",0
"AR",2016,"PV",0.000111372889027252
"AR",2016,"Nuclear",0.261654259605769
"AR",2016,"Coal",0.0749314313122205
"AR",2016,"NG-CT",0.00120708645656915
"AR",2016,"NG-CC",0.607882451747369
"AR",2016,"Oil-Gas-Steam",0
"AR",2016,"Hydro",0.0529447531504368
"AR",2016,"Offshore Wind",0
"AR",2016,"CSP",0
"AR",2016,"Biopower",0.0012686448386086
"AR",2016,"Land-based Wind",0
"AR",2018,"NG-CT",0.00105814705780527
"AR",2018,"Hydro",0.0710329562430457
"AR",2018,"Nuclear",0.351046599850466
"AR",2018,"Imports",0
"AR",2018,"Biopower",0.00170206843826048
"AR",2018,"CSP",0
"AR",2018,"PV",0.00418740355208132
"AR",2018,"Oil-Gas-Steam",0
"AR",2018,"Land-based Wind",0
"AR",2018,"Geothermal",0
"AR",2018,"NG-CC",0.318177697439644
"AR",2018,"Coal",0.252795127418697
"AR",2018,"Offshore Wind",0
"AR",2020,"PV",0.00512302115682803
"AR",2020,"NG-CT",0.00130565602975338
"AR",2020,"CSP",0
"AR",2020,"Oil-Gas-Steam",0
"AR",2020,"Geothermal",0
"AR",2020,"Coal",0.359227534897063
"AR",2020,"Land-based Wind",0
"AR",2020,"NG-CC",0.111436287217698
"AR",2020,"Offshore Wind",0
"AR",2020,"Hydro",0.0876481269269932
"AR",2020,"Imports",0
"AR",2020,"Biopower",0.00210019571766997
"AR",2020,"Nuclear",0.433159178053995
"AR",2022,"Oil-Gas-Steam",0
"AR",2022,"NG-CC",0.160039858532119
"AR",2022,"CSP",0
"AR",2022,"Coal",0.339568276679267
"AR",2022,"Land-based Wind",3.09663463884362e-05
"AR",2022,"Imports",0
"AR",2022,"NG-CT",0.00123420931739815
"AR",2022,"PV",0.00483317322725627
"AR",2022,"Offshore Wind",0
"AR",2022,"Nuclear",0.40945630494407
"AR",2022,"Geothermal",0
"AR",2022,"Hydro",0.0828519398989207
"AR",2022,"Biopower",0.00198527105458057
"AR",2024,"PV",0.00479571813818568
"AR",2024,"CSP",0
"AR",2024,"Nuclear",0.409571143635835
"AR",2024,"Coal",0.339660961606292
"AR",2024,"Land-based Wind",3.09750314047983e-05
"AR",2024,"NG-CT",0.0012345554715095
"AR",2024,"Oil-Gas-Steam",0
"AR",2024,"Biopower",0.00198582785619274
"AR",2024,"Geothermal",0
"AR",2024,"Offshore Wind",0
"AR",2024,"NG-CC",0.159845641185255
"AR",2024,"Hydro",0.082875177075326
"AR",2024,"Imports",0
"AR",2026,"CSP",0
"AR",2026,"Offshore Wind",0
"AR",2026,"Coal",0.340442662210529
"AR",2026,"Nuclear",0.408409192098427
"AR",2026,"PV",0.00474153831752008
"AR",2026,"Imports",0
"AR",2026,"Biopower",0.001980194071278
"AR",2026,"Land-based Wind",3.08871553766129e-05
"AR",2026,"Geothermal",0
"AR",2026,"Hydro",0.082640060561597
"AR",2026,"NG-CT",0.00123105304305372
"AR",2026,"Oil-Gas-Steam",0
"AR",2026,"NG-CC",0.160524412542218
"AR",2028,"Nuclear",0.42673410777771
"AR",2028,"PV",0.00499138262633477
"AR",2028,"Offshore Wind",0
"AR",2028,"CSP",0
"AR",2028,"Coal",0.358650387283139
"AR",2028,"Imports",0
"AR",2028,"Land-based Wind",3.22730314264176e-05
"AR",2028,"Hydro",0.0863480381752769
"AR",2028,"Biopower",0.00206904341670615
"AR",2028,"Geothermal",0
"AR",2028,"NG-CC",0.119888478516395
"AR",2028,"NG-CT",0.00128628917301146
"AR",2028,"Oil-Gas-Steam",0
"AR",2030,"PV",0.00523109357906024
"AR",2030,"CSP",0
"AR",2030,"Offshore Wind",0
"AR",2030,"Biopower",0.00211652389550054
"AR",2030,"Land-based Wind",3.30136340507513e-05
"AR",2030,"Geothermal",0
"AR",2030,"Hydro",0.0883295558961789
"AR",2030,"Imports",0
"AR",2030,"NG-CT",0.00119079148076977
"AR",2030,"Nuclear",0.436526816616773
"AR",2030,"Coal",0.363274200889896
"AR",2030,"NG-CC",0.103298004007771
"AR",2030,"Oil-Gas-Steam",0
"AR",2032,"PV",0.0679577239788903
"AR",2032,"Offshore Wind",0
"AR",2032,"CSP",0
"AR",2032,"Geothermal",0
"AR",2032,"Imports",0
"AR",2032,"Land-based Wind",2.79529469509836e-05
"AR",2032,"Nuclear",0.369611262086814
"AR",2032,"Hydro",0.074789445668846
