"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,40.0500135936
"AL","Nuclear",2036,40.0500135936
"AL","Nuclear",2038,40.0500135936
"AL","Nuclear",2040,40.0500135936
"AL","Nuclear",2042,40.0500135936
"AL","Nuclear",2044,40.0500135936
"AL","Nuclear",2046,40.0500135936
"AL","Nuclear",2048,40.0500135936
"AL","Nuclear",2050,40.0500135936
"AL","Coal",2010,26.8857278450116
"AL","Coal",2012,6.4097502136174
"AL","Coal",2014,17.1692128739112
"AL","Coal",2016,12.3551630983297
"AL","Coal",2018,11.3706368893246
"AL","Coal",2020,13.7517885637534
"AL","Coal",2022,15.2677346399761
"AL","Coal",2024,20.0769768685623
"AL","Coal",2026,24.455984801589
"AL","Coal",2028,25.7783882062033
"AL","Coal",2030,22.8507841683175
"AL","Coal",2032,21.6897068397264
"AL","Coal",2034,21.4348209383294
"AL","Coal",2036,22.370910663956
"AL","Coal",2038,24.7580133198543
"AL","Coal",2040,25.2262799622154
"AL","Coal",2042,26.1633267987837
"AL","Coal",2044,27.5691768600784
"AL","Coal",2046,24.9953302922267
"AL","Coal",2048,19.8393464546121
"AL","Coal",2050,14.7604556064545
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,72.1631879224897
"AL","NG-CC",2012,73.24004736
"AL","NG-CC",2014,63.1764450472761
"AL","NG-CC",2016,64.704532473319
"AL","NG-CC",2018,63.3461023292451
"AL","NG-CC",2020,46.1398263980912
"AL","NG-CC",2022,45.2195954292752
"AL","NG-CC",2024,43.7564540524985
"AL","NG-CC",2026,37.578326557272
"AL","NG-CC",2028,29.6974050635614
"AL","NG-CC",2030,51.4453883985126
"AL","NG-CC",2032,56.0946699503604
"AL","NG-CC",2034,58.9625372636355
"AL","NG-CC",2036,63.9610321107153
"AL","NG-CC",2038,65.8576874931563
"AL","NG-CC",2040,69.4596107731047
"AL","NG-CC",2042,69.6285028799669
"AL","NG-CC",2044,67.6052404163916
"AL","NG-CC",2046,73.7669300093633
"AL","NG-CC",2048,78.9911113305654
"AL","NG-CC",2050,81.0870835206665
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.175354292118209
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.156719447776268
"AL","NG-CT",2018,0.157198737236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.140048721733655
"AL","NG-CT",2024,0.157198737236046
"AL","NG-CT",2026,0.156577937236046
"AL","NG-CT",2028,0.12805942180205
"AL","NG-CT",2030,0.112718417236046
"AL","NG-CT",2032,0.0885823919957844
"AL","NG-CT",2034,0.195521554917703
"AL","NG-CT",2036,0.284458780350449
"AL","NG-CT",2038,0.247843274597967
"AL","NG-CT",2040,0.301642354715712
"AL","NG-CT",2042,0.317528106303342
"AL","NG-CT",2044,0.600844013377888
"AL","NG-CT",2046,1.33124971569298
"AL","NG-CT",2048,1.66265038671995
"AL","NG-CT",2050,2.33586098599199
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.3325407812912
"AL","Hydro",2022,8.3325407812912
"AL","Hydro",2024,8.3325407812912
"AL","Hydro",2026,8.3325407812912
"AL","Hydro",2028,8.43905160906307
"AL","Hydro",2030,8.45947615730996
"AL","Hydro",2032,8.45947615730996
"AL","Hydro",2034,8.45947615730996
"AL","Hydro",2036,8.45947615730996
"AL","Hydro",2038,8.45947615730996
"AL","Hydro",2040,8.45947615730996
"AL","Hydro",2042,8.45947615730996
"AL","Hydro",2044,8.45947615730996
"AL","Hydro",2046,8.45947615730996
"AL","Hydro",2048,8.46944908125864
"AL","Hydro",2050,8.49805765160268
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.9845103189248
