"time","tech","value"
2010,"Nuclear",100.9359945
2010,"Coal",309.886015556229
2010,"Oil-Gas-Steam",107.000063
2010,"NG-CC",209.296000547636
2010,"NG-CT",136.160526
2010,"Hydro",75.873188
2010,"Geothermal",2.487
2010,"Biopower",6.91822
2010,"Land-based Wind",39.7232308422099
2010,"Offshore Wind",0
2010,"CSP",0.48414
2010,"Utility PV",0.69852
2010,"Rooftop PV",1.04016316995091
2010,"Storage",22.24305
2012,"Nuclear",102.092324738588
2012,"Coal",304.110865529072
2012,"Oil-Gas-Steam",98.7583523636364
2012,"NG-CC",223.935151993259
2012,"NG-CT",142.177248623385
2012,"Hydro",75.96487
2012,"Geothermal",2.6334
2012,"Biopower",7.250269
2012,"Land-based Wind",58.2956758422099
2012,"Offshore Wind",0
2012,"CSP",0.550187
2012,"Utility PV",3.554448
2012,"Rooftop PV",3.70040946884545
2012,"Storage",22.24305
2014,"Nuclear",98.3142039428189
2014,"Coal",294.765623084645
2014,"Oil-Gas-Steam",91.883601
2014,"NG-CC",237.481912686421
2014,"NG-CT",144.61093255584
2014,"Hydro",76.29487
2014,"Geothermal",2.7222
2014,"Biopower",7.7032096056338
2014,"Land-based Wind",64.7889918422099
2014,"Offshore Wind",0
2014,"CSP",1.784587
2014,"Utility PV",10.122712
2014,"Rooftop PV",7.56708545454545
2014,"Storage",22.24305
2016,"Nuclear",99.2065124105142
2016,"Coal",265.086242796875
2016,"Oil-Gas-Steam",93.159991
2016,"NG-CC",247.084540799573
2016,"NG-CT",145.495454132446
2016,"Hydro",76.349499
2016,"Geothermal",2.773574
2016,"Biopower",7.7751196056338
2016,"Land-based Wind",81.0047808422099
2016,"Offshore Wind",0.03
2016,"CSP",1.894587
2016,"Utility PV",22.35376
2016,"Rooftop PV",14.2215218181818
2016,"Storage",22.24305
2018,"Nuclear",96.0879167791532
2018,"Coal",253.307013
2018,"Oil-Gas-Steam",75.822446
2018,"NG-CC",269.058141069881
2018,"NG-CT",144.576644866501
2018,"Hydro",78.599499
2018,"Geothermal",3.673574
2018,"Biopower",7.7667087439811
2018,"Land-based Wind",94.1849419358945
2018,"Offshore Wind",0.030002275234603
2018,"CSP",1.894587
2018,"Utility PV",38.7746957652646
2018,"Rooftop PV",20.2474618181818
2018,"Storage",22.2756348192935
2020,"Nuclear",97.3797167791532
2020,"Coal",248.075713
2020,"Oil-Gas-Steam",68.831346
2020,"NG-CC",273.670041201184
2020,"NG-CT",145.851665196114
2020,"Hydro",80.0284131
2020,"Geothermal",4.969574
2020,"Biopower",7.76670965138248
2020,"Land-based Wind",106.661340148198
2020,"Offshore Wind",0.030002275234603
2020,"CSP",1.894587
2020,"Utility PV",58.7193305395502
2020,"Rooftop PV",29.5046409090909
2020,"Storage",22.2762575249558
2022,"Nuclear",96.3391189575999
2022,"Coal",223.997892
2022,"Oil-Gas-Steam",64.230371
2022,"NG-CC",273.423741163807
2022,"NG-CT",147.717093317512
2022,"Hydro",80.0284131
2022,"Geothermal",4.969574
2022,"Biopower",7.76670846346618
2022,"Land-based Wind",109.781049853113
2022,"Offshore Wind",0.030002275234603
2022,"CSP",1.894587
2022,"Utility PV",66.8887523958963
2022,"Rooftop PV",33.9934745454545
2022,"Storage",22.3183646089564
2024,"Nuclear",95.1891194757766
2024,"Coal",220.869732
2024,"Oil-Gas-Steam",58.445193
2024,"NG-CC",275.959184548794
2024,"NG-CT",149.123823087753
2024,"Hydro",80.0682966
2024,"Geothermal",4.969574
2024,"Biopower",7.71480846346618
2024,"Land-based Wind",109.05023765321
2024,"Offshore Wind",0.030002275234603
2024,"CSP",1.894587
2024,"Utility PV",74.1746082639118
2024,"Rooftop PV",38.0246972727273
2024,"Storage",22.3348197023227
2026,"Nuclear",94.4169434312068
2026,"Coal",217.479982
2026,"Oil-Gas-Steam",48.311443
2026,"NG-CC",279.921651981501
2026,"NG-CT",148.308763022271
2026,"Hydro",80.2163706
2026,"Geothermal",6.27894688
2026,"Biopower",7.71480846346618
2026,"Land-based Wind",108.947192524489
2026,"Offshore Wind",0.030002275234603
2026,"CSP",1.894587
2026,"Utility PV",78.1107169748429
2026,"Rooftop PV",43.0349581818182
2026,"Storage",22.3445712199851
2028,"Nuclear",96.1059366893132
2028,"Coal",213.391912
2028,"Oil-Gas-Steam",38.913031
2028,"NG-CC",297.132324184898
2028,"NG-CT",143.384608706554
2028,"Hydro",80.418874592
2028,"Geothermal",6.27894688
2028,"Biopower",7.71480846346618
2028,"Land-based Wind",108.900259541873
2028,"Offshore Wind",0.030002275234603
2028,"CSP",1.894587
2028,"Utility PV",93.6504876212624
2028,"Rooftop PV",49.5469154545454
2028,"Storage",22.3889076984108
2030,"Nuclear",96.8882364741252
2030,"Coal",205.463262
2030,"Oil-Gas-Steam",26.10293
2030,"NG-CC",320.36439276624
2030,"NG-CT",142.465343684952
2030,"Hydro",80.518314592
2030,"Geothermal",6.73591448
2030,"Biopower",7.71480846346618
2030,"Land-based Wind",109.99569280395
2030,"Offshore Wind",0.030002275234603
2030,"CSP",1.894587
2030,"Utility PV",116.027757352106
2030,"Rooftop PV",57.66762
2030,"Storage",23.059565312102
2032,"Nuclear",92.4319475272734
2032,"Coal",204.268712
2032,"Oil-Gas-Steam",19.520446
2032,"NG-CC",338.110402323647
2032,"NG-CT",148.209746453847
2032,"Hydro",80.601804592
2032,"Geothermal",6.73591448
2032,"Biopower",7.71480846346618
2032,"Land-based Wind",102.876490035728
2032,"Offshore Wind",0.030002275234603
2032,"CSP",1.894587
2032,"Utility PV",119.592671955777
2032,"Rooftop PV",64.7474327272727
2032,"Storage",23.2558906955676
2034,"Nuclear",92.1449332842566
2034,"Coal",200.059032
2034,"Oil-Gas-Steam",14.54649
2034,"NG-CC",342.890068285653
2034,"NG-CT",163.470810183861
2034,"Hydro",80.685872292
2034,"Geothermal",6.73591448
2034,"Biopower",7.71480846346618
2034,"Land-based Wind",98.9050644394588
2034,"Offshore Wind",0.030002275234603
2034,"CSP",1.894587
2034,"Utility PV",132.594500995376
2034,"Rooftop PV",71.4721163636364
2034,"Storage",23.4961955369594
2036,"Nuclear",88.5832911513571
2036,"Coal",197.147742
2036,"Oil-Gas-Steam",6.4124
2036,"NG-CC",342.58218466862
2036,"NG-CT",195.453876797727
2036,"Hydro",80.699648692
2036,"Geothermal",6.73591448
2036,"Biopower",7.71480846346618
2036,"Land-based Wind",95.003114220435
2036,"Offshore Wind",0.030002275234603
2036,"CSP",1.894587
2036,"Utility PV",139.749850777972
2036,"Rooftop PV",78.1348
2036,"Storage",23.6464099355136
2038,"Nuclear",85.9785027712857
2038,"Coal",193.224382
2038,"Oil-Gas-Steam",5.8104
2038,"NG-CC",341.797511695404
2038,"NG-CT",218.721761373717
2038,"Hydro",80.777958092
2038,"Geothermal",6.73591448
2038,"Biopower",7.71130846346618
2038,"Land-based Wind",104.886709576137
2038,"Offshore Wind",0.030002275234603
2038,"CSP",1.894587
2038,"Utility PV",145.202593851292
2038,"Rooftop PV",86.5026018181818
2038,"Storage",23.6464849830005
2040,"Nuclear",86.0888724011045
2040,"Coal",189.051842
2040,"Oil-Gas-Steam",5.7889
2040,"NG-CC",341.706186533293
2040,"NG-CT",238.522146576348
2040,"Hydro",80.778487392
2040,"Geothermal",6.73591448
2040,"Biopower",7.68440846346618
2040,"Land-based Wind",112.383412928348
2040,"Offshore Wind",2.27523460301308e-06
2040,"CSP",1.894587
2040,"Utility PV",150.874621550196
2040,"Rooftop PV",94.8002263636364
2040,"Storage",23.6544625326458
2042,"Nuclear",83.7954724011045
2042,"Coal",179.941872
2042,"Oil-Gas-Steam",5.7389
2042,"NG-CC",341.198732013339
2042,"NG-CT",253.493118168127
2042,"Hydro",81.074717392
2042,"Geothermal",6.71821448
2042,"Biopower",7.66869117689148
2042,"Land-based Wind",122.298054280676
2042,"Offshore Wind",0
2042,"CSP",1.82854
2042,"Utility PV",161.764205451841
2042,"Rooftop PV",102.269643636364
2042,"Storage",23.9661899666054
2044,"Nuclear",79.3582728492907
2044,"Coal",168.008136
2044,"Oil-Gas-Steam",5.65885
2044,"NG-CC",339.242863663451
2044,"NG-CT",279.476846090728
2044,"Hydro",81.093057392
