"time","type","value"
2010,"price",107.710500399749
2012,"price",106.178999165233
2014,"price",109.451826885071
2016,"price",106.396406053073
2018,"price",106.697564446608
2020,"price",107.908988086456
2022,"price",107.493221486263
2024,"price",106.833482761506
2026,"price",108.248046145812
2028,"price",108.002880517264
2030,"price",108.482271829491
2032,"price",108.430573869147
2034,"price",108.264674422482
2036,"price",107.622272922768
2038,"price",108.734807724627
2040,"price",107.775998740003
2042,"price",106.405221237514
2044,"price",105.244553562228
2046,"price",106.061038966212
2048,"price",107.623624033154
2050,"price",109.444973971675
2010,"comp_p",48.7362908790631
2012,"comp_p",33.6012533265869
2014,"comp_p",44.1206031526619
2016,"comp_p",28.8348992919273
2018,"comp_p",33.1693588193647
2020,"comp_p",37.0223058279315
2022,"comp_p",37.618875428085
2024,"comp_p",38.0198305941222
2026,"comp_p",39.9673963636411
2028,"comp_p",39.4419576324401
2030,"comp_p",38.9987078989735
2032,"comp_p",39.0877034704728
2034,"comp_p",39.0772755004221
2036,"comp_p",40.5248879822221
2038,"comp_p",41.4177216780227
2040,"comp_p",41.5852716058952
2042,"comp_p",42.2296061997245
2044,"comp_p",43.9024871269029
2046,"comp_p",45.918247701918
2048,"comp_p",48.0010307819164
2050,"comp_p",49.2973531022612
