"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,40.0500135936
"AL","Nuclear",2036,40.0500135936
"AL","Nuclear",2038,40.0500135936
"AL","Nuclear",2040,40.0500135936
"AL","Nuclear",2042,40.0500135936
"AL","Nuclear",2044,40.0500135936
"AL","Nuclear",2046,40.0500135936
"AL","Nuclear",2048,40.0500135936
"AL","Nuclear",2050,40.0500135936
"AL","Coal",2010,26.8788254079706
"AL","Coal",2012,6.3674636369909
"AL","Coal",2014,17.2461475412473
"AL","Coal",2016,12.3551630983297
"AL","Coal",2018,11.3707245330191
"AL","Coal",2020,13.6896392564911
"AL","Coal",2022,14.0224489992676
"AL","Coal",2024,20.0888752004927
"AL","Coal",2026,23.9490003266797
"AL","Coal",2028,25.76695664
"AL","Coal",2030,22.5597891957918
"AL","Coal",2032,20.9757165609387
"AL","Coal",2034,20.1988629597497
"AL","Coal",2036,21.4336488510378
"AL","Coal",2038,22.1802292129002
"AL","Coal",2040,23.0333854601727
"AL","Coal",2042,23.8635552677134
"AL","Coal",2044,24.2691750402143
"AL","Coal",2046,23.3225893317144
"AL","Coal",2048,18.196423860778
"AL","Coal",2050,12.7315963552902
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,72.1454245602962
"AL","NG-CC",2012,73.24004736
"AL","NG-CC",2014,63.2563517456408
"AL","NG-CC",2016,64.6224419114654
"AL","NG-CC",2018,63.3351418286327
"AL","NG-CC",2020,46.3027225680306
"AL","NG-CC",2022,46.5792373486013
"AL","NG-CC",2024,43.8224547774113
"AL","NG-CC",2026,38.4400528689928
"AL","NG-CC",2028,28.1418760894268
"AL","NG-CC",2030,47.7664974446944
"AL","NG-CC",2032,54.9086921158344
"AL","NG-CC",2034,57.5901779169969
"AL","NG-CC",2036,62.5534109934155
"AL","NG-CC",2038,64.8197385385531
"AL","NG-CC",2040,68.0062701758323
"AL","NG-CC",2042,66.990966334066
"AL","NG-CC",2044,66.8352177925438
"AL","NG-CC",2046,73.3344274248057
"AL","NG-CC",2048,79.2082136980237
"AL","NG-CC",2050,81.3388552692605
"AL","NG-CT",2010,0.157198737236046
"AL","NG-CT",2012,0.175354292118207
"AL","NG-CT",2014,0.113134980633228
"AL","NG-CT",2016,0.156719447776268
"AL","NG-CT",2018,0.157198737236046
"AL","NG-CT",2020,0.112718417236046
"AL","NG-CT",2022,0.151659346840483
"AL","NG-CT",2024,0.145108643696183
"AL","NG-CT",2026,0.156577937236046
"AL","NG-CT",2028,0.112718417236046
"AL","NG-CT",2030,0.112718417236046
"AL","NG-CT",2032,0.109516667446415
"AL","NG-CT",2034,0.0247219350613509
"AL","NG-CT",2036,0.175304955386708
"AL","NG-CT",2038,0.222040414641682
"AL","NG-CT",2040,0.220627700352925
"AL","NG-CT",2042,0.271554439993355
"AL","NG-CT",2044,0.323735847713087
"AL","NG-CT",2046,1.24352445403978
"AL","NG-CT",2048,0.561818987906233
"AL","NG-CT",2050,1.77774955030932
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.37612668616747
"AL","Hydro",2022,8.37612668616747
"AL","Hydro",2024,8.37612668616747
"AL","Hydro",2026,8.37612668616747
"AL","Hydro",2028,8.51814112319664
"AL","Hydro",2030,8.54537385419249
"AL","Hydro",2032,8.54537385419249
"AL","Hydro",2034,8.54537385419249
"AL","Hydro",2036,8.54537385419249
"AL","Hydro",2038,8.54537385419249
"AL","Hydro",2040,8.54537385419249
"AL","Hydro",2042,8.54537385419249
"AL","Hydro",2044,8.54537385419249
"AL","Hydro",2046,8.54537385419249
"AL","Hydro",2048,8.54537385419249
"AL","Hydro",2050,8.55867108612406
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.95384428436828
