"time","tech","value"
2010,"Nuclear",100.9359945
2010,"Coal",309.886015556229
2010,"Oil-Gas-Steam",107.000063
2010,"NG-CC",209.296000547636
2010,"NG-CT",136.160526
2010,"Hydro",75.873188
2010,"Geothermal",2.487
2010,"Biopower",6.91822
2010,"Land-based Wind",39.7232308422099
2010,"Offshore Wind",0
2010,"CSP",0.48414
2010,"PV",1.73868316995091
2010,"Storage",22.24305
2012,"Nuclear",102.092324738588
2012,"Coal",304.110865529072
2012,"Oil-Gas-Steam",98.7583523636364
2012,"NG-CC",223.935151993259
2012,"NG-CT",142.177172735785
2012,"Hydro",75.96487
2012,"Geothermal",2.6334
2012,"Biopower",7.250269
2012,"Land-based Wind",58.2956758422099
2012,"Offshore Wind",0
2012,"CSP",0.550187
2012,"PV",7.25485746884545
2012,"Storage",22.24305
2014,"Nuclear",98.3142039428189
2014,"Coal",294.765623084645
2014,"Oil-Gas-Steam",91.883601
2014,"NG-CC",237.481899026234
2014,"NG-CT",144.61085666824
2014,"Hydro",76.29487
2014,"Geothermal",2.7222
2014,"Biopower",7.7032096056338
2014,"Land-based Wind",64.7889918422099
2014,"Offshore Wind",0
2014,"CSP",1.784587
2014,"PV",17.6897947272727
2014,"Storage",22.24305
2016,"Nuclear",99.2065124105142
2016,"Coal",265.086242796875
2016,"Oil-Gas-Steam",93.159991
2016,"NG-CC",247.084527149467
2016,"NG-CT",145.495378244846
2016,"Hydro",76.349499
2016,"Geothermal",2.773574
2016,"Biopower",7.7751196056338
2016,"Land-based Wind",81.0047808422099
2016,"Offshore Wind",0.03
2016,"CSP",1.894587
2016,"PV",36.5752827272727
2016,"Storage",22.24305
2018,"Nuclear",96.0879167791532
2018,"Coal",253.307013
2018,"Oil-Gas-Steam",75.822446
2018,"NG-CC",269.058126081286
2018,"NG-CT",144.241182244846
2018,"Hydro",78.599499
2018,"Geothermal",3.673574
2018,"Biopower",7.76676965079941
2018,"Land-based Wind",94.2609735919974
2018,"Offshore Wind",0.0300022736359102
2018,"CSP",1.89458793865625
2018,"PV",59.8903379356587
2018,"Storage",22.2754884015032
2020,"Nuclear",97.3797167791532
2020,"Coal",248.075713
2020,"Oil-Gas-Steam",68.831346
2020,"NG-CC",273.670026213023
2020,"NG-CT",145.672270751401
2020,"Hydro",80.0374571
2020,"Geothermal",4.969574
2020,"Biopower",7.76677104913619
2020,"Land-based Wind",107.042776839925
2020,"Offshore Wind",0.0300022736359102
2020,"CSP",1.894587
2020,"PV",88.5718310341109
2020,"Storage",22.2914497569902
2022,"Nuclear",96.3391167791532
2022,"Coal",224.152392
2022,"Oil-Gas-Steam",64.230371
2022,"NG-CC",273.423726173924
2022,"NG-CT",147.592643771299
2022,"Hydro",80.0374571
2022,"Geothermal",4.969574
2022,"Biopower",7.76677301593836
2022,"Land-based Wind",110.141557434276
2022,"Offshore Wind",0.0300022736359102
2022,"CSP",1.894587
2022,"PV",101.145617377283
2022,"Storage",22.3274429245333
2024,"Nuclear",95.1891167791532
2024,"Coal",221.024312
2024,"Oil-Gas-Steam",58.445193
2024,"NG-CC",276.018834974585
2024,"NG-CT",148.816029928048
2024,"Hydro",80.047813972818
2024,"Geothermal",4.969574
2024,"Biopower",7.71487393720982
2024,"Land-based Wind",109.394619155387
2024,"Offshore Wind",0.0300022736359102
2024,"CSP",1.894587
2024,"PV",112.462974608039
2024,"Storage",22.3440329847881
2026,"Nuclear",94.0391167791532
2026,"Coal",217.660362
2026,"Oil-Gas-Steam",48.311443
2026,"NG-CC",280.178753066481
2026,"NG-CT",147.980881058281
2026,"Hydro",80.1934146
2026,"Geothermal",6.27894688
2026,"Biopower",7.71487545241007
2026,"Land-based Wind",109.467296326033
2026,"Offshore Wind",0.0300022736359102
2026,"CSP",1.894587
2026,"PV",122.826793713436
2026,"Storage",22.3986647395462
2028,"Nuclear",94.0391167791532
2028,"Coal",213.364892
2028,"Oil-Gas-Steam",38.913031
2028,"NG-CC",298.170270601099
2028,"NG-CT",141.598504168693
2028,"Hydro",80.498258592
2028,"Geothermal",6.38669353834888
2028,"Biopower",7.71487443922
2028,"Land-based Wind",112.51690716887
2028,"Offshore Wind",0.0300022736359102
2028,"CSP",1.894587
2028,"PV",150.295868872977
2028,"Storage",22.6880827336974
2030,"Nuclear",91.9338167791532
2030,"Coal",203.256012
2030,"Oil-Gas-Steam",26.10293
2030,"NG-CC",322.526755828546
2030,"NG-CT",141.688608367864
2030,"Hydro",80.752006592
2030,"Geothermal",6.87019547
2030,"Biopower",7.71487443922
2030,"Land-based Wind",118.508009274662
2030,"Offshore Wind",0.0300022736359102
2030,"CSP",1.894587
2030,"PV",187.991462120896
2030,"Storage",24.9455626764642
2032,"Nuclear",87.3280169837768
2032,"Coal",197.206336
2032,"Oil-Gas-Steam",19.520446
2032,"NG-CC",335.431019156843
2032,"NG-CT",148.886502814671
2032,"Hydro",80.835496592
2032,"Geothermal",6.87019547
2032,"Biopower",7.71487443922
2032,"Land-based Wind",117.174302673373
2032,"Offshore Wind",0.0300022736359102
2032,"CSP",1.894587
2032,"PV",224.909467497988
2032,"Storage",25.2137249563682
2034,"Nuclear",86.6242489837768
2034,"Coal",185.671396
2034,"Oil-Gas-Steam",14.54649
2034,"NG-CC",343.177018766936
2034,"NG-CT",167.417922819986
2034,"Hydro",80.909416292
2034,"Geothermal",6.87019547
2034,"Biopower",7.71487443922
2034,"Land-based Wind",118.672607692093
2034,"Offshore Wind",0.0300022736359102
2034,"CSP",1.894587
2034,"PV",245.299308073648
2034,"Storage",25.9887111662808
2036,"Nuclear",82.5405939837768
2036,"Coal",181.515276
2036,"Oil-Gas-Steam",6.4124
2036,"NG-CC",342.869086766936
2036,"NG-CT",198.479598791157
2036,"Hydro",80.985112692
2036,"Geothermal",6.87019547
2036,"Biopower",7.71487443922
2036,"Land-based Wind",122.647069558654
2036,"Offshore Wind",0.0300022736359102
2036,"CSP",1.894587
2036,"PV",263.886918001854
2036,"Storage",26.5476075443235
2038,"Nuclear",79.6345939837768
2038,"Coal",175.420186
2038,"Oil-Gas-Steam",5.8104
2038,"NG-CC",342.084440659167
2038,"NG-CT",224.833097970267
2038,"Hydro",81.128042092
2038,"Geothermal",6.87019547
2038,"Biopower",7.71137443922
2038,"Land-based Wind",133.178689674188
2038,"Offshore Wind",0.0300022736359102
2038,"CSP",1.894587
2038,"PV",277.459647112429
2038,"Storage",26.6724343782112
2040,"Nuclear",78.7515439837768
2040,"Coal",169.776426
2040,"Oil-Gas-Steam",5.7889
2040,"NG-CC",341.99311547556
2040,"NG-CT",244.6277713822
2040,"Hydro",81.128571392
2040,"Geothermal",6.87019547
2040,"Biopower",7.68447443922
2040,"Land-based Wind",145.684702480947
2040,"Offshore Wind",2.27363591021407e-06
2040,"CSP",1.894587
2040,"PV",289.375655170852
2040,"Storage",27.0003897842985
2042,"Nuclear",76.4581439837768
2042,"Coal",160.257456
2042,"Oil-Gas-Steam",5.7389
2042,"NG-CC",339.314891834715
2042,"NG-CT",264.552232150693
2042,"Hydro",81.375801392
2042,"Geothermal",6.85249547
2042,"Biopower",7.6687571526453
2042,"Land-based Wind",153.958428662956
2042,"Offshore Wind",0
2042,"CSP",1.82854
2042,"PV",300.521674954275
2042,"Storage",27.4290770750877
2044,"Nuclear",72.020944431963
2044,"Coal",149.169286
2044,"Oil-Gas-Steam",5.65885
2044,"NG-CC",339.07738907576
2044,"NG-CT",291.559232683845
2044,"Hydro",81.383901392
2044,"Geothermal",6.85249547
2044,"Biopower",7.6441371526453
2044,"Land-based Wind",169.671690432072
2044,"Offshore Wind",0
2044,"CSP",0.59414
2044,"PV",313.757063887125
2044,"Storage",27.5508985247948
2046,"Nuclear",62.6239432367894
2046,"Coal",132.526886
2046,"Oil-Gas-Steam",5.5719
2046,"NG-CC",334.246225756934
2046,"NG-CT",328.768656124498
2046,"Hydro",81.405941392
2046,"Geothermal",6.80214897
2046,"Biopower",7.6310871526453
2046,"Land-based Wind",191.588694417858
2046,"Offshore Wind",0
2046,"CSP",0.48414
2046,"PV",330.339959292459
2046,"Storage",28.34355844628
2048,"Nuclear",53.6574438477848
2048,"Coal",113.077596
2048,"Oil-Gas-Steam",4.85488
