"time","type","value"
2010,"price",107.710500642653
2012,"price",106.263582819977
2014,"price",109.574985936304
2016,"price",106.63335392459
2018,"price",106.91406151138
2020,"price",108.496461336583
2022,"price",108.054953256362
2024,"price",107.354475174186
2026,"price",109.143022682759
2028,"price",110.688051744233
2030,"price",111.128741190441
2032,"price",111.362878042734
2034,"price",110.608673890147
2036,"price",110.723662306242
2038,"price",112.525089194113
2040,"price",111.362587695865
2042,"price",109.949478145271
2044,"price",106.771109024575
2046,"price",107.097430356351
2048,"price",108.694369959125
2050,"price",109.816567431537
2010,"comp_p",48.7362907895474
2012,"comp_p",33.6012535736856
2014,"comp_p",44.1206023239783
2016,"comp_p",28.8349024146825
2018,"comp_p",33.1289516212856
2020,"comp_p",37.0031210769819
2022,"comp_p",37.6325635114871
2024,"comp_p",38.1707612453024
2026,"comp_p",40.7441377816741
2028,"comp_p",43.1171735113443
2030,"comp_p",42.9496520118691
2032,"comp_p",42.8373278610001
2034,"comp_p",41.8294406321619
2036,"comp_p",43.5126360552652
2038,"comp_p",45.1895035652094
2040,"comp_p",45.1921299515889
2042,"comp_p",45.6389033640555
2044,"comp_p",45.8105919669364
2046,"comp_p",47.6232747535297
2048,"comp_p",50.1890252430909
2050,"comp_p",51.2015421800656
