"time","type","value"
2010,"price",107.710500376438
2012,"price",106.263677104237
2014,"price",109.574732754941
2016,"price",106.633331331739
2018,"price",106.913719542103
2020,"price",108.500171022299
2022,"price",108.056111206154
2024,"price",107.372248969631
2026,"price",108.611755007218
2028,"price",108.320856077359
2030,"price",108.614510754184
2032,"price",108.722437168983
2034,"price",109.454287528364
2036,"price",109.249243207096
2038,"price",110.721604935746
2040,"price",109.772739402858
2042,"price",108.918993002889
2044,"price",107.608803229215
2046,"price",108.595369318129
2048,"price",110.690126356537
2050,"price",113.838435159057
2010,"comp_p",48.7362908949436
2012,"comp_p",33.601253388783
2014,"comp_p",44.1207055468579
2016,"comp_p",28.8348040375861
2018,"comp_p",33.1502233431035
2020,"comp_p",37.0190166630108
2022,"comp_p",37.5868057260764
2024,"comp_p",38.058431623361
2026,"comp_p",40.1687284869308
2028,"comp_p",39.7947854609486
2030,"comp_p",40.1899754008281
2032,"comp_p",40.1075746367619
2034,"comp_p",40.2639125324807
2036,"comp_p",42.4325365122442
2038,"comp_p",43.5120923059236
2040,"comp_p",44.0198340079499
2042,"comp_p",45.2327081639613
2044,"comp_p",46.5973090555057
2046,"comp_p",48.7296776098051
2048,"comp_p",50.6010812613454
2050,"comp_p",52.2132837629192
