"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.2187460745567
2010,"USA","Coal Usage (Quads)",19.3338551944721
2010,"USA","Coal Price",2.49986494076717
2010,"USA","Gas Price",5.51592239400235
2012,"USA","Gas Usage (Quads)",9.19257710878936
2012,"USA","Coal Usage (Quads)",14.5719319327692
2012,"USA","Coal Price",2.47540106705548
2012,"USA","Gas Price",3.61519581279505
2014,"USA","Gas Usage (Quads)",8.05079397180099
2014,"USA","Coal Usage (Quads)",16.6865174518824
2014,"USA","Coal Price",2.41160742022687
2014,"USA","Gas Price",5.01243796159345
2016,"USA","Gas Usage (Quads)",10.5006297876823
2016,"USA","Coal Usage (Quads)",11.9421296902443
2016,"USA","Coal Price",2.14682730440642
2016,"USA","Gas Price",2.94990531209487
2018,"USA","Gas Usage (Quads)",9.58918980626756
2018,"USA","Coal Usage (Quads)",12.1788797560465
2018,"USA","Coal Price",2.21349232140052
2018,"USA","Gas Price",3.67349044656815
2020,"USA","Gas Usage (Quads)",8.16008156274719
2020,"USA","Coal Usage (Quads)",13.0100362158218
2020,"USA","Coal Price",2.31214790292104
2020,"USA","Gas Price",4.35784736595131
2022,"USA","Gas Usage (Quads)",8.00964263423159
2022,"USA","Coal Usage (Quads)",13.3295285115414
2022,"USA","Coal Price",2.32304503630144
2022,"USA","Gas Price",4.40689066324147
2024,"USA","Gas Usage (Quads)",7.99563576981914
2024,"USA","Coal Usage (Quads)",13.7533183581346
2024,"USA","Coal Price",2.33500134084942
2024,"USA","Gas Price",4.46269327882312
2026,"USA","Gas Usage (Quads)",7.80968371177616
2026,"USA","Coal Usage (Quads)",14.098551031573
2026,"USA","Coal Price",2.32662566282469
2026,"USA","Gas Price",4.54412283012337
2028,"USA","Gas Usage (Quads)",7.43753341025425
2028,"USA","Coal Usage (Quads)",14.1592898371984
2028,"USA","Coal Price",2.31090591437795
2028,"USA","Gas Price",4.57511308983753
2030,"USA","Gas Usage (Quads)",7.28049878501788
2030,"USA","Coal Usage (Quads)",13.7715115218611
2030,"USA","Coal Price",2.29383715667088
2030,"USA","Gas Price",4.58366764162726
2032,"USA","Gas Usage (Quads)",7.66763277428091
2032,"USA","Coal Usage (Quads)",13.8153186448662
2032,"USA","Coal Price",2.29876693653087
2032,"USA","Gas Price",4.67720292089177
2034,"USA","Gas Usage (Quads)",8.33280248851453
2034,"USA","Coal Usage (Quads)",13.6174973364948
2034,"USA","Coal Price",2.31712761010203
2034,"USA","Gas Price",4.73728727258075
2036,"USA","Gas Usage (Quads)",8.75750334272142
2036,"USA","Coal Usage (Quads)",13.9050058859312
2036,"USA","Coal Price",2.34633444285327
2036,"USA","Gas Price",4.86762109684929
2038,"USA","Gas Usage (Quads)",9.31855535975559
2038,"USA","Coal Usage (Quads)",13.8123204580863
2038,"USA","Coal Price",2.37116558480292
2038,"USA","Gas Price",4.95180505329595
2040,"USA","Gas Usage (Quads)",9.69741012081353
2040,"USA","Coal Usage (Quads)",13.5007634289614
2040,"USA","Coal Price",2.38683644441058
2040,"USA","Gas Price",5.0037317703356
2042,"USA","Gas Usage (Quads)",10.1281772703239
2042,"USA","Coal Usage (Quads)",13.1316955496253
2042,"USA","Coal Price",2.39325938689844
2042,"USA","Gas Price",5.11784043675943
2044,"USA","Gas Usage (Quads)",10.5422078495067
2044,"USA","Coal Usage (Quads)",12.4348281765274
2044,"USA","Coal Price",2.40148991086685
2044,"USA","Gas Price",5.31418987983277
2046,"USA","Gas Usage (Quads)",11.2851996407315
2046,"USA","Coal Usage (Quads)",11.268406507572
2046,"USA","Coal Price",2.4017931332493
2046,"USA","Gas Price",5.56525787646262
2048,"USA","Gas Usage (Quads)",11.5915448596973
2048,"USA","Coal Usage (Quads)",9.81064194571975
2048,"USA","Coal Price",2.3974788879694
2048,"USA","Gas Price",5.75551418652987
2050,"USA","Gas Usage (Quads)",11.8308656469469
2050,"USA","Coal Usage (Quads)",8.66992100208647
2050,"USA","Coal Price",2.40563377950131
2050,"USA","Gas Price",5.87957560087832
