"gid","time","tech","value"
"AL",2010,"Nuclear",0.264541531725342
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.014349684139444
"AL",2010,"NG-CT",0.00103834158848722
"AL",2010,"Offshore Wind",0
"AL",2010,"Utility PV",0
"AL",2010,"Land-based Wind",5.55477580550171e-07
"AL",2010,"Coal",0.177542140050263
"AL",2010,"Geothermal",0
"AL",2010,"Rooftop PV",0
"AL",2010,"NG-CC",0.476540681690509
"AL",2010,"CSP",0
"AL",2010,"Hydro",0.0659870653283741
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Geothermal",0
"AL",2012,"Utility PV",0
"AL",2012,"Land-based Wind",6.4898263571605e-07
"AL",2012,"Nuclear",0.309072528805629
"AL",2012,"Coal",0.0491385064679135
"AL",2012,"Rooftop PV",0
"AL",2012,"NG-CC",0.565205467271465
"AL",2012,"Biopower",0.015078460550715
"AL",2012,"Hydro",0.0601511500662986
"AL",2012,"NG-CT",0.00135323785534384
"AL",2012,"Offshore Wind",0
"AL",2012,"CSP",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0797194511357055
"AL",2014,"Offshore Wind",0
"AL",2014,"Biopower",0.013065014177798
"AL",2014,"Nuclear",0.301110080902498
"AL",2014,"Geothermal",0
"AL",2014,"Utility PV",0
"AL",2014,"NG-CT",0.000850588554527175
"AL",2014,"CSP",0
"AL",2014,"Imports",0
"AL",2014,"Land-based Wind",5.48256081435889e-07
"AL",2014,"Coal",0.12966256980429
"AL",2014,"NG-CC",0.47558315613442
"AL",2014,"Rooftop PV",8.59103467976936e-06
"AL",2016,"Geothermal",0
"AL",2016,"Nuclear",0.315580840976884
"AL",2016,"Coal",0.097354592698578
"AL",2016,"Utility PV",0.00051107912667023
"AL",2016,"NG-CC",0.509203054995795
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Imports",0
"AL",2016,"Rooftop PV",1.76095702163079e-05
"AL",2016,"Offshore Wind",0
"AL",2016,"CSP",0
"AL",2016,"Hydro",0.064627333811964
"AL",2016,"NG-CT",0.00123489733682814
"AL",2016,"Biopower",0.0114700168788706
"AL",2016,"Land-based Wind",5.74604193694378e-07
"AL",2018,"Hydro",0.0659310208270843
"AL",2018,"Biopower",0.0139691113595553
"AL",2018,"Nuclear",0.32194685703132
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Rooftop PV",4.17481118318274e-05
"AL",2018,"Utility PV",0.0027716920107963
"AL",2018,"NG-CC",0.502670287020586
"AL",2018,"Land-based Wind",6.75961246832881e-07
"AL",2018,"Geothermal",0
"AL",2018,"Imports",0
"AL",2018,"NG-CT",0.00126366097889477
"AL",2018,"Offshore Wind",0
"AL",2018,"Coal",0.0914049466986853
"AL",2018,"CSP",0
"AL",2020,"NG-CT",0.00102761809858096
"AL",2020,"Utility PV",0.00311261871303614
"AL",2020,"Coal",0.124805639721071
"AL",2020,"Rooftop PV",4.77089775400672e-05
"AL",2020,"Offshore Wind",0
"AL",2020,"Hydro",0.0763624932799365
"AL",2020,"NG-CC",0.413677354459932
"AL",2020,"Geothermal",0
"AL",2020,"CSP",0
"AL",2020,"Biopower",0.0158425147542078
"AL",2020,"Imports",0
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Nuclear",0.365123285319123
"AL",2020,"Land-based Wind",7.66676572118264e-07
"AL",2022,"NG-CC",0.412947192735153
"AL",2022,"Imports",0
"AL",2022,"Rooftop PV",4.69816303971054e-05
"AL",2022,"Coal",0.132551869733492
"AL",2022,"Nuclear",0.359276600374875
"AL",2022,"NG-CT",0.00141018249008572
"AL",2022,"Offshore Wind",0
"AL",2022,"Biopower",0.0155888300503919
"AL",2022,"Geothermal",0
"AL",2022,"Utility PV",0.00303000411601026
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"Land-based Wind",8.6310369763339e-06
"AL",2022,"CSP",0
"AL",2022,"Hydro",0.0751397078326188
"AL",2024,"Coal",0.175374255163548
"AL",2024,"Utility PV",0.00291995370138913
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Rooftop PV",4.63208277018745e-05
"AL",2024,"Biopower",0.0151704701327891
"AL",2024,"Geothermal",0
"AL",2024,"NG-CT",0.00125211175876608
"AL",2024,"Offshore Wind",0
"AL",2024,"NG-CC",0.382426135772187
"AL",2024,"CSP",0
"AL",2024,"Land-based Wind",5.29441644255596e-05
"AL",2024,"Hydro",0.0731231715129631
"AL",2024,"Imports",0
"AL",2024,"Nuclear",0.34963463696623
"AL",2026,"Coal",0.21368430686931
"AL",2026,"Biopower",0.0153246356798408
"AL",2026,"Offshore Wind",0
"AL",2026,"CSP",0
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"Rooftop PV",4.86144294928139e-05
"AL",2026,"NG-CT",0.00138080855257137
"AL",2026,"Land-based Wind",6.08867351285784e-05
"AL",2026,"Utility PV",0.00292094184554887
"AL",2026,"Imports",0
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.0738662647486888
"AL",2026,"NG-CC",0.339525842560442
"AL",2026,"Nuclear",0.353187698578977
"AL",2028,"Utility PV",0.0404229485615538
"AL",2028,"Offshore Wind",0
"AL",2028,"Biopower",0.0159263468429853
"AL",2028,"Rooftop PV",5.44053163723637e-05
"AL",2028,"CSP",0
"AL",2028,"Land-based Wind",7.83068061871244e-05
"AL",2028,"Coal",0.236152223231561
"AL",2028,"Imports",0
"AL",2028,"NG-CT",0.00103305583198416
"AL",2028,"Nuclear",0.367055367955277
"AL",2028,"Oil-Gas-Steam",0
"AL",2028,"Geothermal",0
"AL",2028,"Hydro",0.0780681239211753
"AL",2028,"NG-CC",0.261209221532903
"AL",2030,"Utility PV",0.0346089124391696
"AL",2030,"Offshore Wind",0
"AL",2030,"Biopower",0.0137824085138347
"AL",2030,"Land-based Wind",6.77687165754339e-05
"AL",2030,"Rooftop PV",5.53126342378652e-05
"AL",2030,"CSP",0
"AL",2030,"NG-CT",0.000893990168264866
"AL",2030,"Oil-Gas-Steam",0
"AL",2030,"Nuclear",0.317643906554987
"AL",2030,"Imports",0
"AL",2030,"Geothermal",0
"AL",2030,"Hydro",0.067558918966041
"AL",2030,"Coal",0.176828088260069
"AL",2030,"NG-CC",0.38856069374682
"AL",2032,"Utility PV",0.0331848213693546
"AL",2032,"Offshore Wind",0
"AL",2032,"Biopower",0.0134135132660983
"AL",2032,"Rooftop PV",6.79967255478051e-05
"AL",2032,"CSP",0
"AL",2032,"Land-based Wind",0.000309550424568608
"AL",2032,"Nuclear",0.309141958039751
"AL",2032,"Imports",0
"AL",2032,"NG-CT",0.000845347953084921
"AL",2032,"Oil-Gas-Steam",0
"AL",2032,"Coal",0.161857621287541
"AL",2032,"Geothermal",0
"AL",2032,"Hydro",0.0659608666372316
"AL",2032,"NG-CC",0.415218324296822
"AL",2034,"Utility PV",0.0321168599994755
"AL",2034,"Offshore Wind",0
"AL",2034,"Biopower",0.0130553982775462
"AL",2034,"Land-based Wind",0.00029019233434129
"AL",2034,"NG-CC",0.499127897374333
"AL",2034,"Imports",0
"AL",2034,"CSP",0
"AL",2034,"Oil-Gas-Steam",0
"AL",2034,"Rooftop PV",8.83527631206137e-05
"AL",2034,"NG-CT",7.8840737522032e-05
"AL",2034,"Hydro",0.0641998384463266
"AL",2034,"Geothermal",0
"AL",2034,"Nuclear",0.235513044335466
"AL",2034,"Coal",0.155529575731869
"AL",2036,"Land-based Wind",0.000300094919105628
"AL",2036,"Offshore Wind",0
"AL",2036,"Imports",0
"AL",2036,"NG-CT",0.000823751683563108
"AL",2036,"Utility PV",0.0319758384482688
"AL",2036,"Hydro",0.0645173348891752
"AL",2036,"CSP",0
"AL",2036,"Biopower",0.0131199629651436
"AL",2036,"Geothermal",0
"AL",2036,"Nuclear",0.170805951477718
"AL",2036,"Oil-Gas-Steam",0
"AL",2036,"Rooftop PV",0.000124507492608117
"AL",2036,"Coal",0.185359650632484
"AL",2036,"NG-CC",0.532972907491933
"AL",2038,"Offshore Wind",0
"AL",2038,"NG-CT",0.00208489106297086
"AL",2038,"Imports",0
