"gid","time","value","type"
"AL",2010,1828.45052507408,"withdrawal"
"AL",2012,1360.97060587364,"withdrawal"
"AL",2014,1614.02576061571,"withdrawal"
"AL",2016,1392.2394454478,"withdrawal"
"AL",2018,1383.36559183885,"withdrawal"
"AL",2020,1466.39510728611,"withdrawal"
"AL",2022,1480.70225814999,"withdrawal"
"AL",2024,1588.53184438913,"withdrawal"
"AL",2026,1623.74632924824,"withdrawal"
"AL",2028,1622.74019299602,"withdrawal"
"AL",2030,1594.02468421855,"withdrawal"
"AL",2032,1588.97894128354,"withdrawal"
"AL",2034,1237.43114552699,"withdrawal"
"AL",2036,883.320953044494,"withdrawal"
"AL",2038,541.727452296771,"withdrawal"
"AL",2040,543.420290627512,"withdrawal"
"AL",2042,542.743966845177,"withdrawal"
"AL",2044,458.421774396898,"withdrawal"
"AL",2046,266.495041715226,"withdrawal"
"AL",2048,77.7222769324333,"withdrawal"
"AL",2050,71.0616549881186,"withdrawal"
"AR",2010,73.0005740412685,"withdrawal"
"AR",2012,52.0453756521306,"withdrawal"
"AR",2014,71.3582361308713,"withdrawal"
"AR",2016,34.5090984806514,"withdrawal"
"AR",2018,51.5312297188127,"withdrawal"
"AR",2020,52.2528448050765,"withdrawal"
"AR",2022,52.8279162451878,"withdrawal"
"AR",2024,52.8155993611646,"withdrawal"
"AR",2026,53.2258900754848,"withdrawal"
"AR",2028,52.9253038904413,"withdrawal"
"AR",2030,51.2168900670854,"withdrawal"
"AR",2032,54.9258073050754,"withdrawal"
"AR",2034,50.8948529307,"withdrawal"
"AR",2036,55.5397500519309,"withdrawal"
"AR",2038,56.2421699321165,"withdrawal"
"AR",2040,47.7316025001839,"withdrawal"
"AR",2042,48.5143203957194,"withdrawal"
"AR",2044,48.751953907694,"withdrawal"
"AR",2046,48.3947267591413,"withdrawal"
"AR",2048,47.8241736922653,"withdrawal"
"AR",2050,47.862497062921,"withdrawal"
"AZ",2010,112.171762416313,"withdrawal"
"AZ",2012,113.21805538526,"withdrawal"
"AZ",2014,113.966161688172,"withdrawal"
"AZ",2016,85.8018803218737,"withdrawal"
"AZ",2018,88.5965218045097,"withdrawal"
"AZ",2020,81.8792167544842,"withdrawal"
"AZ",2022,81.9402614681217,"withdrawal"
"AZ",2024,70.1917160438639,"withdrawal"
"AZ",2026,70.0475724791919,"withdrawal"
"AZ",2028,70.5333341317737,"withdrawal"
"AZ",2030,68.8533415691779,"withdrawal"
"AZ",2032,68.5046053076929,"withdrawal"
"AZ",2034,69.5152554768024,"withdrawal"
"AZ",2036,68.8282992769396,"withdrawal"
"AZ",2038,69.9324482497691,"withdrawal"
"AZ",2040,69.4392946336179,"withdrawal"
"AZ",2042,70.316136944839,"withdrawal"
"AZ",2044,69.3197165414046,"withdrawal"
"AZ",2046,49.0289888961696,"withdrawal"
"AZ",2048,37.4332650443582,"withdrawal"
"AZ",2050,30.8631473796774,"withdrawal"
"CA",2010,1963.40396966631,"withdrawal"
"CA",2012,1807.70154377986,"withdrawal"
"CA",2014,1071.68426577546,"withdrawal"
"CA",2016,1071.99385443268,"withdrawal"
"CA",2018,1051.90680010703,"withdrawal"
"CA",2020,1033.86852699382,"withdrawal"
"CA",2022,1024.72279763862,"withdrawal"
"CA",2024,612.467344697932,"withdrawal"
"CA",2026,185.010750689023,"withdrawal"
"CA",2028,132.487251692322,"withdrawal"
"CA",2030,105.244547911426,"withdrawal"
"CA",2032,110.879176020619,"withdrawal"
"CA",2034,107.245972281646,"withdrawal"
"CA",2036,109.386845306373,"withdrawal"
"CA",2038,108.445529975667,"withdrawal"
"CA",2040,108.218720638097,"withdrawal"
"CA",2042,108.400367210926,"withdrawal"
"CA",2044,109.424681252151,"withdrawal"
"CA",2046,111.41280227581,"withdrawal"
"CA",2048,115.340886198034,"withdrawal"
"CA",2050,103.833378445313,"withdrawal"
"CO",2010,77.839458571251,"withdrawal"
"CO",2012,75.0741115305847,"withdrawal"
"CO",2014,74.5694310955611,"withdrawal"
"CO",2016,71.7225344594856,"withdrawal"
"CO",2018,56.3554941004738,"withdrawal"
"CO",2020,51.4292219333998,"withdrawal"
"CO",2022,53.8529753205951,"withdrawal"
"CO",2024,54.7122254006705,"withdrawal"
"CO",2026,53.2339858191379,"withdrawal"
"CO",2028,53.468683502585,"withdrawal"
"CO",2030,53.4805196793551,"withdrawal"
"CO",2032,53.215442477059,"withdrawal"
"CO",2034,53.3333445754723,"withdrawal"
"CO",2036,53.5268794473604,"withdrawal"
"CO",2038,53.9839006133293,"withdrawal"
"CO",2040,52.2387795099488,"withdrawal"
"CO",2042,52.3946624010167,"withdrawal"
"CO",2044,49.618699481663,"withdrawal"
"CO",2046,49.5591018547949,"withdrawal"
"CO",2048,47.0718567310678,"withdrawal"
"CO",2050,43.3818430932806,"withdrawal"
"CT",2010,772.120340092845,"withdrawal"
"CT",2012,738.189288247603,"withdrawal"
"CT",2014,841.390888643087,"withdrawal"
"CT",2016,752.256181811517,"withdrawal"
"CT",2018,743.482611081158,"withdrawal"
"CT",2020,766.896825614343,"withdrawal"
"CT",2022,773.466841026732,"withdrawal"
"CT",2024,773.466806209051,"withdrawal"
