"time","gid","value"
2010,"AL",0.0518190358374146
2010,"AR",0.0205573044898478
2010,"AZ",0.0520963294139557
2010,"CA",0.0540583567953422
2010,"CO",0.0441215506563328
2010,"CT",0.00529927133171761
2010,"DE",0.0051655624497279
2010,"FL",0.112181093158188
2010,"GA",0.0663739351913493
2010,"IA",0.0461193273400451
2010,"ID",0.000216878970075156
2010,"IL",0.0956096174166543
2010,"IN",0.0992969287430045
2010,"KS",0.0242254341944611
2010,"KY",0.101929092828899
2010,"LA",0.0315033718072265
2010,"MA",0.0164451169099259
2010,"MD",0.0362787400523258
2010,"ME",0.00380248281075229
2010,"MEX",0.00299162935163021
2010,"MI",0.0753531986875918
2010,"MN",0.0341604338868798
2010,"MO",0.0718816149400516
2010,"MS",0.0223658846501203
2010,"MT",0.0202247859902479
2010,"NC",0.0792412249440733
2010,"ND",0.032164624519147
2010,"NE",0.0289793433444427
2010,"NH",0.00438527861087986
2010,"NJ",0.0185728459695385
2010,"NM",0.0315360967657507
2010,"NV",0.0162304231757671
2010,"NY",0.0352276266226847
2010,"OH",0.136431627858578
2010,"OK",0.039725864225626
2010,"OR",0.00758568872940974
2010,"PA",0.132749723671862
2010,"RI",0.00330755443070131
2010,"SC",0.0427271424426766
2010,"SD",0.00385533411422849
2010,"TN",0.0278490008175026
2010,"TX",0.242126107066975
2010,"UT",0.0369674568246874
2010,"VA",0.0457254685902708
2010,"VT",1.05151283084792e-05
2010,"WA",0.0147740411285212
2010,"WI",0.0531091060144855
2010,"WV",0.0776449288471666
2010,"WY",0.0468416029426688
2012,"AL",0.0351894960960788
2012,"AR",0.0183362874666992
2012,"AZ",0.0546001521532382
2012,"CA",0.0407268129674703
2012,"CO",0.040015942584629
2012,"CT",0.00626310797974318
2012,"DE",0.00463308411087174
2012,"FL",0.0823283261283737
2012,"GA",0.0332106035027678
2012,"IA",0.0444556266010166
2012,"ID",0.000844262038276914
2012,"IL",0.0754570976767628
2012,"IN",0.076576829321306
2012,"KS",0.0147175108191281
2012,"KY",0.101341907905577
2012,"LA",0.0245055876025916
2012,"MA",0.0088257843914353
2012,"MD",0.0317771489449587
2012,"ME",0.00285767726317915
2012,"MEX",0.00274568451704943
2012,"MI",0.0709681802508798
2012,"MN",0.0358708141487376
2012,"MO",0.0620002508142263
2012,"MS",0.0230721150372053
2012,"MT",0.0129078242112353
2012,"NC",0.0583263612600714
2012,"ND",0.0314209497422347
2012,"NE",0.0303285778626776
2012,"NH",0.00292862780791814
2012,"NJ",0.0181843477726767
2012,"NM",0.031998133154986
2012,"NV",0.0155183049008342
2012,"NY",0.0323973196665522
2012,"OH",0.111632357911469
2012,"OK",0.0327342370550557
2012,"OR",0.00430237484487374
2012,"PA",0.115896052911328
2012,"RI",0.00223599303687872
2012,"SC",0.019012261856783
2012,"SD",0.00399182932403737
2012,"TN",0.0108862055873443
2012,"TX",0.227242387258693
2012,"UT",0.0380386081487469
2012,"VA",0.0294164592865047
2012,"VT",2.95669872179515e-06
2012,"WA",0.00865913394951083
2012,"WI",0.0458787969741483
2012,"WV",0.0769651818036863
2012,"WY",0.0414660766085978
