"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.12030841250822
2010,"USA","Coal Usage (Quads)",19.5801790921493
2010,"USA","Coal Price (2016$/MMBtu)",2.50900002595452
2010,"USA","Gas Price (2016$/MMBtu)",5.58851275749778
2012,"USA","Gas Usage (Quads)",9.0947714498942
2012,"USA","Coal Usage (Quads)",14.7421664860268
2012,"USA","Coal Price (2016$/MMBtu)",2.47773303258604
2012,"USA","Gas Price (2016$/MMBtu)",3.6368921571709
2014,"USA","Gas Usage (Quads)",7.93379627046675
2014,"USA","Coal Usage (Quads)",16.8916612523311
2014,"USA","Coal Price (2016$/MMBtu)",2.41461986051838
2014,"USA","Gas Price (2016$/MMBtu)",5.0434048193204
2016,"USA","Gas Usage (Quads)",10.7956155075959
2016,"USA","Coal Usage (Quads)",11.3967690348661
2016,"USA","Coal Price (2016$/MMBtu)",2.15400416505214
2016,"USA","Gas Price (2016$/MMBtu)",2.98253220161769
2018,"USA","Gas Usage (Quads)",9.65058155217154
2018,"USA","Coal Usage (Quads)",11.1814910560246
2018,"USA","Coal Price (2016$/MMBtu)",2.13661051578087
2018,"USA","Gas Price (2016$/MMBtu)",3.51639247694295
2020,"USA","Gas Usage (Quads)",9.55563749713681
2020,"USA","Coal Usage (Quads)",11.1172123561508
2020,"USA","Coal Price (2016$/MMBtu)",2.22692823596593
2020,"USA","Gas Price (2016$/MMBtu)",4.05356885930016
2022,"USA","Gas Usage (Quads)",9.55698150766747
2022,"USA","Coal Usage (Quads)",10.6940679400678
2022,"USA","Coal Price (2016$/MMBtu)",2.22746231903587
2022,"USA","Gas Price (2016$/MMBtu)",4.00964145354268
2024,"USA","Gas Usage (Quads)",9.13212041728715
2024,"USA","Coal Usage (Quads)",11.4759311257975
2024,"USA","Coal Price (2016$/MMBtu)",2.23834144462203
2024,"USA","Gas Price (2016$/MMBtu)",4.1552610241152
2026,"USA","Gas Usage (Quads)",8.82099981421766
2026,"USA","Coal Usage (Quads)",11.6457017149301
2026,"USA","Coal Price (2016$/MMBtu)",2.26840992545428
2026,"USA","Gas Price (2016$/MMBtu)",4.24173734428551
2028,"USA","Gas Usage (Quads)",9.18416919365342
2028,"USA","Coal Usage (Quads)",10.6920758288016
2028,"USA","Coal Price (2016$/MMBtu)",2.25846891575934
2028,"USA","Gas Price (2016$/MMBtu)",4.31548718454328
2030,"USA","Gas Usage (Quads)",9.05907624643776
2030,"USA","Coal Usage (Quads)",9.55534032227625
2030,"USA","Coal Price (2016$/MMBtu)",2.27528641134706
2030,"USA","Gas Price (2016$/MMBtu)",4.32524809970686
2032,"USA","Gas Usage (Quads)",9.05907624643777
2032,"USA","Coal Usage (Quads)",8.52307452056645
2032,"USA","Coal Price (2016$/MMBtu)",2.26651199653892
2032,"USA","Gas Price (2016$/MMBtu)",4.32716540252915
2034,"USA","Gas Usage (Quads)",9.05907624643777
2034,"USA","Coal Usage (Quads)",7.49080871885666
2034,"USA","Coal Price (2016$/MMBtu)",2.26136323893441
2034,"USA","Gas Price (2016$/MMBtu)",4.30567836314428
2036,"USA","Gas Usage (Quads)",9.38995794258947
2036,"USA","Coal Usage (Quads)",6.27527767608553
2036,"USA","Coal Price (2016$/MMBtu)",2.25543960436673
2036,"USA","Gas Price (2016$/MMBtu)",4.4549077569478
2038,"USA","Gas Usage (Quads)",9.29108600873225
2038,"USA","Coal Usage (Quads)",5.29720000302738
2038,"USA","Coal Price (2016$/MMBtu)",2.27208243802428
2038,"USA","Gas Price (2016$/MMBtu)",4.48362685043553
2040,"USA","Gas Usage (Quads)",9.70530510119521
2040,"USA","Coal Usage (Quads)",4.03486658933829
2040,"USA","Coal Price (2016$/MMBtu)",2.27793801644009
2040,"USA","Gas Price (2016$/MMBtu)",4.62521722755773
2042,"USA","Gas Usage (Quads)",9.72808117014363
2042,"USA","Coal Usage (Quads)",2.99221273602952
2042,"USA","Coal Price (2016$/MMBtu)",2.27405193583944
2042,"USA","Gas Price (2016$/MMBtu)",4.66100847924362
2044,"USA","Gas Usage (Quads)",9.72357708393862
2044,"USA","Coal Usage (Quads)",1.95994694191494
2044,"USA","Coal Price (2016$/MMBtu)",2.26410565056001
2044,"USA","Gas Price (2016$/MMBtu)",4.74984741860148
2046,"USA","Gas Usage (Quads)",9.67923701368995
2046,"USA","Coal Usage (Quads)",0.951632525338629
2046,"USA","Coal Price (2016$/MMBtu)",2.26701503976604
2046,"USA","Gas Price (2016$/MMBtu)",4.80302329011446
2048,"USA","Gas Usage (Quads)",9.09325894805557
2048,"USA","Coal Usage (Quads)",0.245953267174703
2048,"USA","Coal Price (2016$/MMBtu)",2.28193258942725
2048,"USA","Gas Price (2016$/MMBtu)",4.78343844966782
2050,"USA","Gas Usage (Quads)",7.67495909701346
2050,"USA","Coal Usage (Quads)",0.00246440194011082
2050,"USA","Coal Price (2016$/MMBtu)",2.70942170297615
2050,"USA","Gas Price (2016$/MMBtu)",4.5776271874481
