"gid","time","value","type"
"AL",2010,1791.28893055241,"withdrawal"
"AL",2012,1350.73944469299,"withdrawal"
"AL",2014,1700.01876839562,"withdrawal"
"AL",2016,1437.95434715403,"withdrawal"
"AL",2018,1367.21671343361,"withdrawal"
"AL",2020,1354.25835168178,"withdrawal"
"AL",2022,1364.26658693208,"withdrawal"
"AL",2024,1355.83682107348,"withdrawal"
"AL",2026,1348.99355275386,"withdrawal"
"AL",2028,1349.17579475858,"withdrawal"
"AL",2030,1349.93559948906,"withdrawal"
"AL",2032,1355.03564248597,"withdrawal"
"AL",2034,1314.33372059216,"withdrawal"
"AL",2036,1324.19846601128,"withdrawal"
"AL",2038,1332.41066699265,"withdrawal"
"AL",2040,1341.66130744219,"withdrawal"
"AL",2042,1348.51039328863,"withdrawal"
"AL",2044,1360.80779668111,"withdrawal"
"AL",2046,1415.48007277419,"withdrawal"
"AL",2048,1233.2309209527,"withdrawal"
"AL",2050,1234.20731251925,"withdrawal"
"AR",2010,74.731483164365,"withdrawal"
"AR",2012,51.8450648484059,"withdrawal"
"AR",2014,76.4259317929391,"withdrawal"
"AR",2016,38.2894024439159,"withdrawal"
"AR",2018,36.1697039704068,"withdrawal"
"AR",2020,37.1618651255271,"withdrawal"
"AR",2022,36.1905881223605,"withdrawal"
"AR",2024,35.199329085148,"withdrawal"
"AR",2026,35.0715822229879,"withdrawal"
"AR",2028,36.7043816158493,"withdrawal"
"AR",2030,37.8280771746245,"withdrawal"
"AR",2032,38.3351903673708,"withdrawal"
"AR",2034,35.8443714133911,"withdrawal"
"AR",2036,33.5674743503625,"withdrawal"
"AR",2038,32.5964124702664,"withdrawal"
"AR",2040,32.3969103105335,"withdrawal"
"AR",2042,32.0245529665925,"withdrawal"
"AR",2044,31.2118458224894,"withdrawal"
"AR",2046,30.0481464795002,"withdrawal"
"AR",2048,30.3020528898315,"withdrawal"
"AR",2050,28.7396961656762,"withdrawal"
"AZ",2010,113.33393318599,"withdrawal"
"AZ",2012,114.929585877198,"withdrawal"
"AZ",2014,114.991416901585,"withdrawal"
"AZ",2016,89.4577348838321,"withdrawal"
"AZ",2018,88.3385028991255,"withdrawal"
"AZ",2020,70.8553520546046,"withdrawal"
"AZ",2022,70.9873072065365,"withdrawal"
"AZ",2024,58.767631484506,"withdrawal"
"AZ",2026,59.9228168098483,"withdrawal"
"AZ",2028,60.7867500933109,"withdrawal"
"AZ",2030,60.5538843751603,"withdrawal"
"AZ",2032,60.4009113828756,"withdrawal"
"AZ",2034,60.7986057933339,"withdrawal"
"AZ",2036,60.956735286137,"withdrawal"
"AZ",2038,60.8138511198638,"withdrawal"
"AZ",2040,60.4943091971845,"withdrawal"
"AZ",2042,60.1905865514909,"withdrawal"
"AZ",2044,58.7512557115841,"withdrawal"
"AZ",2046,58.7227055399814,"withdrawal"
"AZ",2048,59.6235803493418,"withdrawal"
"AZ",2050,58.9502032956187,"withdrawal"
"CA",2010,1838.47302762068,"withdrawal"
"CA",2012,1817.3615310665,"withdrawal"
"CA",2014,1076.09437613973,"withdrawal"
"CA",2016,1034.43113793123,"withdrawal"
"CA",2018,1014.49510121495,"withdrawal"
"CA",2020,1014.0941100847,"withdrawal"
"CA",2022,1009.94768392605,"withdrawal"
"CA",2024,633.442179459425,"withdrawal"
"CA",2026,193.650935627712,"withdrawal"
"CA",2028,180.042326051424,"withdrawal"
"CA",2030,156.574357791027,"withdrawal"
"CA",2032,141.743766875687,"withdrawal"
"CA",2034,135.119236372347,"withdrawal"
"CA",2036,107.0699102499,"withdrawal"
"CA",2038,95.1302076449968,"withdrawal"
"CA",2040,82.0664120571559,"withdrawal"
"CA",2042,78.4754994497142,"withdrawal"
"CA",2044,78.8838933910381,"withdrawal"
"CA",2046,94.5770995706379,"withdrawal"
"CA",2048,64.1297760158434,"withdrawal"
"CA",2050,53.5009163090075,"withdrawal"
"CO",2010,78.5626139851491,"withdrawal"
"CO",2012,74.6276436540283,"withdrawal"
"CO",2014,75.0310314807891,"withdrawal"
"CO",2016,68.4434866300924,"withdrawal"
"CO",2018,54.7257160213422,"withdrawal"
"CO",2020,53.8542318472275,"withdrawal"
"CO",2022,51.7726406235519,"withdrawal"
"CO",2024,52.2259560011076,"withdrawal"
"CO",2026,46.209284434427,"withdrawal"
"CO",2028,45.9065604860956,"withdrawal"
"CO",2030,20.444895616533,"withdrawal"
"CO",2032,20.5995643438631,"withdrawal"
"CO",2034,20.3942537428694,"withdrawal"
"CO",2036,19.7480291068356,"withdrawal"
"CO",2038,20.4209711493487,"withdrawal"
"CO",2040,18.2925668901305,"withdrawal"
"CO",2042,18.1198490965961,"withdrawal"
"CO",2044,17.7995266826327,"withdrawal"
"CO",2046,17.9340180731801,"withdrawal"
"CO",2048,18.1021504530708,"withdrawal"
"CO",2050,16.5061433096199,"withdrawal"
"CT",2010,776.318666776762,"withdrawal"
"CT",2012,742.29664471752,"withdrawal"
"CT",2014,851.724104451738,"withdrawal"
"CT",2016,777.618493569658,"withdrawal"
"CT",2018,762.845500233783,"withdrawal"
"CT",2020,752.135889222241,"withdrawal"
"CT",2022,716.29688369526,"withdrawal"
"CT",2024,715.284473968909,"withdrawal"
"CT",2026,714.600074404378,"withdrawal"
"CT",2028,714.776851088945,"withdrawal"
"CT",2030,714.224838117717,"withdrawal"
"CT",2032,714.804703042752,"withdrawal"
"CT",2034,715.723218440839,"withdrawal"
"CT",2036,433.888825628825,"withdrawal"
"CT",2038,433.752257888566,"withdrawal"
"CT",2040,433.652120261811,"withdrawal"
"CT",2042,433.572193313561,"withdrawal"
"CT",2044,433.376604458983,"withdrawal"
"CT",2046,3.49826072760673,"withdrawal"
"CT",2048,3.52943311642899,"withdrawal"
"CT",2050,4.91865874397292,"withdrawal"
"DE",2010,66.2637983860871,"withdrawal"
"DE",2012,44.9447025362755,"withdrawal"
"DE",2014,3.30417666238227,"withdrawal"
"DE",2016,4.20315998041792,"withdrawal"
"DE",2018,3.72168766720427,"withdrawal"
"DE",2020,3.55612911658564,"withdrawal"
"DE",2022,3.83697996470714,"withdrawal"
"DE",2024,3.79139904785654,"withdrawal"
"DE",2026,3.57777041116767,"withdrawal"
"DE",2028,3.07478814504464,"withdrawal"
"DE",2030,2.6153516709034,"withdrawal"
"DE",2032,2.51308321225905,"withdrawal"
"DE",2034,2.50607064711912,"withdrawal"
"DE",2036,2.20126185249512,"withdrawal"
"DE",2038,1.95050845679157,"withdrawal"
"DE",2040,1.97836519783553,"withdrawal"
"DE",2042,2.03797232937743,"withdrawal"
"DE",2044,2.22500838733094,"withdrawal"
"DE",2046,2.29448208161144,"withdrawal"
"DE",2048,2.4353472821044,"withdrawal"
