"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.12030841250836
2010,"USA","Coal Usage (Quads)",19.5801790921485
2010,"USA","Coal Price (2016$/MMBtu)",2.5090000259545
2010,"USA","Gas Price (2016$/MMBtu)",5.58851275749779
2012,"USA","Gas Usage (Quads)",9.09476658964388
2012,"USA","Coal Usage (Quads)",14.7421612653187
2012,"USA","Coal Price (2016$/MMBtu)",2.47773313036099
2012,"USA","Gas Price (2016$/MMBtu)",3.63689117614281
2014,"USA","Gas Usage (Quads)",7.93379615285908
2014,"USA","Coal Usage (Quads)",16.891661336955
2014,"USA","Coal Price (2016$/MMBtu)",2.41461986513116
2014,"USA","Gas Price (2016$/MMBtu)",5.04340479331472
2016,"USA","Gas Usage (Quads)",10.7956158690529
2016,"USA","Coal Usage (Quads)",11.3967687013901
2016,"USA","Coal Price (2016$/MMBtu)",2.15400416956162
2016,"USA","Gas Price (2016$/MMBtu)",2.98253227581753
2018,"USA","Gas Usage (Quads)",9.6550796781705
2018,"USA","Coal Usage (Quads)",11.196416378691
2018,"USA","Coal Price (2016$/MMBtu)",2.13716519126003
2018,"USA","Gas Price (2016$/MMBtu)",3.51732193224887
2020,"USA","Gas Usage (Quads)",9.635325099472
2020,"USA","Coal Usage (Quads)",11.2489756310957
2020,"USA","Coal Price (2016$/MMBtu)",2.22700553978116
2020,"USA","Gas Price (2016$/MMBtu)",4.07002870174172
2022,"USA","Gas Usage (Quads)",9.63680524742591
2022,"USA","Coal Usage (Quads)",10.9793885849682
2022,"USA","Coal Price (2016$/MMBtu)",2.22913394816549
2022,"USA","Gas Price (2016$/MMBtu)",4.02573394979623
2024,"USA","Gas Usage (Quads)",9.20842082100874
2024,"USA","Coal Usage (Quads)",11.7866510749322
2024,"USA","Coal Price (2016$/MMBtu)",2.23897043415554
2024,"USA","Gas Price (2016$/MMBtu)",4.16915881124229
2026,"USA","Gas Usage (Quads)",9.05536327036018
2026,"USA","Coal Usage (Quads)",11.9173522206198
2026,"USA","Coal Price (2016$/MMBtu)",2.26874415296621
2026,"USA","Gas Price (2016$/MMBtu)",4.28893294840986
2028,"USA","Gas Usage (Quads)",8.99179391852161
2028,"USA","Coal Usage (Quads)",11.516175679322
2028,"USA","Coal Price (2016$/MMBtu)",2.26826683502068
2028,"USA","Gas Price (2016$/MMBtu)",4.26444202528201
2030,"USA","Gas Usage (Quads)",8.9955354301092
2030,"USA","Coal Usage (Quads)",10.7011375133602
2030,"USA","Coal Price (2016$/MMBtu)",2.28874907985603
2030,"USA","Gas Price (2016$/MMBtu)",4.30349780297942
2032,"USA","Gas Usage (Quads)",9.35740754813397
2032,"USA","Coal Usage (Quads)",10.5237723457275
2032,"USA","Coal Price (2016$/MMBtu)",2.29000853543196
2032,"USA","Gas Price (2016$/MMBtu)",4.37831497018626
2034,"USA","Gas Usage (Quads)",9.81166101867019
2034,"USA","Coal Usage (Quads)",10.6015912126996
2034,"USA","Coal Price (2016$/MMBtu)",2.31326826326614
2034,"USA","Gas Price (2016$/MMBtu)",4.45729433154861
2036,"USA","Gas Usage (Quads)",10.2520280102441
2036,"USA","Coal Usage (Quads)",10.3477524829694
2036,"USA","Coal Price (2016$/MMBtu)",2.33005408152596
2036,"USA","Gas Price (2016$/MMBtu)",4.62369774892474
2038,"USA","Gas Usage (Quads)",10.7159009607691
2038,"USA","Coal Usage (Quads)",10.1229207168567
2038,"USA","Coal Price (2016$/MMBtu)",2.35677836271712
2038,"USA","Gas Price (2016$/MMBtu)",4.77201986877123
2040,"USA","Gas Usage (Quads)",11.0569303962237
2040,"USA","Coal Usage (Quads)",9.57655717646665
2040,"USA","Coal Price (2016$/MMBtu)",2.3777235396988
2040,"USA","Gas Price (2016$/MMBtu)",4.89146860383493
2042,"USA","Gas Usage (Quads)",11.2270034835873
2042,"USA","Coal Usage (Quads)",9.08840940427406
2042,"USA","Coal Price (2016$/MMBtu)",2.39393162156635
2042,"USA","Gas Price (2016$/MMBtu)",4.96368926317193
2044,"USA","Gas Usage (Quads)",11.22757189868
2044,"USA","Coal Usage (Quads)",8.60489123777789
2044,"USA","Coal Price (2016$/MMBtu)",2.40280108789635
2044,"USA","Gas Price (2016$/MMBtu)",5.0526167801392
2046,"USA","Gas Usage (Quads)",11.6354573142465
2046,"USA","Coal Usage (Quads)",7.64673931090049
2046,"USA","Coal Price (2016$/MMBtu)",2.40904797522153
2046,"USA","Gas Price (2016$/MMBtu)",5.20276957755835
2048,"USA","Gas Usage (Quads)",11.6355978633196
2048,"USA","Coal Usage (Quads)",6.56386000972628
2048,"USA","Coal Price (2016$/MMBtu)",2.40052574326598
2048,"USA","Gas Price (2016$/MMBtu)",5.3130681549481
2050,"USA","Gas Usage (Quads)",11.7066725168649
2050,"USA","Coal Usage (Quads)",5.77932580337345
2050,"USA","Coal Price (2016$/MMBtu)",2.39780067097647
2050,"USA","Gas Price (2016$/MMBtu)",5.4467066260367
