"gid","tech","time","value"
"AL","Nuclear",2010,40.0500135936
"AL","Nuclear",2012,40.0500135936
"AL","Nuclear",2014,40.0500135936
"AL","Nuclear",2016,40.0500135936
"AL","Nuclear",2018,40.0500135936
"AL","Nuclear",2020,40.0500135936
"AL","Nuclear",2022,40.0500135936
"AL","Nuclear",2024,40.0500135936
"AL","Nuclear",2026,40.0500135936
"AL","Nuclear",2028,40.0500135936
"AL","Nuclear",2030,40.0500135936
"AL","Nuclear",2032,40.0500135936
"AL","Nuclear",2034,40.0500135936
"AL","Nuclear",2036,40.0500135936
"AL","Nuclear",2038,40.0500135936
"AL","Nuclear",2040,40.0500135936
"AL","Nuclear",2042,40.0500135936
"AL","Nuclear",2044,40.0500135936
"AL","Nuclear",2046,40.0500135936
"AL","Nuclear",2048,40.0500135936
"AL","Nuclear",2050,40.0500135936
"AL","Coal",2010,25.0870923851939
"AL","Coal",2012,5.82954251756453
"AL","Coal",2014,14.9662857987907
"AL","Coal",2016,6.9054163347033
"AL","Coal",2018,6.08880895121127
"AL","Coal",2020,8.1192283438827
"AL","Coal",2022,10.1768512407033
"AL","Coal",2024,10.4113850007033
"AL","Coal",2026,15.6699978503736
"AL","Coal",2028,15.6699978503736
"AL","Coal",2030,14.5706983063736
"AL","Coal",2032,11.9590919224615
"AL","Coal",2034,8.93219183208791
"AL","Coal",2036,4.09952641908013
"AL","Coal",2038,3.94589419340659
"AL","Coal",2040,4.08066423175479
"AL","Coal",2042,3.94589419340659
"AL","Coal",2044,5.20990488
"AL","Coal",2046,4.43643756138129
"AL","Coal",2048,0
"AL","Coal",2050,0
"AL","Oil-Gas-Steam",2010,0
"AL","Oil-Gas-Steam",2012,0
"AL","Oil-Gas-Steam",2014,0
"AL","Oil-Gas-Steam",2016,0
"AL","Oil-Gas-Steam",2018,0
"AL","Oil-Gas-Steam",2020,0
"AL","Oil-Gas-Steam",2022,0
"AL","Oil-Gas-Steam",2024,0
"AL","Oil-Gas-Steam",2026,0
"AL","Oil-Gas-Steam",2028,0
"AL","Oil-Gas-Steam",2030,0
"AL","Oil-Gas-Steam",2032,0
"AL","Oil-Gas-Steam",2034,0
"AL","Oil-Gas-Steam",2036,0
"AL","Oil-Gas-Steam",2038,0
"AL","Oil-Gas-Steam",2040,0
"AL","Oil-Gas-Steam",2042,0
"AL","Oil-Gas-Steam",2044,0
"AL","Oil-Gas-Steam",2046,0
"AL","Oil-Gas-Steam",2048,0
"AL","Oil-Gas-Steam",2050,0
"AL","NG-CC",2010,67.1672354494741
"AL","NG-CC",2012,72.7368067331033
"AL","NG-CC",2014,61.8557090302257
"AL","NG-CC",2016,71.3096688558515
"AL","NG-CC",2018,66.600967425477
"AL","NG-CC",2020,63.8748016648367
"AL","NG-CC",2022,52.9055361140091
"AL","NG-CC",2024,49.1800223842381
"AL","NG-CC",2026,44.1804115841281
"AL","NG-CC",2028,47.1588307624922
"AL","NG-CC",2030,28.4199515729122
"AL","NG-CC",2032,37.186840325559
"AL","NG-CC",2034,47.0198616075246
"AL","NG-CC",2036,55.9609580088898
"AL","NG-CC",2038,63.717477826797
"AL","NG-CC",2040,65.0529112844643
"AL","NG-CC",2042,69.96373762311
"AL","NG-CC",2044,70.5946515767418
"AL","NG-CC",2046,83.2192576784784
"AL","NG-CC",2048,87.2965225429553
"AL","NG-CC",2050,99.6693493167648
"AL","NG-CT",2010,0.09860632
"AL","NG-CT",2012,0.09860632
"AL","NG-CT",2014,0.054126
"AL","NG-CT",2016,0.09860632
"AL","NG-CT",2018,0.09860632
"AL","NG-CT",2020,0.0686347637494101
"AL","NG-CT",2022,0.08389336
"AL","NG-CT",2024,0.08389336
"AL","NG-CT",2026,0.08389336
"AL","NG-CT",2028,0.054126
"AL","NG-CT",2030,0.054126
"AL","NG-CT",2032,0.054126
"AL","NG-CT",2034,0.054126
"AL","NG-CT",2036,0.0270461738034162
"AL","NG-CT",2038,0.0472025344445001
"AL","NG-CT",2040,0
"AL","NG-CT",2042,0
"AL","NG-CT",2044,0
"AL","NG-CT",2046,0
"AL","NG-CT",2048,0
"AL","NG-CT",2050,0
"AL","Hydro",2010,9.99004899596257
"AL","Hydro",2012,7.7944629603136
"AL","Hydro",2014,10.6033152131269
"AL","Hydro",2016,8.20178306666238
"AL","Hydro",2018,8.20178306666238
"AL","Hydro",2020,8.47163036084043
"AL","Hydro",2022,8.47163036084043
"AL","Hydro",2024,8.47163036084043
"AL","Hydro",2026,8.47163036084043
"AL","Hydro",2028,8.47163036084043
"AL","Hydro",2030,8.51814112319663
"AL","Hydro",2032,8.51814112319663
"AL","Hydro",2034,8.51814112319663
"AL","Hydro",2036,8.54537385419249
"AL","Hydro",2038,8.54537385419249
"AL","Hydro",2040,8.54537385419249
"AL","Hydro",2042,8.54537385419249
"AL","Hydro",2044,8.54537385419249
"AL","Hydro",2046,8.54537385419249
"AL","Hydro",2048,8.55867108612406
"AL","Hydro",2050,8.55867108612406
"AL","Imports",2010,0
"AL","Imports",2012,0
"AL","Imports",2014,0
"AL","Imports",2016,0
"AL","Imports",2018,0
"AL","Imports",2020,0
"AL","Imports",2022,0
"AL","Imports",2024,0
"AL","Imports",2026,0
"AL","Imports",2028,0
"AL","Imports",2030,0
"AL","Imports",2032,0
"AL","Imports",2034,0
"AL","Imports",2036,0
"AL","Imports",2038,0
"AL","Imports",2040,0
"AL","Imports",2042,0
"AL","Imports",2044,0
"AL","Imports",2046,0
"AL","Imports",2048,0
"AL","Imports",2050,0
"AL","Geothermal",2010,0
"AL","Geothermal",2012,0
"AL","Geothermal",2014,0
"AL","Geothermal",2016,0
"AL","Geothermal",2018,0
"AL","Geothermal",2020,0
"AL","Geothermal",2022,0
"AL","Geothermal",2024,0
"AL","Geothermal",2026,0
"AL","Geothermal",2028,0
"AL","Geothermal",2030,0
"AL","Geothermal",2032,0
"AL","Geothermal",2034,0
"AL","Geothermal",2036,0
"AL","Geothermal",2038,0
"AL","Geothermal",2040,0
"AL","Geothermal",2042,0
"AL","Geothermal",2044,0
"AL","Geothermal",2046,0
"AL","Geothermal",2048,0
"AL","Geothermal",2050,0
"AL","Biopower",2010,2.172456782496
"AL","Biopower",2012,1.88381955886035
"AL","Biopower",2014,1.737749841696
"AL","Biopower",2016,1.4556470871159
"AL","Biopower",2018,1.737749841696
"AL","Biopower",2020,2.132287208736
