"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.826902140491
2014,"comp_p",43.7338977805611
2016,"comp_p",29.0205789030283
2018,"comp_p",31.8396683396389
2020,"comp_p",35.761203048937
2022,"comp_p",35.2420334541882
2024,"comp_p",36.4315283204699
2026,"comp_p",37.1566056927213
2028,"comp_p",36.9298878674868
2030,"comp_p",36.970579347635
2032,"comp_p",37.1245829928248
2034,"comp_p",36.9832669099399
2036,"comp_p",37.1366426952394
2038,"comp_p",37.5016636659782
2040,"comp_p",38.0264978377974
2042,"comp_p",38.2257703158813
2044,"comp_p",38.7861540137668
2046,"comp_p",39.2162627347167
2048,"comp_p",40.6431611642759
2050,"comp_p",41.4798395220803
