"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.13012123488
2012,"withdrawal",36409.1584224576
2014,"consumption",1419.30116611139
2014,"withdrawal",38035.4711925922
2016,"consumption",1237.02628720991
2016,"withdrawal",31418.7319276145
2018,"consumption",1209.25415451366
2018,"withdrawal",30019.9470302434
2020,"consumption",1195.27254698527
2020,"withdrawal",29102.0619023445
2022,"consumption",1166.01813822723
2022,"withdrawal",28279.9911408201
2024,"consumption",1189.69348839602
2024,"withdrawal",28430.6679803503
2026,"consumption",1185.49165795089
2026,"withdrawal",28419.0643874308
2028,"consumption",1159.08538361454
2028,"withdrawal",27682.8936098327
2030,"consumption",1128.09639333367
2030,"withdrawal",25562.872988956
2032,"consumption",1131.29462396601
2032,"withdrawal",24707.2702401613
2034,"consumption",1125.98756293219
2034,"withdrawal",23316.8997677488
2036,"consumption",1109.63888041648
2036,"withdrawal",22006.2362842753
2038,"consumption",1093.16191348519
2038,"withdrawal",21294.4956730599
2040,"consumption",1087.19945082717
2040,"withdrawal",19999.5629483997
2042,"consumption",1059.55235133441
2042,"withdrawal",19344.3936321654
2044,"consumption",1025.96661775982
2044,"withdrawal",18360.5657849663
2046,"consumption",963.210818674197
2046,"withdrawal",15819.536713001
2048,"consumption",889.082374309197
2048,"withdrawal",14091.1837652595
2050,"consumption",831.463044880125
2050,"withdrawal",12507.4817169142
