"gid","time","value","type"
"AL",2010,1777.88569239798,"withdrawal"
"AL",2012,1308.86072031303,"withdrawal"
"AL",2014,1612.98481339015,"withdrawal"
"AL",2016,1372.48088007907,"withdrawal"
"AL",2018,1366.44197343848,"withdrawal"
"AL",2020,1392.19669810624,"withdrawal"
"AL",2022,1413.37437949137,"withdrawal"
"AL",2024,1413.31003357144,"withdrawal"
"AL",2026,1416.91584243727,"withdrawal"
"AL",2028,1415.97325724643,"withdrawal"
"AL",2030,1416.06347990833,"withdrawal"
"AL",2032,1414.59431331509,"withdrawal"
"AL",2034,1415.83442090874,"withdrawal"
"AL",2036,1397.65450384048,"withdrawal"
"AL",2038,1366.7745201533,"withdrawal"
"AL",2040,1413.83843455789,"withdrawal"
"AL",2042,1413.82061443506,"withdrawal"
"AL",2044,1414.81145169459,"withdrawal"
"AL",2046,1416.16336546136,"withdrawal"
"AL",2048,1229.11305027127,"withdrawal"
"AL",2050,1231.18855033466,"withdrawal"
"AR",2010,74.195548922277,"withdrawal"
"AR",2012,50.2248114722669,"withdrawal"
"AR",2014,71.5356970608054,"withdrawal"
"AR",2016,35.8924218009542,"withdrawal"
"AR",2018,34.0523043249705,"withdrawal"
"AR",2020,38.8914842816542,"withdrawal"
"AR",2022,38.6586484007537,"withdrawal"
"AR",2024,41.2825917043888,"withdrawal"
"AR",2026,40.0179996426908,"withdrawal"
"AR",2028,37.0640994113087,"withdrawal"
"AR",2030,36.9064574535092,"withdrawal"
"AR",2032,36.3736026210111,"withdrawal"
"AR",2034,32.4573806475362,"withdrawal"
"AR",2036,32.0874975091058,"withdrawal"
"AR",2038,31.5733423528838,"withdrawal"
"AR",2040,32.2873564330499,"withdrawal"
"AR",2042,32.573467614723,"withdrawal"
"AR",2044,31.5312173028898,"withdrawal"
"AR",2046,30.711327846564,"withdrawal"
"AR",2048,30.3893653009652,"withdrawal"
"AR",2050,29.5389526101162,"withdrawal"
"AZ",2010,112.432427834152,"withdrawal"
"AZ",2012,113.973790428015,"withdrawal"
"AZ",2014,113.927008458748,"withdrawal"
"AZ",2016,88.8816972971322,"withdrawal"
