"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.826902140491
2014,"comp_p",43.7338973567229
2016,"comp_p",29.0205447450059
2018,"comp_p",31.8380263861077
2020,"comp_p",41.725144751504
2022,"comp_p",41.830023583603
2024,"comp_p",44.7988448431173
2026,"comp_p",46.6841229193818
2028,"comp_p",47.759366611109
2030,"comp_p",47.9215041192642
2032,"comp_p",47.5965472232426
2034,"comp_p",47.5425489685473
2036,"comp_p",48.2014272342411
2038,"comp_p",48.4550067158446
2040,"comp_p",48.2495626270103
2042,"comp_p",47.8900609448829
2044,"comp_p",49.2761050984062
2046,"comp_p",51.2735512382692
2048,"comp_p",53.0736154026104
2050,"comp_p",54.77944680831
