"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.826902140491
2014,"comp_p",43.7338973567229
2016,"comp_p",29.0205447432848
2018,"comp_p",31.8903888741188
2020,"comp_p",42.3432989962568
2022,"comp_p",45.2361361433148
2024,"comp_p",49.9120857079193
2026,"comp_p",52.9189512006704
2028,"comp_p",54.4064374201692
2030,"comp_p",55.2344544017416
2032,"comp_p",55.2787026310695
2034,"comp_p",55.3766056454934
2036,"comp_p",55.9656358562502
2038,"comp_p",57.169731800069
2040,"comp_p",57.6297873240468
2042,"comp_p",58.4667847444265
2044,"comp_p",60.4271542672788
2046,"comp_p",63.5129273448163
2048,"comp_p",65.7493336484875
2050,"comp_p",67.2589402398108
