"time","tech","value"
2010,"Nuclear",0.199901311390912
2010,"Coal",0.458271624481349
2010,"Oil-Gas-Steam",0.00309675689571129
2010,"NG-CC",0.222441003668864
2010,"NG-CT",0.00153735735980325
2010,"Hydro",0.0668162920499461
2010,"Imports",0.00643906275603243
2010,"Geothermal",0.00463948471690072
2010,"Biopower",0.00977166219925267
2010,"Land-based Wind",0.026216872276915
2010,"Offshore Wind",0
2010,"CSP",0.000313004713165202
2010,"Utility PV",0.000375295761223825
2010,"Rooftop PV",0.000180271729923575
2012,"Nuclear",0.204634965036914
2012,"Coal",0.355971263100075
2012,"Oil-Gas-Steam",0.00154830333291702
2012,"NG-CC",0.295607193844969
2012,"NG-CT",0.00207322501602685
2012,"Hydro",0.0758134062591793
2012,"Imports",0.0119678068893235
2012,"Geothermal",0.00499535231432637
2012,"Biopower",0.00946984973778321
2012,"Land-based Wind",0.0359084028276219
2012,"Offshore Wind",0
2012,"CSP",0.000332035624788147
2012,"Utility PV",0.0010688444047941
2012,"Rooftop PV",0.000609351611281766
2014,"Nuclear",0.195288118227005
2014,"Coal",0.401186429755509
2014,"Oil-Gas-Steam",0.00146664179379943
2014,"NG-CC",0.257924119565575
2014,"NG-CT",0.001263226194888
2014,"Hydro",0.0665868702904871
2014,"Imports",0.0116444344166116
2014,"Geothermal",0.005090141421937
2014,"Biopower",0.0103448596071921
2014,"Land-based Wind",0.0433871899230213
2014,"Offshore Wind",0
2014,"CSP",0.000838684895391155
2014,"Utility PV",0.00376267483291042
2014,"Rooftop PV",0.00121660907567202
2016,"Nuclear",0.199116276718468
2016,"Coal",0.277478940391139
2016,"Oil-Gas-Steam",0.000941238541704689
2016,"NG-CC",0.354655078015707
2016,"NG-CT",0.00193877721124322
2016,"Hydro",0.0688666449517383
2016,"Imports",0.0123234013550155
2016,"Geothermal",0.00523923022490353
2016,"Biopower",0.00920253020854296
2016,"Land-based Wind",0.0571854474216785
2016,"Offshore Wind",2.12765085181563e-05
2016,"CSP",0.00137390278668325
2016,"Utility PV",0.00936098453072594
2016,"Rooftop PV",0.00229627113393168
2018,"Nuclear",0.197355622345617
2018,"Coal",0.271624627725625
2018,"Oil-Gas-Steam",0.000834605786126498
2018,"NG-CC",0.325486823305471
2018,"NG-CT",0.00127372315155052
2018,"Hydro",0.0705412798932307
2018,"Imports",0.00961227649024641
2018,"Geothermal",0.0053597016904356
2018,"Biopower",0.010369192850867
2018,"Land-based Wind",0.0774179320000628
2018,"Offshore Wind",2.78256453990825e-05
2018,"CSP",0.00136874102168709
2018,"Utility PV",0.0223006566059014
2018,"Rooftop PV",0.00642699148777927
2020,"Nuclear",0.185598458565708
2020,"Coal",0.377330634705689
2020,"Oil-Gas-Steam",0.000597585376881448
2020,"NG-CC",0.208203730557662
2020,"NG-CT",0.000796229930722216
2020,"Hydro",0.0707754166402063
2020,"Imports",0.00916959873560617
2020,"Geothermal",0.00543638407952129
2020,"Biopower",0.0107393897490825
2020,"Land-based Wind",0.0943870177383628
2020,"Offshore Wind",0.0002563447684578
2020,"CSP",0.00133289721082206
2020,"Utility PV",0.0283599933169864
2020,"Rooftop PV",0.00701631862429165
2022,"Nuclear",0.178515064174609
2022,"Coal",0.380652892016355
2022,"Oil-Gas-Steam",0
2022,"NG-CC",0.182541280996147
2022,"NG-CT",0.000755422675410745
2022,"Hydro",0.0700619958525727
2022,"Imports",0.00982358785119455
2022,"Geothermal",0.00538145153693182
2022,"Biopower",0.0106958107514459
2022,"Land-based Wind",0.112299024592848
2022,"Offshore Wind",0.00125383743887499
2022,"CSP",0.0013189662252464
2022,"Utility PV",0.0393972610917565
2022,"Rooftop PV",0.00730340479660654
2024,"Nuclear",0.173805455485678
2024,"Coal",0.375750114703362
2024,"Oil-Gas-Steam",0
2024,"NG-CC",0.181406140901344
2024,"NG-CT",0.000739125022219422
2024,"Hydro",0.0691194575822523
2024,"Imports",0.0103221849729926
2024,"Geothermal",0.00614648043269943
2024,"Biopower",0.0105448334665551
2024,"Land-based Wind",0.110740254571443
2024,"Offshore Wind",0.00225129196806253
2024,"CSP",0.00129976665009876
2024,"Utility PV",0.0505271755373385
2024,"Rooftop PV",0.00734771870595416
2026,"Nuclear",0.169626139127336
2026,"Coal",0.367359960890524
2026,"Oil-Gas-Steam",0
2026,"NG-CC",0.183321818282462
2026,"NG-CT",0.000721666374952078
2026,"Hydro",0.0686399879317156
2026,"Imports",0.0118305495380904
2026,"Geothermal",0.00727221483651595
2026,"Biopower",0.010486161506174
2026,"Land-based Wind",0.110903442085262
2026,"Offshore Wind",0.00387414521615528
2026,"CSP",0.00128470642613563
2026,"Utility PV",0.0573254901493573
2026,"Rooftop PV",0.00735371763532019
2028,"Nuclear",0.16710087057594
2028,"Coal",0.359853836348737
2028,"Oil-Gas-Steam",0
2028,"NG-CC",0.178195453060233
2028,"NG-CT",0.0006945585157929
2028,"Hydro",0.0677625553386636
2028,"Imports",0.0116934875615714
2028,"Geothermal",0.00981754451680119
2028,"Biopower",0.0102403446087335
2028,"Land-based Wind",0.112969679216922
2028,"Offshore Wind",0.00468614081573003
2028,"CSP",0.00126419299361993
2028,"Utility PV",0.0683744530269479
2028,"Rooftop PV",0.00734688342030748
2030,"Nuclear",0.160166082805758
2030,"Coal",0.346130501317918
2030,"Oil-Gas-Steam",0
2030,"NG-CC",0.180489711989297
2030,"NG-CT",0.000649439393350441
2030,"Hydro",0.0670483412341153
2030,"Imports",0.0115735496148833
2030,"Geothermal",0.0116746943178619
2030,"Biopower",0.0100750821730245
2030,"Land-based Wind",0.116684704466073
2030,"Offshore Wind",0.00547604072636622
2030,"CSP",0.00124913963515978
2030,"Utility PV",0.081437453745074
2030,"Rooftop PV",0.00734525858111949
2032,"Nuclear",0.150006851237653
2032,"Coal",0.341215863273355
2032,"Oil-Gas-Steam",0
2032,"NG-CC",0.179157116753113
2032,"NG-CT",0.000584493318602404
2032,"Hydro",0.0664377665378479
2032,"Imports",0.0114926764091785
2032,"Geothermal",0.0116586008220216
2032,"Biopower",0.00988212793969422
2032,"Land-based Wind",0.123661782305259
2032,"Offshore Wind",0.00541283195603225
2032,"CSP",0.0012326336058419
2032,"Utility PV",0.09192404554039
2032,"Rooftop PV",0.00733321030101033
2034,"Nuclear",0.146583568756174
2034,"Coal",0.331385574364731
2034,"Oil-Gas-Steam",0
2034,"NG-CC",0.17923856829363
2034,"NG-CT",0.000465934278976146
2034,"Hydro",0.065600368220543
2034,"Imports",0.0112452400134369
2034,"Geothermal",0.0114985456839719
2034,"Biopower",0.00940215642894549
2034,"Land-based Wind",0.126651305252871
2034,"Offshore Wind",0.00533787736425123
2034,"CSP",0.00121058475194183
2034,"Utility PV",0.104098388221067
2034,"Rooftop PV",0.00728188836946097
2036,"Nuclear",0.137014647124308
2036,"Coal",0.324323644603257
2036,"Oil-Gas-Steam",0
2036,"NG-CC",0.178586372779043
2036,"NG-CT",0.000338205247905101
2036,"Hydro",0.0646634475523626
2036,"Imports",0.0107518767436886
2036,"Geothermal",0.0116742701470558
2036,"Biopower",0.0087928028891668
2036,"Land-based Wind",0.139012481718893
2036,"Offshore Wind",0.00524856102387046
2036,"CSP",0.00119226784727588
2036,"Utility PV",0.111208775030571
2036,"Rooftop PV",0.00719264729260345
2038,"Nuclear",0.13111756179634
2038,"Coal",0.313743082714079
2038,"Oil-Gas-Steam",0
2038,"NG-CC",0.186286627516205
2038,"NG-CT",0.000277938141087728
2038,"Hydro",0.0636073336929529
2038,"Imports",0.0104688943800104
2038,"Geothermal",0.0114667257604823
2038,"Biopower",0.00737859247424101
2038,"Land-based Wind",0.147670677218102
2038,"Offshore Wind",0.00515710034088338
2038,"CSP",0.00117249240420325
2038,"Utility PV",0.114481064498836
2038,"Rooftop PV",0.00717190906257744
2040,"Nuclear",0.127526799298445
2040,"Coal",0.29770751836511
2040,"Oil-Gas-Steam",0
2040,"NG-CC",0.194028591157171
2040,"NG-CT",0.000207330316932899
2040,"Hydro",0.0626556329721853
2040,"Imports",0.0102244562559499
2040,"Geothermal",0.01148952732769
2040,"Biopower",0.00572936454923726
2040,"Land-based Wind",0.156307934893088
2040,"Offshore Wind",0.00507471402649211
2040,"CSP",0.00114518203422236
2040,"Utility PV",0.120723392307303
2040,"Rooftop PV",0.00717955649617319
2042,"Nuclear",0.12161528849964
2042,"Coal",0.281500227369483
2042,"Oil-Gas-Steam",0
2042,"NG-CC",0.205159385720668
2042,"NG-CT",0.00019433681456577
2042,"Hydro",0.0620449224462132
2042,"Imports",0.0100566539308406
2042,"Geothermal",0.0113771550247963
2042,"Biopower",0.00479521363261493
2042,"Land-based Wind",0.159889684453077
2042,"Offshore Wind",0.00499291650992294
2042,"CSP",0.0011183364074895
2042,"Utility PV",0.130034915557533
2042,"Rooftop PV",0.00722096363315562
2044,"Nuclear",0.112168610520797
2044,"Coal",0.262449797692429
2044,"Oil-Gas-Steam",0
2044,"NG-CC",0.210149162297004
2044,"NG-CT",0.000148184320331493
2044,"Hydro",0.0610030631646086
2044,"Imports",0.00987540903284471
2044,"Geothermal",0.0116101538366488
2044,"Biopower",0.00439275357203902
2044,"Land-based Wind",0.174684538310067
2044,"Offshore Wind",0.00490243317553398
2044,"CSP",0.000862999411674241
2044,"Utility PV",0.140463797359524
2044,"Rooftop PV",0.00728909730649758
2046,"Nuclear",0.0949185274855565
2046,"Coal",0.234331024060961
2046,"Oil-Gas-Steam",0
2046,"NG-CC",0.226698060627269
2046,"NG-CT",0.000138792375752611
2046,"Hydro",0.0598521480802989
2046,"Imports",0.00968302468668762
2046,"Geothermal",0.0114830755538843
2046,"Biopower",0.00416960304128218
2046,"Land-based Wind",0.191189050071974
2046,"Offshore Wind",0.00478582962687171
2046,"CSP",0.000745379831974011
2046,"Utility PV",0.154543922389128
2046,"Rooftop PV",0.00746156216836056
2048,"Nuclear",0.0808519841031252
2048,"Coal",0.2053569522573
2048,"Oil-Gas-Steam",0
2048,"NG-CC",0.228412861677147
2048,"NG-CT",0.000101317746251567
2048,"Hydro",0.0588316232912525
2048,"Imports",0.0094859519116361
2048,"Geothermal",0.0113040605470411
2048,"Biopower",0.00426005762818289
2048,"Land-based Wind",0.218081218289531
2048,"Offshore Wind",0.00468876302654008
2048,"CSP",0.000734227175716393
2048,"Utility PV",0.170539464790177
2048,"Rooftop PV",0.00735151755609846
2050,"Nuclear",0.0736179396992172
2050,"Coal",0.186477402507785
2050,"Oil-Gas-Steam",0
2050,"NG-CC",0.210286313036125
2050,"NG-CT",6.23745869172046e-05
