"gid","time","tech","value"
"AL",2010,"Nuclear",0.277037073929529
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0150274872904719
"AL",2010,"NG-CT",0.000682087318145734
"AL",2010,"Offshore Wind",0
"AL",2010,"Utility PV",0
"AL",2010,"Land-based Wind",5.83202306647042e-07
"AL",2010,"Coal",0.173534389733753
"AL",2010,"Geothermal",0
"AL",2010,"Rooftop PV",0
"AL",2010,"NG-CC",0.464614433385151
"AL",2010,"CSP",0
"AL",2010,"Hydro",0.0691039451406421
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Geothermal",0
"AL",2012,"Utility PV",0
"AL",2012,"Land-based Wind",6.56661457353873e-07
"AL",2012,"Nuclear",0.311932183110717
"AL",2012,"Coal",0.0454037779485606
"AL",2012,"Rooftop PV",0
"AL",2012,"NG-CC",0.56651543609925
"AL",2012,"Biopower",0.0146722533865975
"AL",2012,"Hydro",0.0607076909400793
"AL",2012,"NG-CT",0.000768001853338426
"AL",2012,"Offshore Wind",0
"AL",2012,"CSP",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0820255425452324
"AL",2014,"Offshore Wind",0
"AL",2014,"Biopower",0.0134429535204746
"AL",2014,"Nuclear",0.309820469157796
"AL",2014,"Geothermal",0
"AL",2014,"Utility PV",0
"AL",2014,"NG-CT",0.000418710037998953
"AL",2014,"CSP",0
"AL",2014,"Imports",0
"AL",2014,"Land-based Wind",6.52216000177858e-07
"AL",2014,"Coal",0.115776781865785
"AL",2014,"NG-CC",0.478505824900372
"AL",2014,"Rooftop PV",9.06575634059585e-06
"AL",2016,"Geothermal",0
"AL",2016,"Nuclear",0.312688329162271
"AL",2016,"Coal",0.0539136669909464
"AL",2016,"Utility PV",0.000480541313536431
"AL",2016,"NG-CC",0.556729184136081
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Imports",0
"AL",2016,"Rooftop PV",1.78895868331306e-05
"AL",2016,"Offshore Wind",0
"AL",2016,"CSP",0
"AL",2016,"Hydro",0.064034980594261
"AL",2016,"NG-CT",0.00076986354507923
"AL",2016,"Biopower",0.0113648864177398
"AL",2016,"Land-based Wind",6.58253251965235e-07
"AL",2018,"Hydro",0.0666383981359727
"AL",2018,"Biopower",0.0141189866728316
"AL",2018,"Nuclear",0.325401041396661
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Rooftop PV",5.62350537323033e-05
"AL",2018,"Utility PV",0.00318403800748195
"AL",2018,"NG-CC",0.540328745088529
"AL",2018,"Land-based Wind",6.85015313062957e-07
"AL",2018,"Geothermal",0
"AL",2018,"Imports",0
"AL",2018,"NG-CT",0.000801163254072399
"AL",2018,"Offshore Wind",0
"AL",2018,"Coal",0.0494707073754063
"AL",2018,"CSP",0
"AL",2020,"NG-CT",0.000413397320420233
"AL",2020,"Utility PV",0.00296408701619724
"AL",2020,"Coal",0.318546674832265
"AL",2020,"Rooftop PV",6.89332567063708e-05
"AL",2020,"Offshore Wind",0
"AL",2020,"Hydro",0.0652608001209976
"AL",2020,"NG-CC",0.290095748270672
"AL",2020,"Geothermal",0
"AL",2020,"CSP",0
"AL",2020,"Biopower",0.0167603404059791
"AL",2020,"Imports",0
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Nuclear",0.305889374836274
"AL",2020,"Land-based Wind",6.43940489454907e-07
"AL",2022,"NG-CC",0.183782786327586
"AL",2022,"Imports",0
"AL",2022,"Rooftop PV",7.80164932029847e-05
"AL",2022,"Coal",0.378673861667581
"AL",2022,"Nuclear",0.342012973598835
"AL",2022,"NG-CT",0.000462216926986729
"AL",2022,"Offshore Wind",0
"AL",2022,"Biopower",0.0187396305080743
"AL",2022,"Geothermal",0
"AL",2022,"Utility PV",0.00328106851280376
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"Land-based Wind",1.75847736009858e-06
"AL",2022,"CSP",0
"AL",2022,"Hydro",0.0729676874875707
"AL",2024,"Coal",0.393503037672439
"AL",2024,"Utility PV",0.00340808431950545
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Rooftop PV",8.04049239039262e-05
"AL",2024,"Biopower",0.0194585221937252
"AL",2024,"Geothermal",0
"AL",2024,"NG-CT",0.000479948541579379
"AL",2024,"Offshore Wind",0
"AL",2024,"NG-CC",0.152167758596575
"AL",2024,"CSP",0
"AL",2024,"Land-based Wind",2.05069684753559e-06
"AL",2024,"Hydro",0.0757668816250102
"AL",2024,"Imports",0
"AL",2024,"Nuclear",0.355133311430415
"AL",2026,"Coal",0.397476594047493
"AL",2026,"Biopower",0.0196505267554809
"AL",2026,"Offshore Wind",0
"AL",2026,"CSP",0
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"Rooftop PV",8.09608832028251e-05
"AL",2026,"NG-CT",0.000484684374469143
"AL",2026,"Land-based Wind",1.94947178188606e-06
"AL",2026,"Utility PV",0.00340611286205565
"AL",2026,"Imports",0
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.0765145019610857
"AL",2026,"NG-CC",0.143747124174699
"AL",2026,"Nuclear",0.358637545469731
"AL",2028,"Utility PV",0.0135375715931755
"AL",2028,"Offshore Wind",0
"AL",2028,"Biopower",0.0191556684338328
"AL",2028,"Rooftop PV",7.82245841787377e-05
"AL",2028,"CSP",0
"AL",2028,"Land-based Wind",2.16323653663001e-06
"AL",2028,"Coal",0.387395922909678
"AL",2028,"Imports",0
"AL",2028,"NG-CT",0.000472478589908587
"AL",2028,"Nuclear",0.349605992471712
"AL",2028,"Oil-Gas-Steam",0
"AL",2028,"Geothermal",0
"AL",2028,"Hydro",0.0745876407378039
"AL",2028,"NG-CC",0.155164337443174
"AL",2030,"Utility PV",0.0274367233866067
"AL",2030,"Offshore Wind",0
"AL",2030,"Biopower",0.0188932378654746
"AL",2030,"Land-based Wind",2.13114433909104e-06
"AL",2030,"Rooftop PV",7.64761211941684e-05
"AL",2030,"CSP",0
"AL",2030,"NG-CT",0.000466005684757033
"AL",2030,"Oil-Gas-Steam",0
"AL",2030,"Nuclear",0.344816428504121
"AL",2030,"Imports",0
"AL",2030,"Geothermal",0
"AL",2030,"Hydro",0.0738002623606112
"AL",2030,"Coal",0.382052162631076
"AL",2030,"NG-CC",0.15245657230182
"AL",2032,"Utility PV",0.048248214746515
"AL",2032,"Offshore Wind",0
"AL",2032,"Biopower",0.0192326894750705
"AL",2032,"Rooftop PV",7.71540339561415e-05
"AL",2032,"CSP",0
"AL",2032,"Land-based Wind",1.43036273777335e-06
"AL",2032,"Nuclear",0.351011686961367
"AL",2032,"Imports",0
"AL",2032,"NG-CT",0.000474378330086434
"AL",2032,"Oil-Gas-Steam",0
"AL",2032,"Coal",0.378438638438955
"AL",2032,"Geothermal",0
"AL",2032,"Hydro",0.0752427605726769
"AL",2032,"NG-CC",0.127273047078635
"AL",2034,"Utility PV",0.049711698069391
"AL",2034,"Offshore Wind",0
"AL",2034,"Biopower",0.0199632717493786
"AL",2034,"Land-based Wind",1.51496830094921e-05
"AL",2034,"NG-CC",0.106738885554784
"AL",2034,"Imports",0
"AL",2034,"CSP",0
"AL",2034,"Oil-Gas-Steam",0
"AL",2034,"Rooftop PV",7.98168411011217e-05
"AL",2034,"NG-CT",0.000492398295506572
"AL",2034,"Hydro",0.0786081856329849
"AL",2034,"Geothermal",0
"AL",2034,"Nuclear",0.364345387216932
"AL",2034,"Coal",0.380045206956912
"AL",2036,"Land-based Wind",0.000135090992385732
"AL",2036,"Offshore Wind",0
"AL",2036,"Imports",0
"AL",2036,"NG-CT",0.000446612549380572
"AL",2036,"Utility PV",0.0445972217533077
"AL",2036,"Hydro",0.0716873246906224
"AL",2036,"CSP",0
"AL",2036,"Biopower",0.0181069832518299
"AL",2036,"Geothermal",0
"AL",2036,"Nuclear",0.330466664334409
"AL",2036,"Oil-Gas-Steam",0
"AL",2036,"Rooftop PV",7.18535834771277e-05
"AL",2036,"Coal",0.345054395898452
"AL",2036,"NG-CC",0.189433852946135
"AL",2038,"Offshore Wind",0
"AL",2038,"NG-CT",0.000416513123475078
"AL",2038,"Imports",0
"AL",2038,"Rooftop PV",6.67874447127365e-05
"AL",2038,"NG-CC",0.244177098989892
"AL",2038,"Biopower",0.0168866642045565
"AL",2038,"Geothermal",0
"AL",2038,"Hydro",0.066962938401777
"AL",2038,"Nuclear",0.308194883366398
"AL",2038,"CSP",0
"AL",2038,"Oil-Gas-Steam",0
"AL",2038,"Land-based Wind",0.000126060712609312
"AL",2038,"Coal",0.321858841913495
"AL",2038,"Utility PV",0.0413102118430836
"AL",2040,"Imports",0
"AL",2040,"Rooftop PV",6.39484193910215e-05
"AL",2040,"Land-based Wind",0.000121275668199481
"AL",2040,"Geothermal",0
"AL",2040,"NG-CT",0
"AL",2040,"Biopower",0.0132128115920906
"AL",2040,"Utility PV",0.0394083078683386
"AL",2040,"Offshore Wind",0
"AL",2040,"Hydro",0.0643896668801002
"AL",2040,"Oil-Gas-Steam",0
"AL",2040,"NG-CC",0.276901187409225
"AL",2040,"CSP",0
"AL",2040,"Nuclear",0.296351479605726
"AL",2040,"Coal",0.309551322556929
"AL",2042,"NG-CT",0
"AL",2042,"Hydro",0.0649685484465618
"AL",2042,"CSP",0
"AL",2042,"Land-based Wind",0.000122228941804341
"AL",2042,"Biopower",0.00982796316691725
"AL",2042,"Imports",0
"AL",2042,"Utility PV",0.0392306770993443
"AL",2042,"NG-CC",0.274581110828248
"AL",2042,"Oil-Gas-Steam",0
"AL",2042,"Rooftop PV",6.39389535816441e-05
"AL",2042,"Nuclear",0.299015764374536
"AL",2042,"Geothermal",0
"AL",2042,"Coal",0.312189768189007
"AL",2042,"Offshore Wind",0
"AL",2044,"Imports",0
"AL",2044,"Geothermal",0
"AL",2044,"CSP",0
"AL",2044,"Offshore Wind",0
"AL",2044,"NG-CT",0
"AL",2044,"Hydro",0.0634772873849199
"AL",2044,"Oil-Gas-Steam",0
"AL",2044,"Land-based Wind",0.000119344692870193
"AL",2044,"Rooftop PV",6.46143282615282e-05
"AL",2044,"Utility PV",0.0389486964411015
