"gid","time","tech","value"
"AL",2010,"Nuclear",0.277037073929529
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0150274872904719
"AL",2010,"NG-CT",0.000682087318145734
"AL",2010,"Offshore Wind",0
"AL",2010,"Utility PV",0
"AL",2010,"Land-based Wind",5.83202306647042e-07
"AL",2010,"Coal",0.173534389733753
"AL",2010,"Geothermal",0
"AL",2010,"Rooftop PV",0
"AL",2010,"NG-CC",0.464614433385151
"AL",2010,"CSP",0
"AL",2010,"Hydro",0.0691039451406421
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Geothermal",0
"AL",2012,"Utility PV",0
"AL",2012,"Land-based Wind",6.56661457353873e-07
"AL",2012,"Nuclear",0.311932183110717
"AL",2012,"Coal",0.0454037779485606
"AL",2012,"Rooftop PV",0
"AL",2012,"NG-CC",0.56651543609925
"AL",2012,"Biopower",0.0146722533865975
"AL",2012,"Hydro",0.0607076909400793
"AL",2012,"NG-CT",0.000768001853338426
"AL",2012,"Offshore Wind",0
"AL",2012,"CSP",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0820255425452324
"AL",2014,"Offshore Wind",0
"AL",2014,"Biopower",0.0134429535204746
"AL",2014,"Nuclear",0.309820469157796
"AL",2014,"Geothermal",0
"AL",2014,"Utility PV",0
"AL",2014,"NG-CT",0.000418710037998953
"AL",2014,"CSP",0
"AL",2014,"Imports",0
"AL",2014,"Land-based Wind",6.52216000177858e-07
"AL",2014,"Coal",0.115776781865785
"AL",2014,"NG-CC",0.478505824900372
"AL",2014,"Rooftop PV",9.06575634059585e-06
"AL",2016,"Geothermal",0
"AL",2016,"Nuclear",0.312688329162271
"AL",2016,"Coal",0.0539136669909464
"AL",2016,"Utility PV",0.000480541313536431
"AL",2016,"NG-CC",0.556729184136081
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Imports",0
"AL",2016,"Rooftop PV",1.78895868331306e-05
"AL",2016,"Offshore Wind",0
"AL",2016,"CSP",0
"AL",2016,"Hydro",0.064034980594261
"AL",2016,"NG-CT",0.00076986354507923
"AL",2016,"Biopower",0.0113648864177398
"AL",2016,"Land-based Wind",6.58253251965235e-07
"AL",2018,"Hydro",0.066585333692152
"AL",2018,"Biopower",0.0141077436628544
"AL",2018,"Nuclear",0.325141923144071
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Rooftop PV",5.82849390486436e-05
"AL",2018,"Utility PV",0.00318150264979375
"AL",2018,"NG-CC",0.540692631868208
"AL",2018,"Land-based Wind",6.84469832414965e-07
"AL",2018,"Geothermal",0
"AL",2018,"Imports",0
"AL",2018,"NG-CT",0.00080052528431808
"AL",2018,"Offshore Wind",0
"AL",2018,"Coal",0.0494313702897225
"AL",2018,"CSP",0
"AL",2020,"NG-CT",0.000416660050455206
"AL",2020,"Utility PV",0.00298748101334311
"AL",2020,"Coal",0.321117879417947
"AL",2020,"Rooftop PV",8.3073775483382e-05
"AL",2020,"Offshore Wind",0
"AL",2020,"Hydro",0.0657758696730806
"AL",2020,"NG-CC",0.284422165417957
"AL",2020,"Geothermal",0
"AL",2020,"CSP",0
"AL",2020,"Biopower",0.0168926210554603
"AL",2020,"Imports",0
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Nuclear",0.308303600573496
"AL",2020,"Land-based Wind",6.49022776813577e-07
"AL",2022,"NG-CC",0.132887416705221
"AL",2022,"Imports",0
"AL",2022,"Rooftop PV",0.000123126816112124
"AL",2022,"Coal",0.378113292225655
"AL",2022,"Nuclear",0.350314140134355
"AL",2022,"NG-CT",0.000473435623301314
"AL",2022,"Offshore Wind",0
"AL",2022,"Biopower",0.0191944693758072
"AL",2022,"Geothermal",0
"AL",2022,"Utility PV",0.044000359262038
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"Land-based Wind",0.000155037431783465
"AL",2022,"CSP",0
"AL",2022,"Hydro",0.0747387224257266
"AL",2024,"Coal",0.374420120692986
"AL",2024,"Utility PV",0.0872272409504292
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Rooftop PV",0.000142596550564719
"AL",2024,"Biopower",0.0188675412736689
"AL",2024,"Geothermal",0
"AL",2024,"NG-CT",0
"AL",2024,"Offshore Wind",0
"AL",2024,"NG-CC",0.101375809093612
"AL",2024,"CSP",0
"AL",2024,"Land-based Wind",0.000153504169726638
"AL",2024,"Hydro",0.0734657417456938
"AL",2024,"Imports",0
"AL",2024,"Nuclear",0.344347445523319
"AL",2026,"Coal",0.38190868178903
"AL",2026,"Biopower",0.0192412778827026
"AL",2026,"Offshore Wind",0
"AL",2026,"CSP",0
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"Rooftop PV",0.000186630376361369
"AL",2026,"NG-CT",0
"AL",2026,"Land-based Wind",0.000156351186266555
"AL",2026,"Utility PV",0.0876521364524562
"AL",2026,"Imports",0
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.0749209836768986
"AL",2026,"NG-CC",0.0847655064908828
"AL",2026,"Nuclear",0.351168432145402
"AL",2028,"Utility PV",0.085150795937642
"AL",2028,"Offshore Wind",0
"AL",2028,"Biopower",0.019187771052727
"AL",2028,"Rooftop PV",0.000276334413380166
"AL",2028,"CSP",0
"AL",2028,"Land-based Wind",0.000154669737639939
"AL",2028,"Coal",0.380854769648509
"AL",2028,"Imports",0
"AL",2028,"NG-CT",0
"AL",2028,"Nuclear",0.350191890477735
"AL",2028,"Oil-Gas-Steam",0
"AL",2028,"Geothermal",0
"AL",2028,"Hydro",0.0747126407404448
"AL",2028,"NG-CC",0.0894711279919221
"AL",2030,"Utility PV",0.0832907435400363
"AL",2030,"Offshore Wind",0
"AL",2030,"Biopower",0.0193206662082978
"AL",2030,"Land-based Wind",0.000154697157717918
"AL",2030,"Rooftop PV",0.000517451443092049
"AL",2030,"CSP",0
"AL",2030,"NG-CT",0
"AL",2030,"Oil-Gas-Steam",0
"AL",2030,"Nuclear",0.352617331433686
"AL",2030,"Imports",0
"AL",2030,"Geothermal",0
"AL",2030,"Hydro",0.0752301030338516
"AL",2030,"Coal",0.369217773829119
"AL",2030,"NG-CC",0.0996512333542002
"AL",2032,"Utility PV",0.0819952221509837
"AL",2032,"Offshore Wind",0
"AL",2032,"Biopower",0.0194065012233633
"AL",2032,"Rooftop PV",0.00111006067332938
"AL",2032,"CSP",0
"AL",2032,"Land-based Wind",0.000153647324469377
"AL",2032,"Nuclear",0.354183887867591
"AL",2032,"Imports",0
"AL",2032,"NG-CT",0
"AL",2032,"Oil-Gas-Steam",0
"AL",2032,"Coal",0.353843380905557
"AL",2032,"Geothermal",0
"AL",2032,"Hydro",0.0755643242743446
"AL",2032,"NG-CC",0.113742975580361
"AL",2034,"Utility PV",0.0826929703497407
"AL",2034,"Offshore Wind",0
"AL",2034,"Biopower",0.0198214039265639
"AL",2034,"Land-based Wind",0.000157024381965275
"AL",2034,"NG-CC",0.108589746860472
"AL",2034,"Imports",0
"AL",2034,"CSP",0
"AL",2034,"Oil-Gas-Steam",0
"AL",2034,"Rooftop PV",0.00220385833430596
"AL",2034,"NG-CT",0
"AL",2034,"Hydro",0.0771798572365261
"AL",2034,"Geothermal",0
"AL",2034,"Nuclear",0.361756188037262
"AL",2034,"Coal",0.347598950873164
"AL",2036,"Land-based Wind",0.00177938501853214
"AL",2036,"Offshore Wind",0
"AL",2036,"Imports",0
"AL",2036,"NG-CT",0
"AL",2036,"Utility PV",0.081096815675861
"AL",2036,"Hydro",0.0775207884438854
"AL",2036,"CSP",0
"AL",2036,"Biopower",0.0199089622016658
"AL",2036,"Geothermal",0
"AL",2036,"Nuclear",0.363354195320164
"AL",2036,"Oil-Gas-Steam",0
"AL",2036,"Rooftop PV",0.00330496224727605
"AL",2036,"Coal",0.350584264948796
"AL",2036,"NG-CC",0.10245062614382
"AL",2038,"Offshore Wind",0
"AL",2038,"NG-CT",0
"AL",2038,"Imports",0
"AL",2038,"Rooftop PV",0.0041581572016741
"AL",2038,"NG-CC",0.0878624161051017
"AL",2038,"Biopower",0.0201586703796463
"AL",2038,"Geothermal",0
"AL",2038,"Hydro",0.0787432611314137
"AL",2038,"Nuclear",0.367911565672063
"AL",2038,"CSP",0
"AL",2038,"Oil-Gas-Steam",0
"AL",2038,"Land-based Wind",0.0152990368023341
"AL",2038,"Coal",0.344987235331847
"AL",2038,"Utility PV",0.0808796573759206
"AL",2040,"Imports",0
"AL",2040,"Rooftop PV",0.00478963352504957
"AL",2040,"Land-based Wind",0.0210641331610845
"AL",2040,"Geothermal",0
"AL",2040,"NG-CT",0
"AL",2040,"Biopower",0.016326694901808
"AL",2040,"Utility PV",0.0804660144506834
"AL",2040,"Offshore Wind",0
"AL",2040,"Hydro",0.0787586192144503
"AL",2040,"Oil-Gas-Steam",0
"AL",2040,"NG-CC",0.0959797601600385
"AL",2040,"CSP",0
"AL",2040,"Nuclear",0.366193081427002
"AL",2040,"Coal",0.336422063159884
"AL",2042,"NG-CT",0
"AL",2042,"Hydro",0.0806996348607456
"AL",2042,"CSP",0
"AL",2042,"Land-based Wind",0.0215797473195998
"AL",2042,"Biopower",0.0122829573339945
"AL",2042,"Imports",0
"AL",2042,"Utility PV",0.0827478590036503
"AL",2042,"NG-CC",0.0981865392037152
"AL",2042,"Oil-Gas-Steam",0
"AL",2042,"Rooftop PV",0.00537066113328017
"AL",2042,"Nuclear",0.372172900229888
"AL",2042,"Geothermal",0
"AL",2042,"Coal",0.326959700915126
"AL",2042,"Offshore Wind",0
"AL",2044,"Imports",0
"AL",2044,"Geothermal",0
"AL",2044,"CSP",0
"AL",2044,"Offshore Wind",0
"AL",2044,"NG-CT",0
"AL",2044,"Hydro",0.0712297026715838
"AL",2044,"Oil-Gas-Steam",0
"AL",2044,"Land-based Wind",0.0280901855366692
"AL",2044,"Rooftop PV",0.00497664453593171
"AL",2044,"Utility PV",0.0720333653869169
"AL",2044,"NG-CC",0.191981167223277
"AL",2044,"Nuclear",0.328325867523209
"AL",2044,"Biopower",0.0108663704753159
"AL",2044,"Coal",0.292496696647096
"AL",2046,"Oil-Gas-Steam",0
