"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.13012123488
2012,"withdrawal",36409.1584224576
2014,"consumption",1419.30116612079
2014,"withdrawal",38035.4711929141
2016,"consumption",1237.02596330917
2016,"withdrawal",31418.8556051111
2018,"consumption",1209.25375079146
2018,"withdrawal",30020.0679566448
2020,"consumption",1347.34129221922
2020,"withdrawal",34061.2124845067
2022,"consumption",1297.56258877447
2022,"withdrawal",32769.1908615999
2024,"consumption",1292.67946937769
2024,"withdrawal",32315.5056595883
2026,"consumption",1282.8528003011
2026,"withdrawal",31995.8150848109
2028,"consumption",1273.54787621533
2028,"withdrawal",31696.1796787725
2030,"consumption",1246.22568005955
2030,"withdrawal",29998.1559451342
2032,"consumption",1217.68440185391
2032,"withdrawal",28791.8415489357
2034,"consumption",1196.39227960969
2034,"withdrawal",27579.7111739873
2036,"consumption",1159.67186846934
2036,"withdrawal",26572.7864957475
2038,"consumption",1117.83525781326
2038,"withdrawal",25645.125857406
2040,"consumption",1079.23346114104
2040,"withdrawal",23751.0328686402
2042,"consumption",1027.36254351975
2042,"withdrawal",22560.3170391695
2044,"consumption",966.609735790459
2044,"withdrawal",20841.9148716609
2046,"consumption",874.074471468796
2046,"withdrawal",17632.1126153827
2048,"consumption",770.212596679235
2048,"withdrawal",15291.5666642618
2050,"consumption",703.282613291796
2050,"withdrawal",13654.1582446442
