"gid","time","value","type"
"AL",2010,1777.88569239798,"withdrawal"
"AL",2012,1308.86072031303,"withdrawal"
"AL",2014,1612.98481336871,"withdrawal"
"AL",2016,1372.48031756073,"withdrawal"
"AL",2018,1366.44185290818,"withdrawal"
"AL",2020,1670.29226364764,"withdrawal"
"AL",2022,1676.03592378095,"withdrawal"
"AL",2024,1675.46451882802,"withdrawal"
"AL",2026,1675.21978828682,"withdrawal"
"AL",2028,1675.31987440357,"withdrawal"
"AL",2030,1673.85979269349,"withdrawal"
"AL",2032,1672.11434814977,"withdrawal"
"AL",2034,1664.67097804378,"withdrawal"
"AL",2036,1664.76605935315,"withdrawal"
"AL",2038,1663.78609468203,"withdrawal"
"AL",2040,1662.90877220871,"withdrawal"
"AL",2042,1661.36997523007,"withdrawal"
"AL",2044,1609.44439608656,"withdrawal"
"AL",2046,1440.08824027482,"withdrawal"
"AL",2048,1254.45264214566,"withdrawal"
"AL",2050,1234.86275706235,"withdrawal"
"AR",2010,74.195548922277,"withdrawal"
"AR",2012,50.2248114722669,"withdrawal"
"AR",2014,71.5356970629864,"withdrawal"
"AR",2016,35.8924334814209,"withdrawal"
"AR",2018,34.0523772605403,"withdrawal"
"AR",2020,76.7468208099672,"withdrawal"
"AR",2022,77.2657198167738,"withdrawal"
"AR",2024,77.2657233841313,"withdrawal"
"AR",2026,77.1540687875332,"withdrawal"
"AR",2028,77.2761106220942,"withdrawal"
"AR",2030,77.2906013006862,"withdrawal"
"AR",2032,76.9306572912266,"withdrawal"
"AR",2034,71.8863193590138,"withdrawal"
"AR",2036,70.900209562319,"withdrawal"
"AR",2038,70.2694995499878,"withdrawal"
"AR",2040,69.9891174363458,"withdrawal"
"AR",2042,66.5520437903901,"withdrawal"
"AR",2044,65.7921818554585,"withdrawal"
"AR",2046,63.547429444126,"withdrawal"
"AR",2048,63.5211285088019,"withdrawal"
"AR",2050,63.5096506021766,"withdrawal"
"AZ",2010,112.432427834152,"withdrawal"
"AZ",2012,113.973790428015,"withdrawal"
"AZ",2014,113.927008468959,"withdrawal"
"AZ",2016,88.8816943603088,"withdrawal"
