"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.826902140491
2014,"comp_p",43.7338973567229
2016,"comp_p",29.0205447432848
2018,"comp_p",31.8396676172957
2020,"comp_p",41.7495262716733
2022,"comp_p",41.8477268209027
2024,"comp_p",44.7899293742038
2026,"comp_p",46.6685356261964
2028,"comp_p",47.7339927800827
2030,"comp_p",47.9729661707761
2032,"comp_p",47.6003812899746
2034,"comp_p",47.5381346816681
2036,"comp_p",48.2948631960622
2038,"comp_p",48.1393979251018
2040,"comp_p",48.2614978293391
2042,"comp_p",47.9568165351476
2044,"comp_p",49.2409391205604
2046,"comp_p",51.1636754549229
2048,"comp_p",53.2872256859881
2050,"comp_p",54.8515507399692
