"gid","time","tech","value"
"AL",2010,"Nuclear",0.277037073929529
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0150274872904719
"AL",2010,"NG-CT",0.000682087318145734
"AL",2010,"Offshore Wind",0
"AL",2010,"Utility PV",0
"AL",2010,"Land-based Wind",5.83202306647042e-07
"AL",2010,"Coal",0.173534389733753
"AL",2010,"Geothermal",0
"AL",2010,"Rooftop PV",0
"AL",2010,"NG-CC",0.464614433385151
"AL",2010,"CSP",0
"AL",2010,"Hydro",0.0691039451406421
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Geothermal",0
"AL",2012,"Utility PV",0
"AL",2012,"Land-based Wind",6.56661457353873e-07
"AL",2012,"Nuclear",0.311932183110717
"AL",2012,"Coal",0.0454037779485606
"AL",2012,"Rooftop PV",0
"AL",2012,"NG-CC",0.56651543609925
"AL",2012,"Biopower",0.0146722533865975
"AL",2012,"Hydro",0.0607076909400793
"AL",2012,"NG-CT",0.000768001853338426
"AL",2012,"Offshore Wind",0
"AL",2012,"CSP",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0820255425452324
"AL",2014,"Offshore Wind",0
"AL",2014,"Biopower",0.0134429535204746
"AL",2014,"Nuclear",0.309820469157796
"AL",2014,"Geothermal",0
"AL",2014,"Utility PV",0
"AL",2014,"NG-CT",0.000418710037998953
"AL",2014,"CSP",0
"AL",2014,"Imports",0
"AL",2014,"Land-based Wind",6.52216000177858e-07
"AL",2014,"Coal",0.115776781865785
"AL",2014,"NG-CC",0.478505824900372
"AL",2014,"Rooftop PV",9.06575634059585e-06
"AL",2016,"Geothermal",0
"AL",2016,"Nuclear",0.312688329162271
"AL",2016,"Coal",0.0539136669909464
"AL",2016,"Utility PV",0.000480541313536431
"AL",2016,"NG-CC",0.556729184136081
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Imports",0
"AL",2016,"Rooftop PV",1.78895868331306e-05
"AL",2016,"Offshore Wind",0
"AL",2016,"CSP",0
"AL",2016,"Hydro",0.064034980594261
"AL",2016,"NG-CT",0.00076986354507923
"AL",2016,"Biopower",0.0113648864177398
"AL",2016,"Land-based Wind",6.58253251965235e-07
"AL",2018,"Hydro",0.0665853336924824
"AL",2018,"Biopower",0.0141077436629244
"AL",2018,"Nuclear",0.325141923145684
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Rooftop PV",5.82849390489328e-05
"AL",2018,"Utility PV",0.00318150264980954
"AL",2018,"NG-CC",0.540692631865928
"AL",2018,"Land-based Wind",6.84469832418362e-07
"AL",2018,"Geothermal",0
"AL",2018,"Imports",0
"AL",2018,"NG-CT",0.000800525284322053
"AL",2018,"Offshore Wind",0
"AL",2018,"Coal",0.0494313702899678
"AL",2018,"CSP",0
"AL",2020,"NG-CT",0.000416665627405397
"AL",2020,"Utility PV",0.0029875210004568
"AL",2020,"Coal",0.321122274890385
"AL",2020,"Rooftop PV",8.30748874169775e-05
"AL",2020,"Offshore Wind",0
"AL",2020,"Hydro",0.0657767500760579
"AL",2020,"NG-CC",0.284412490141229
"AL",2020,"Geothermal",0
"AL",2020,"CSP",0
"AL",2020,"Biopower",0.0168928471613855
"AL",2020,"Imports",0
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Nuclear",0.3083077271842
"AL",2020,"Land-based Wind",6.49031463913996e-07
"AL",2022,"NG-CC",0.132788290658467
"AL",2022,"Imports",0
"AL",2022,"Rooftop PV",0.000123123744863009
"AL",2022,"Coal",0.378224616130466
"AL",2022,"Nuclear",0.350305401972948
"AL",2022,"NG-CT",0.000473423814023816
"AL",2022,"Offshore Wind",0
"AL",2022,"Biopower",0.0191939905930454
"AL",2022,"Geothermal",0
"AL",2022,"Utility PV",0.0439992617264345
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"Land-based Wind",0.000155033200822864
"AL",2022,"CSP",0
"AL",2022,"Hydro",0.0747368581589298
"AL",2024,"Coal",0.37441576377446
"AL",2024,"Utility PV",0.0872270542736175
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Rooftop PV",0.000142596908586531
"AL",2024,"Biopower",0.0188673193368226
"AL",2024,"Geothermal",0
"AL",2024,"NG-CT",0
"AL",2024,"Offshore Wind",0
"AL",2024,"NG-CC",0.10138549024899
"AL",2024,"CSP",0
"AL",2024,"Land-based Wind",0.000153502879819862
"AL",2024,"Hydro",0.0734648775761238
"AL",2024,"Imports",0
"AL",2024,"Nuclear",0.34434339500158
"AL",2026,"Coal",0.382147137912905
"AL",2026,"Biopower",0.0192530870607498
"AL",2026,"Offshore Wind",0
"AL",2026,"CSP",0
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"Rooftop PV",0.00018674276401627
"AL",2026,"NG-CT",0
"AL",2026,"Land-based Wind",0.000156446364281441
"AL",2026,"Utility PV",0.0877047736671039
"AL",2026,"Imports",0
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.0749669658222171
"AL",2026,"NG-CC",0.0842008874898397
"AL",2026,"Nuclear",0.351383958918886
"AL",2028,"Utility PV",0.0850624135042612
"AL",2028,"Offshore Wind",0
"AL",2028,"Biopower",0.0191670858883472
"AL",2028,"Rooftop PV",0.000276034684156907
"AL",2028,"CSP",0
"AL",2028,"Land-based Wind",0.000154493773284461
"AL",2028,"Coal",0.380440255344852
"AL",2028,"Imports",0
"AL",2028,"NG-CT",0
"AL",2028,"Nuclear",0.349814369983089
"AL",2028,"Oil-Gas-Steam",0
"AL",2028,"Geothermal",0
"AL",2028,"Hydro",0.0746320976043653
"AL",2028,"NG-CC",0.0904532492176442
"AL",2030,"Utility PV",0.0832945956034264
"AL",2030,"Offshore Wind",0
"AL",2030,"Biopower",0.0193177432414166
"AL",2030,"Land-based Wind",0.000154715528075069
"AL",2030,"Rooftop PV",0.000517544022080305
"AL",2030,"CSP",0
"AL",2030,"NG-CT",0
"AL",2030,"Oil-Gas-Steam",0
"AL",2030,"Nuclear",0.352563984992606
"AL",2030,"Imports",0
"AL",2030,"Geothermal",0
"AL",2030,"Hydro",0.0752187216923769
"AL",2030,"Coal",0.369124357068769
"AL",2030,"NG-CC",0.0998083378512502
"AL",2032,"Utility PV",0.0819942718019245
"AL",2032,"Offshore Wind",0
"AL",2032,"Biopower",0.0194130381861967
"AL",2032,"Rooftop PV",0.00111002136457534
"AL",2032,"CSP",0
"AL",2032,"Land-based Wind",0.000153664402016727
"AL",2032,"Nuclear",0.354303192572986
"AL",2032,"Imports",0
"AL",2032,"NG-CT",0
"AL",2032,"Oil-Gas-Steam",0
"AL",2032,"Coal",0.353527411412561
"AL",2032,"Geothermal",0
"AL",2032,"Hydro",0.0755897776610026
"AL",2032,"NG-CC",0.113908622598737
"AL",2034,"Utility PV",0.0828395680415912
"AL",2034,"Offshore Wind",0
"AL",2034,"Biopower",0.0198614235205312
"AL",2034,"Land-based Wind",0.000157349284681068
"AL",2034,"NG-CC",0.106807917285528
"AL",2034,"Imports",0
"AL",2034,"CSP",0
"AL",2034,"Oil-Gas-Steam",0
"AL",2034,"Rooftop PV",0.00220782816849871
"AL",2034,"NG-CT",0
"AL",2034,"Hydro",0.0773356840669815
"AL",2034,"Geothermal",0
"AL",2034,"Nuclear",0.362486577055821
"AL",2034,"Coal",0.348303652576367
"AL",2036,"Land-based Wind",0.000296601451203632
"AL",2036,"Offshore Wind",0
"AL",2036,"Imports",0
"AL",2036,"NG-CT",0
"AL",2036,"Utility PV",0.0811410753804948
"AL",2036,"Hydro",0.077535171952267
"AL",2036,"CSP",0
"AL",2036,"Biopower",0.0199126561878913
"AL",2036,"Geothermal",0
"AL",2036,"Nuclear",0.363421613469782
"AL",2036,"Oil-Gas-Steam",0
"AL",2036,"Rooftop PV",0.00330685952563041
"AL",2036,"Coal",0.351222621010229
"AL",2036,"NG-CC",0.103163401022501
"AL",2038,"Offshore Wind",0
"AL",2038,"NG-CT",0
"AL",2038,"Imports",0
"AL",2038,"Rooftop PV",0.00415214006712909
"AL",2038,"NG-CC",0.0887189727525933
"AL",2038,"Biopower",0.020139536173466
"AL",2038,"Geothermal",0
"AL",2038,"Hydro",0.0786685196050422
"AL",2038,"Nuclear",0.367562351382573
"AL",2038,"CSP",0
"AL",2038,"Oil-Gas-Steam",0
"AL",2038,"Land-based Wind",0.0153064319981934
"AL",2038,"Coal",0.344687516601551
"AL",2038,"Utility PV",0.0807645314194518
"AL",2040,"Imports",0
"AL",2040,"Rooftop PV",0.0047899389733926
"AL",2040,"Land-based Wind",0.021060849842384
"AL",2040,"Geothermal",0
"AL",2040,"NG-CT",0
"AL",2040,"Biopower",0.0162938004653291
"AL",2040,"Utility PV",0.0804735302761774
"AL",2040,"Offshore Wind",0
"AL",2040,"Hydro",0.0785999391868943
"AL",2040,"Oil-Gas-Steam",0
"AL",2040,"NG-CC",0.0976179133765241
"AL",2040,"CSP",0
"AL",2040,"Nuclear",0.365455288804033
"AL",2040,"Coal",0.335708739075265
"AL",2042,"NG-CT",0
"AL",2042,"Hydro",0.0792715390904718
"AL",2042,"CSP",0
"AL",2042,"Land-based Wind",0.0213774152961258
"AL",2042,"Biopower",0.0120592265956627
"AL",2042,"Imports",0
"AL",2042,"Utility PV",0.0825104365662514
"AL",2042,"NG-CC",0.108569581272658
"AL",2042,"Oil-Gas-Steam",0
"AL",2042,"Rooftop PV",0.00535945317898407
"AL",2042,"Nuclear",0.36539387173607
"AL",2042,"Geothermal",0
"AL",2042,"Coal",0.325458476263776
"AL",2042,"Offshore Wind",0
"AL",2044,"Imports",0
"AL",2044,"Geothermal",0
"AL",2044,"CSP",0
"AL",2044,"Offshore Wind",0
"AL",2044,"NG-CT",0
"AL",2044,"Hydro",0.0725116492397582
"AL",2044,"Oil-Gas-Steam",0
"AL",2044,"Land-based Wind",0.0286062563272523
"AL",2044,"Rooftop PV",0.00506645306850012
"AL",2044,"Utility PV",0.0733343117930666
"AL",2044,"NG-CC",0.180504119199275
"AL",2044,"Nuclear",0.334234866203926
"AL",2044,"Biopower",0.0110619364515432
"AL",2044,"Coal",0.294680407716678
"AL",2046,"Oil-Gas-Steam",0
