"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.13012123488
2012,"withdrawal",36409.1584224576
2014,"consumption",1419.30116612079
2014,"withdrawal",38035.4711929141
2016,"consumption",1237.02596330917
2016,"withdrawal",31418.8556051111
2018,"consumption",1209.25375079159
2018,"withdrawal",30020.0679566457
2020,"consumption",1347.34550781358
2020,"withdrawal",34061.5201217678
2022,"consumption",1297.57196627386
2022,"withdrawal",32767.4770483229
2024,"consumption",1292.64719108229
2024,"withdrawal",32318.6618115679
2026,"consumption",1282.70815245111
2026,"withdrawal",31995.0494122598
2028,"consumption",1273.44069458345
2028,"withdrawal",31696.8736103628
2030,"consumption",1245.98070606152
2030,"withdrawal",29996.355139355
2032,"consumption",1217.57137629047
2032,"withdrawal",28792.9345793428
2034,"consumption",1195.75322576976
2034,"withdrawal",27564.8802319125
2036,"consumption",1159.88096364265
2036,"withdrawal",26575.8575285807
2038,"consumption",1121.87839480373
2038,"withdrawal",25667.1438041113
2040,"consumption",1082.58961071537
2040,"withdrawal",23818.6498004263
2042,"consumption",1029.50820454121
2042,"withdrawal",22534.2355620149
2044,"consumption",968.048494516769
2044,"withdrawal",20831.4059468936
2046,"consumption",878.80083054548
2046,"withdrawal",17647.9435227714
2048,"consumption",778.454760749744
2048,"withdrawal",15350.714317527
2050,"consumption",704.393728818774
2050,"withdrawal",13725.9935396432
