"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.8270440036708
2014,"comp_p",43.907653452309
2016,"comp_p",29.0631694593538
2018,"comp_p",31.8833048249843
2020,"comp_p",40.6603242331006
2022,"comp_p",39.2856795039893
2024,"comp_p",41.2072948945543
2026,"comp_p",40.8627135632321
2028,"comp_p",39.8004239858712
2030,"comp_p",40.100151657284
2032,"comp_p",40.6502152394431
2034,"comp_p",41.084098997303
2036,"comp_p",41.9951081926121
2038,"comp_p",43.0068514641604
2040,"comp_p",42.7126956822663
2042,"comp_p",41.1210485973404
2044,"comp_p",40.4326405622993
2046,"comp_p",41.9543469026873
2048,"comp_p",42.353710824114
2050,"comp_p",40.2483013885583
