"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.12030841250836
2010,"USA","Coal Usage (Quads)",19.5801790921485
2010,"USA","Coal Price (2016$/MMBtu)",2.5090000259545
2010,"USA","Gas Price (2016$/MMBtu)",5.58851275749779
2012,"USA","Gas Usage (Quads)",9.09603580062022
2012,"USA","Coal Usage (Quads)",14.7448962902997
2012,"USA","Coal Price (2016$/MMBtu)",2.4777656363637
2012,"USA","Gas Price (2016$/MMBtu)",3.63715327706063
2014,"USA","Gas Usage (Quads)",7.94863708382211
2014,"USA","Coal Usage (Quads)",16.8937446015552
2014,"USA","Coal Price (2016$/MMBtu)",2.41468479222677
2014,"USA","Gas Price (2016$/MMBtu)",5.0464039330693
2016,"USA","Gas Usage (Quads)",10.8207787967257
2016,"USA","Coal Usage (Quads)",11.4221839488767
2016,"USA","Coal Price (2016$/MMBtu)",2.15421043913461
2016,"USA","Gas Price (2016$/MMBtu)",2.9876551985487
2018,"USA","Gas Usage (Quads)",9.65703303095986
2018,"USA","Coal Usage (Quads)",11.226679657517
2018,"USA","Coal Price (2016$/MMBtu)",2.13752702280165
2018,"USA","Gas Price (2016$/MMBtu)",3.51691807498483
2020,"USA","Gas Usage (Quads)",5.6860235433525
2020,"USA","Coal Usage (Quads)",15.664049999088
2020,"USA","Coal Price (2016$/MMBtu)",2.30533004363155
2020,"USA","Gas Price (2016$/MMBtu)",5.07167852651073
2022,"USA","Gas Usage (Quads)",3.22632612079244
2022,"USA","Coal Usage (Quads)",14.7489101666467
2022,"USA","Coal Price (2016$/MMBtu)",2.3030514628017
2022,"USA","Gas Price (2016$/MMBtu)",5.13897863026654
2024,"USA","Gas Usage (Quads)",2.65942627500097
2024,"USA","Coal Usage (Quads)",14.8059565893902
2024,"USA","Coal Price (2016$/MMBtu)",2.3100412798778
2024,"USA","Gas Price (2016$/MMBtu)",5.59170348705322
2026,"USA","Gas Usage (Quads)",2.10541093287695
2026,"USA","Coal Usage (Quads)",13.8272447954399
2026,"USA","Coal Price (2016$/MMBtu)",2.32808603241055
2026,"USA","Gas Price (2016$/MMBtu)",5.80900875348821
2028,"USA","Gas Usage (Quads)",1.68906166951654
2028,"USA","Coal Usage (Quads)",11.8723855773845
2028,"USA","Coal Price (2016$/MMBtu)",2.33597771402313
2028,"USA","Gas Price (2016$/MMBtu)",5.97155243077013
2030,"USA","Gas Usage (Quads)",1.56574738356885
2030,"USA","Coal Usage (Quads)",10.8573393392587
2030,"USA","Coal Price (2016$/MMBtu)",2.3580145042634
2030,"USA","Gas Price (2016$/MMBtu)",5.99784332640752
2032,"USA","Gas Usage (Quads)",1.62115337186395
2032,"USA","Coal Usage (Quads)",10.4753704469365
2032,"USA","Coal Price (2016$/MMBtu)",2.36375876371645
2032,"USA","Gas Price (2016$/MMBtu)",6.04454783730519
2034,"USA","Gas Usage (Quads)",1.60842045113495
2034,"USA","Coal Usage (Quads)",10.0323636182543
2034,"USA","Coal Price (2016$/MMBtu)",2.37473569753064
2034,"USA","Gas Price (2016$/MMBtu)",6.15719394589581
2036,"USA","Gas Usage (Quads)",1.55518510073392
2036,"USA","Coal Usage (Quads)",9.6582077833645
2036,"USA","Coal Price (2016$/MMBtu)",2.39333901021235
2036,"USA","Gas Price (2016$/MMBtu)",6.44154130720973
2038,"USA","Gas Usage (Quads)",1.63449749812821
2038,"USA","Coal Usage (Quads)",9.33115689362965
2038,"USA","Coal Price (2016$/MMBtu)",2.41995790009927
2038,"USA","Gas Price (2016$/MMBtu)",6.64124734064507
2040,"USA","Gas Usage (Quads)",1.56697902165533
2040,"USA","Coal Usage (Quads)",8.53154823270207
2040,"USA","Coal Price (2016$/MMBtu)",2.44254905120796
2040,"USA","Gas Price (2016$/MMBtu)",6.78065257830342
2042,"USA","Gas Usage (Quads)",1.52280566940896
2042,"USA","Coal Usage (Quads)",7.38229451949614
2042,"USA","Coal Price (2016$/MMBtu)",2.45411095721744
2042,"USA","Gas Price (2016$/MMBtu)",6.85082869634457
2044,"USA","Gas Usage (Quads)",1.36841380540513
2044,"USA","Coal Usage (Quads)",6.15784934787131
2044,"USA","Coal Price (2016$/MMBtu)",2.45916178553032
2044,"USA","Gas Price (2016$/MMBtu)",7.18845767806401
2046,"USA","Gas Usage (Quads)",1.44682901420904
2046,"USA","Coal Usage (Quads)",5.13263124665869
2046,"USA","Coal Price (2016$/MMBtu)",2.46810136189759
2046,"USA","Gas Price (2016$/MMBtu)",7.56177822468953
2048,"USA","Gas Usage (Quads)",1.39996956777057
2048,"USA","Coal Usage (Quads)",4.2197450084452
2048,"USA","Coal Price (2016$/MMBtu)",2.4550449088661
2048,"USA","Gas Price (2016$/MMBtu)",7.95059440653594
2050,"USA","Gas Usage (Quads)",1.11329106609694
2050,"USA","Coal Usage (Quads)",3.32712848645699
2050,"USA","Coal Price (2016$/MMBtu)",2.44625639879973
2050,"USA","Gas Price (2016$/MMBtu)",8.43092470838537
