"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.30207479467
2012,"withdrawal",36410.6058775348
2014,"consumption",1419.64030497788
2014,"withdrawal",38047.680009717
2016,"consumption",1238.81469143041
2016,"withdrawal",31446.9237396572
2018,"consumption",1211.30982904308
2018,"withdrawal",30035.560773376
2020,"consumption",1316.5897592442
2020,"withdrawal",33641.6405684717
2022,"consumption",1201.30919272481
2022,"withdrawal",31377.0189807616
2024,"consumption",1187.81610353206
2024,"withdrawal",30743.4199626165
2026,"consumption",1122.02968406655
2026,"withdrawal",29182.7566890647
2028,"consumption",1024.09913557063
2028,"withdrawal",26071.2955325427
2030,"consumption",965.612646005757
2030,"withdrawal",24031.6080902679
2032,"consumption",930.746323466469
2032,"withdrawal",22759.459437246
2034,"consumption",909.871927075433
2034,"withdrawal",21703.7387598166
2036,"consumption",872.517792781185
2036,"withdrawal",20651.9711187878
2038,"consumption",847.061326331837
2038,"withdrawal",20112.7978211183
2040,"consumption",800.143533886899
2040,"withdrawal",18941.1216185872
2042,"consumption",729.395576955729
2042,"withdrawal",17457.0008354922
2044,"consumption",649.993137387156
2044,"withdrawal",15720.2570505059
2046,"consumption",580.724352554909
2046,"withdrawal",13109.3599447385
2048,"consumption",535.947130877906
2048,"withdrawal",11467.224011605
2050,"consumption",523.018950541738
2050,"withdrawal",9859.17894667656
