"time","type","value"
2010,"consumption",1505.76951981744
2010,"withdrawal",44129.1649382808
2012,"consumption",1358.86321713312
2012,"withdrawal",36418.1682524855
2014,"consumption",1420.51281813404
2014,"withdrawal",38096.5100780011
2016,"consumption",1239.57475473085
2016,"withdrawal",31523.5222679665
2018,"consumption",1212.53674458341
2018,"withdrawal",30094.4268397791
2020,"consumption",1197.1334060663
2020,"withdrawal",29209.0251622879
2022,"consumption",1163.65297597234
2022,"withdrawal",28189.1559109584
2024,"consumption",1194.42406691925
2024,"withdrawal",28522.5273447177
2026,"consumption",1189.06610603212
2026,"withdrawal",28491.5374007333
2028,"consumption",1166.90549106438
2028,"withdrawal",27905.1750341492
2030,"consumption",1127.48304862602
2030,"withdrawal",25637.6115695967
2032,"consumption",1123.53185307307
2032,"withdrawal",24314.2341065573
2034,"consumption",1121.52680838225
2034,"withdrawal",23207.6131633943
2036,"consumption",1105.86154221771
2036,"withdrawal",21849.2704839258
2038,"consumption",1090.12351532618
2038,"withdrawal",21231.7705477568
2040,"consumption",1083.25971112003
2040,"withdrawal",19953.8212743128
2042,"consumption",1057.11595952264
2042,"withdrawal",19289.9737717911
2044,"consumption",1024.29599863013
2044,"withdrawal",18202.3987453432
2046,"consumption",951.395984455157
2046,"withdrawal",15652.9524530558
2048,"consumption",891.482814893932
2048,"withdrawal",14055.818925359
2050,"consumption",841.564539688289
2050,"withdrawal",12609.8975084062
