"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.826902140491
2014,"comp_p",43.7338977805611
2016,"comp_p",29.0205789002266
2018,"comp_p",31.8904006636298
2020,"comp_p",36.3039166465508
2022,"comp_p",36.2212780730215
2024,"comp_p",37.7133309249871
2026,"comp_p",38.6396577495849
2028,"comp_p",38.9886671939703
2030,"comp_p",39.463700692987
2032,"comp_p",39.94173198954
2034,"comp_p",40.2151948768785
2036,"comp_p",40.9418411922326
2038,"comp_p",41.7424830672612
2040,"comp_p",42.7283001169519
2042,"comp_p",44.1373884009716
2044,"comp_p",45.3091614933316
2046,"comp_p",47.6991223995594
2048,"comp_p",51.2714336811957
2050,"comp_p",52.7754419948774
