"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.13012123488
2012,"withdrawal",36409.1584224576
2014,"consumption",1419.30116611139
2014,"withdrawal",38035.4711925922
2016,"consumption",1237.02629032674
2016,"withdrawal",31418.7327537417
2018,"consumption",1211.14436282828
2018,"withdrawal",30058.9742870311
2020,"consumption",1221.58544421993
2020,"withdrawal",29911.2223113906
2022,"consumption",1212.1861958865
2022,"withdrawal",29448.8490649647
2024,"consumption",1241.50349113284
2024,"withdrawal",29342.5428161102
2026,"consumption",1240.90416899482
2026,"withdrawal",29016.1698767152
2028,"consumption",1251.67773638279
2028,"withdrawal",29110.5718168132
2030,"consumption",1247.40278971776
2030,"withdrawal",27734.6187403227
2032,"consumption",1261.51049596719
2032,"withdrawal",27029.240857875
2034,"consumption",1274.2973985283
2034,"withdrawal",26096.0617137163
2036,"consumption",1284.12527046413
2036,"withdrawal",25113.4874014485
2038,"consumption",1290.58819061836
2038,"withdrawal",24738.7805704326
2040,"consumption",1295.94869903133
2040,"withdrawal",23656.4113990822
2042,"consumption",1303.75677023304
2042,"withdrawal",22957.4097349517
2044,"consumption",1288.95988768879
2044,"withdrawal",21704.2332132774
2046,"consumption",1251.6728559967
2046,"withdrawal",18956.4820866077
2048,"consumption",1201.08090370691
2048,"withdrawal",16563.0784940124
2050,"consumption",1162.38051506377
2050,"withdrawal",14862.6184980139
