"gid","time","tech","value"
"AL",2010,"Nuclear",0.277037073929529
"AL",2010,"Imports",0
"AL",2010,"Oil-Gas-Steam",0
"AL",2010,"Biopower",0.0150274872904719
"AL",2010,"NG-CT",0.000682087318145734
"AL",2010,"Offshore Wind",0
"AL",2010,"Utility PV",0
"AL",2010,"Land-based Wind",5.83202306647042e-07
"AL",2010,"Coal",0.173534389733753
"AL",2010,"Geothermal",0
"AL",2010,"Rooftop PV",0
"AL",2010,"NG-CC",0.464614433385151
"AL",2010,"CSP",0
"AL",2010,"Hydro",0.0691039451406421
"AL",2012,"Imports",0
"AL",2012,"Oil-Gas-Steam",0
"AL",2012,"Geothermal",0
"AL",2012,"Utility PV",0
"AL",2012,"Land-based Wind",6.56661457353875e-07
"AL",2012,"Nuclear",0.311932183110718
"AL",2012,"Coal",0.0454037779485547
"AL",2012,"Rooftop PV",0
"AL",2012,"NG-CC",0.566515436099255
"AL",2012,"Biopower",0.0146722533865976
"AL",2012,"Hydro",0.0607076909400795
"AL",2012,"NG-CT",0.000768001853338428
"AL",2012,"Offshore Wind",0
"AL",2012,"CSP",0
"AL",2014,"Oil-Gas-Steam",0
"AL",2014,"Hydro",0.0820255380921889
"AL",2014,"Offshore Wind",0
"AL",2014,"Biopower",0.0134429527906768
"AL",2014,"Nuclear",0.309820452338108
"AL",2014,"Geothermal",0
"AL",2014,"Utility PV",0
"AL",2014,"NG-CT",0.000418710015267814
"AL",2014,"CSP",0
"AL",2014,"Imports",0
"AL",2014,"Land-based Wind",6.52215964770031e-07
"AL",2014,"Coal",0.115776796129613
"AL",2014,"NG-CC",0.478505832662332
"AL",2014,"Rooftop PV",9.06575584842956e-06
"AL",2016,"Geothermal",0
"AL",2016,"Nuclear",0.30937935460448
"AL",2016,"Coal",0.0618522722630574
"AL",2016,"Utility PV",0.000475456061443013
"AL",2016,"NG-CC",0.552910888247491
"AL",2016,"Oil-Gas-Steam",0
"AL",2016,"Imports",0
"AL",2016,"Rooftop PV",1.77010494550453e-05
"AL",2016,"Offshore Wind",0
"AL",2016,"CSP",0
"AL",2016,"Hydro",0.0633573405871564
"AL",2016,"NG-CT",0.000761716586443251
"AL",2016,"Biopower",0.0112446193130824
"AL",2016,"Land-based Wind",6.51287391521476e-07
"AL",2018,"Hydro",0.0655037426076181
"AL",2018,"Biopower",0.0138785819402567
"AL",2018,"Nuclear",0.319860420660254
"AL",2018,"Oil-Gas-Steam",0
"AL",2018,"Rooftop PV",5.73398328478514e-05
"AL",2018,"Utility PV",0.00312995073998592
"AL",2018,"NG-CC",0.542804756466917
"AL",2018,"Land-based Wind",6.73351521109427e-07
"AL",2018,"Geothermal",0
"AL",2018,"Imports",0
"AL",2018,"NG-CT",0.000607906204013886
"AL",2018,"Offshore Wind",0
"AL",2018,"Coal",0.0541566281965857
"AL",2018,"CSP",0
"AL",2020,"NG-CT",0.000542747643864672
"AL",2020,"Utility PV",0.00307495448202701
"AL",2020,"Coal",0.0824931662330265
"AL",2020,"Rooftop PV",8.55965724186297e-05
"AL",2020,"Offshore Wind",0
"AL",2020,"Hydro",0.0671237891571924
"AL",2020,"NG-CC",0.511961108207827
"AL",2020,"Geothermal",0
"AL",2020,"CSP",0
"AL",2020,"Biopower",0.0173872371391388
"AL",2020,"Imports",0
"AL",2020,"Oil-Gas-Steam",0
"AL",2020,"Nuclear",0.317330732538335
"AL",2020,"Land-based Wind",6.68026169065838e-07
"AL",2022,"NG-CC",0.453834801345628
"AL",2022,"Imports",0
"AL",2022,"Rooftop PV",0.000126535519436533
"AL",2022,"Coal",0.0906054472796139
"AL",2022,"Nuclear",0.356568972993259
"AL",2022,"NG-CT",0.000481888781064414
"AL",2022,"Offshore Wind",0
"AL",2022,"Biopower",0.0195371851957138
"AL",2022,"Geothermal",0
"AL",2022,"Utility PV",0.003420710090674
"AL",2022,"Oil-Gas-Steam",0
"AL",2022,"Land-based Wind",7.50628226680349e-07
"AL",2022,"CSP",0
"AL",2022,"Hydro",0.0754237081663836
"AL",2024,"Coal",0.0931420030802182
"AL",2024,"Utility PV",0.014627050205359
"AL",2024,"Oil-Gas-Steam",0
"AL",2024,"Rooftop PV",0.000161190912866761
"AL",2024,"Biopower",0.0205125197064578
"AL",2024,"Geothermal",0
"AL",2024,"NG-CT",0.000519767419364681
"AL",2024,"Offshore Wind",0
"AL",2024,"NG-CC",0.417478079549758
"AL",2024,"CSP",0
"AL",2024,"Land-based Wind",7.88101056409195e-07
"AL",2024,"Hydro",0.0791890072494418
"AL",2024,"Imports",0
"AL",2024,"Nuclear",0.374369593775477
"AL",2026,"Coal",0.135803896493919
"AL",2026,"Biopower",0.0201420603320998
"AL",2026,"Offshore Wind",0
"AL",2026,"CSP",0
"AL",2026,"Oil-Gas-Steam",0
"AL",2026,"Rooftop PV",0.00020550698257813
"AL",2026,"NG-CT",0.000496808153494439
"AL",2026,"Land-based Wind",7.73832478081418e-07
"AL",2026,"Utility PV",0.0295988541038411
"AL",2026,"Imports",0
"AL",2026,"Geothermal",0
"AL",2026,"Hydro",0.0777588411605617
"AL",2026,"NG-CC",0.368384839681086
"AL",2026,"Nuclear",0.367608419259942
"AL",2028,"Utility PV",0.0495953931869541
"AL",2028,"Offshore Wind",0
"AL",2028,"Biopower",0.0194629188610711
"AL",2028,"Rooftop PV",0.000300327959223745
"AL",2028,"CSP",0
"AL",2028,"Land-based Wind",7.47571588033261e-07
"AL",2028,"Coal",0.131224918151305
"AL",2028,"Imports",0
"AL",2028,"NG-CT",0.000480056986303982
"AL",2028,"Nuclear",0.35521355406232
"AL",2028,"Oil-Gas-Steam",0
"AL",2028,"Geothermal",0
"AL",2028,"Hydro",0.0751370014430471
"AL",2028,"NG-CC",0.368585081778187
"AL",2030,"Utility PV",0.0518306548820285
"AL",2030,"Offshore Wind",0
"AL",2030,"Biopower",0.0205548619444191
"AL",2030,"Land-based Wind",7.8941531556084e-07
"AL",2030,"Rooftop PV",0.000599439721475622
"AL",2030,"CSP",0
"AL",2030,"NG-CT",0.000506989992064798
"AL",2030,"Oil-Gas-Steam",0
"AL",2030,"Nuclear",0.375142372870973
"AL",2030,"Imports",0
"AL",2030,"Geothermal",0
"AL",2030,"Hydro",0.0797881295579996
"AL",2030,"Coal",0.138587130508098
"AL",2030,"NG-CC",0.332989631107626
"AL",2032,"Utility PV",0.049105929038856
"AL",2032,"Offshore Wind",0
"AL",2032,"Biopower",0.0197905880538441
"AL",2032,"Rooftop PV",0.00124648950805245
"AL",2032,"CSP",0
"AL",2032,"Land-based Wind",0
"AL",2032,"Nuclear",0.361193774159443
"AL",2032,"Imports",0
"AL",2032,"NG-CT",0.000488139015844881
"AL",2032,"Oil-Gas-Steam",0
"AL",2032,"Coal",0.133434163501876
"AL",2032,"Geothermal",0
"AL",2032,"Hydro",0.0768214356262242
"AL",2032,"NG-CC",0.35791948109586
"AL",2034,"Utility PV",0.0479612574624468
"AL",2034,"Offshore Wind",0
"AL",2034,"Biopower",0.0191939451569318
"AL",2034,"Land-based Wind",7.49863347514406e-07
"AL",2034,"NG-CC",0.449883817848016
"AL",2034,"Imports",0
"AL",2034,"CSP",0
"AL",2034,"Oil-Gas-Steam",0
"AL",2034,"Rooftop PV",0.00231100333349183
"AL",2034,"NG-CT",0.000473422693332522
"AL",2034,"Hydro",0.0747436334771666
"AL",2034,"Geothermal",0
"AL",2034,"Nuclear",0.274192289122637
"AL",2034,"Coal",0.13123988104263
"AL",2036,"Land-based Wind",0.00017227168256272
"AL",2036,"Offshore Wind",0
"AL",2036,"Imports",0
"AL",2036,"NG-CT",0
"AL",2036,"Utility PV",0.0462202531147258
"AL",2036,"Hydro",0.07223370806643
"AL",2036,"CSP",0
"AL",2036,"Biopower",0.018549403696469
"AL",2036,"Geothermal",0
"AL",2036,"Nuclear",0.191234607818873
"AL",2036,"Oil-Gas-Steam",0
"AL",2036,"Rooftop PV",0.00341677083986675
"AL",2036,"Coal",0.109574859515901
"AL",2036,"NG-CC",0.558598125265171
"AL",2038,"Offshore Wind",0
"AL",2038,"NG-CT",0
"AL",2038,"Imports",0
"AL",2038,"Rooftop PV",0.0042086616265178
"AL",2038,"NG-CC",0.720304869779841
"AL",2038,"Biopower",0.0182086897221918
"AL",2038,"Geothermal",0
"AL",2038,"Hydro",0.0709069250520098
"AL",2038,"Nuclear",0.0579190568211525
"AL",2038,"CSP",0
"AL",2038,"Oil-Gas-Steam",0
"AL",2038,"Land-based Wind",0.000169628390605107
"AL",2038,"Coal",0.0644377693686915
"AL",2038,"Utility PV",0.0638443992389905
"AL",2040,"Imports",0
"AL",2040,"Rooftop PV",0.00453978257949628
"AL",2040,"Land-based Wind",0.000158435461003587
"AL",2040,"Geothermal",0
"AL",2040,"NG-CT",0
"AL",2040,"Biopower",0.0138518672516419
"AL",2040,"Utility PV",0.05944994186224
"AL",2040,"Offshore Wind",0
"AL",2040,"Hydro",0.0663932376264678
"AL",2040,"Oil-Gas-Steam",0
"AL",2040,"NG-CC",0.758356646128892
"AL",2040,"CSP",0
"AL",2040,"Nuclear",0.0541478736823894
"AL",2040,"Coal",0.0431022154078686
"AL",2042,"NG-CT",0
"AL",2042,"Hydro",0.0662678709062303
"AL",2042,"CSP",0
"AL",2042,"Land-based Wind",0.00165448486544665
"AL",2042,"Biopower",0.0099076532837836
"AL",2042,"Imports",0
"AL",2042,"Utility PV",0.085272600624071
"AL",2042,"NG-CC",0.786672165776985
"AL",2042,"Oil-Gas-Steam",0
"AL",2042,"Rooftop PV",0.00477631021612481
"AL",2042,"Nuclear",0
"AL",2042,"Geothermal",0
"AL",2042,"Coal",0.0454489143273586
"AL",2042,"Offshore Wind",0
"AL",2044,"Imports",0
"AL",2044,"Geothermal",0
"AL",2044,"CSP",0
"AL",2044,"Offshore Wind",0
"AL",2044,"NG-CT",0
"AL",2044,"Hydro",0.0655700313684413
"AL",2044,"Oil-Gas-Steam",0
"AL",2044,"Land-based Wind",0.00348631344728092
"AL",2044,"Rooftop PV",0.00500556774043606
"AL",2044,"Utility PV",0.0842106091812135
"AL",2044,"NG-CC",0.780579222040643
"AL",2044,"Nuclear",0
"AL",2044,"Biopower",0.0098033198852063
