"time","type","value"
2010,"consumption",1505.57098696927
2010,"withdrawal",44125.5773039761
2012,"consumption",1358.16495191016
2012,"withdrawal",36414.8610917691
2014,"consumption",1419.40542411958
2014,"withdrawal",38046.2703294142
2016,"consumption",1228.32278099489
2016,"withdrawal",31433.4221390472
2018,"consumption",1196.93257590584
2018,"withdrawal",29865.4823159369
2020,"consumption",1175.40069831228
2020,"withdrawal",28643.610673496
2022,"consumption",1134.73550678531
2022,"withdrawal",26709.5718358955
2024,"consumption",1162.95365844491
2024,"withdrawal",26132.119296481
2026,"consumption",1156.36803799631
2026,"withdrawal",25074.6590599212
2028,"consumption",1121.02820961205
2028,"withdrawal",24231.9197744124
2030,"consumption",1086.36294323577
2030,"withdrawal",22532.3806857424
2032,"consumption",1053.73723426747
2032,"withdrawal",21099.9912441893
2034,"consumption",1012.48506085301
2034,"withdrawal",17149.293797207
2036,"consumption",937.948342356835
2036,"withdrawal",12747.1980898622
2038,"consumption",858.05186279777
2038,"withdrawal",9255.24097240864
2040,"consumption",807.537239571678
2040,"withdrawal",7331.39106055041
2042,"consumption",743.81806406879
2042,"withdrawal",6063.47695731004
2044,"consumption",692.889728589237
2044,"withdrawal",4494.50449246474
2046,"consumption",615.102508503581
2046,"withdrawal",3117.74512656955
2048,"consumption",575.801267027908
2048,"withdrawal",2563.53148831336
2050,"consumption",529.990975520033
2050,"withdrawal",2167.35406677075
