"gid","time","value","type"
"AL",2010,1777.88569239798,"withdrawal"
"AL",2012,1308.86072031302,"withdrawal"
"AL",2014,1612.98491103958,"withdrawal"
"AL",2016,1404.19604385883,"withdrawal"
"AL",2018,1371.22686940869,"withdrawal"
"AL",2020,1416.59505109968,"withdrawal"
"AL",2022,1412.88134583771,"withdrawal"
"AL",2024,1411.05788852726,"withdrawal"
"AL",2026,1414.75879756265,"withdrawal"
"AL",2028,1415.12168396338,"withdrawal"
"AL",2030,1413.58976307885,"withdrawal"
"AL",2032,1414.64480991477,"withdrawal"
"AL",2034,1031.92370056436,"withdrawal"
"AL",2036,646.663483738819,"withdrawal"
"AL",2038,67.6098766554527,"withdrawal"
"AL",2040,67.8230126306937,"withdrawal"
"AL",2042,59.8499500325478,"withdrawal"
"AL",2044,60.759134990476,"withdrawal"
"AL",2046,62.2283380771952,"withdrawal"
"AL",2048,62.5300731315481,"withdrawal"
"AL",2050,62.5556817341542,"withdrawal"
"AR",2010,74.195548922277,"withdrawal"
"AR",2012,50.2248114723475,"withdrawal"
"AR",2014,71.5357279857399,"withdrawal"
"AR",2016,36.2461000665214,"withdrawal"
"AR",2018,35.2414097643363,"withdrawal"
"AR",2020,41.4964833910099,"withdrawal"
"AR",2022,40.2065233517794,"withdrawal"
"AR",2024,40.8900794647243,"withdrawal"
"AR",2026,39.6836934121835,"withdrawal"
"AR",2028,38.6218725372018,"withdrawal"
"AR",2030,38.5227516522658,"withdrawal"
"AR",2032,37.281466392769,"withdrawal"
"AR",2034,31.2039151040319,"withdrawal"
"AR",2036,29.3536678693931,"withdrawal"
"AR",2038,30.7445609577249,"withdrawal"
"AR",2040,21.5854771644505,"withdrawal"
"AR",2042,20.417741610944,"withdrawal"
"AR",2044,19.1254376356316,"withdrawal"
"AR",2046,18.0791701774558,"withdrawal"
"AR",2048,17.7155417239305,"withdrawal"
"AR",2050,16.5800992257715,"withdrawal"
"AZ",2010,112.432427834152,"withdrawal"
"AZ",2012,113.973790427916,"withdrawal"
"AZ",2014,113.927006541336,"withdrawal"
"AZ",2016,88.174751874789,"withdrawal"
"AZ",2018,73.2470296369204,"withdrawal"
"AZ",2020,59.567392596068,"withdrawal"
"AZ",2022,59.594604489854,"withdrawal"
"AZ",2024,59.3710822473298,"withdrawal"
"AZ",2026,61.0166477069669,"withdrawal"
"AZ",2028,59.8047077222105,"withdrawal"
"AZ",2030,60.66406455624,"withdrawal"
"AZ",2032,59.8353618852605,"withdrawal"
"AZ",2034,61.2902943067591,"withdrawal"
"AZ",2036,62.0749093735032,"withdrawal"
"AZ",2038,61.9773752879638,"withdrawal"
"AZ",2040,62.1257251761587,"withdrawal"
"AZ",2042,61.4761631550194,"withdrawal"
"AZ",2044,55.7324906715015,"withdrawal"
"AZ",2046,28.566077734012,"withdrawal"
"AZ",2048,17.7393947940785,"withdrawal"
"AZ",2050,14.8668125728234,"withdrawal"
"CA",2010,1826.27020748746,"withdrawal"
"CA",2012,1805.40356353772,"withdrawal"
"CA",2014,1069.82893344415,"withdrawal"
"CA",2016,1067.84631501501,"withdrawal"
"CA",2018,1051.27332755895,"withdrawal"
"CA",2020,1052.0456648908,"withdrawal"
"CA",2022,1051.14431855841,"withdrawal"
"CA",2024,636.769650534797,"withdrawal"
"CA",2026,192.29785462188,"withdrawal"
"CA",2028,185.764878111762,"withdrawal"
"CA",2030,167.98519103845,"withdrawal"
"CA",2032,164.898360491817,"withdrawal"
"CA",2034,158.036320800845,"withdrawal"
"CA",2036,145.421746497201,"withdrawal"
"CA",2038,142.349113838438,"withdrawal"
"CA",2040,117.938397448786,"withdrawal"
"CA",2042,102.713586457819,"withdrawal"
"CA",2044,103.127277080038,"withdrawal"
"CA",2046,106.86542049622,"withdrawal"
"CA",2048,99.7618204672169,"withdrawal"
"CA",2050,62.2403819079268,"withdrawal"
"CO",2010,78.1191748138446,"withdrawal"
"CO",2012,74.3782910816556,"withdrawal"
"CO",2014,74.6330461693972,"withdrawal"
"CO",2016,51.1279797381583,"withdrawal"
"CO",2018,51.948792491199,"withdrawal"
"CO",2020,45.9903333209078,"withdrawal"
"CO",2022,20.9520778823276,"withdrawal"
"CO",2024,20.8860440961679,"withdrawal"
"CO",2026,20.7923291629708,"withdrawal"
"CO",2028,20.8763772117507,"withdrawal"
"CO",2030,19.6150571473997,"withdrawal"
"CO",2032,19.5349889177009,"withdrawal"
"CO",2034,19.3028891022666,"withdrawal"
"CO",2036,18.2247142087343,"withdrawal"
"CO",2038,18.0861543113206,"withdrawal"
"CO",2040,17.2816488472723,"withdrawal"
"CO",2042,14.9396228154669,"withdrawal"
"CO",2044,11.9149803444992,"withdrawal"
"CO",2046,8.17343186411372,"withdrawal"
"CO",2048,8.97139065777101,"withdrawal"
"CO",2050,4.66717924795848,"withdrawal"
"CT",2010,771.75470615105,"withdrawal"
"CT",2012,738.126300718832,"withdrawal"
"CT",2014,845.826867798944,"withdrawal"
"CT",2016,773.091493058188,"withdrawal"
"CT",2018,755.41712235253,"withdrawal"
"CT",2020,756.402196838402,"withdrawal"
"CT",2022,748.669802264115,"withdrawal"
"CT",2024,758.834049525929,"withdrawal"
"CT",2026,443.35562699495,"withdrawal"
"CT",2028,438.515766664857,"withdrawal"
"CT",2030,436.285876684674,"withdrawal"
"CT",2032,435.203376471643,"withdrawal"
"CT",2034,434.975587842339,"withdrawal"
"CT",2036,5.14288287114645,"withdrawal"
"CT",2038,3.98076415952415,"withdrawal"
"CT",2040,3.82440923971673,"withdrawal"
"CT",2042,3.50824675306345,"withdrawal"
"CT",2044,3.42093657279022,"withdrawal"
"CT",2046,3.28809804680247,"withdrawal"
"CT",2048,2.77508524676541,"withdrawal"
"CT",2050,2.1056917241164,"withdrawal"
"DE",2010,65.8356854091297,"withdrawal"
"DE",2012,44.6829532556568,"withdrawal"
"DE",2014,3.22277127802759,"withdrawal"
"DE",2016,4.1985506135755,"withdrawal"
"DE",2018,3.61589079830817,"withdrawal"
"DE",2020,3.5775155436174,"withdrawal"
"DE",2022,3.68828813665344,"withdrawal"
"DE",2024,3.63553626833274,"withdrawal"
"DE",2026,3.55832627075494,"withdrawal"
"DE",2028,3.74520414833192,"withdrawal"
"DE",2030,2.63578457405432,"withdrawal"
"DE",2032,2.86890051426956,"withdrawal"
"DE",2034,2.77477060539089,"withdrawal"
"DE",2036,3.40398244393091,"withdrawal"
"DE",2038,3.27865932930408,"withdrawal"
"DE",2040,3.22295459297124,"withdrawal"
"DE",2042,3.23047062590411,"withdrawal"
"DE",2044,3.23462723073567,"withdrawal"
"DE",2046,0.180947714695654,"withdrawal"
"DE",2048,0.180949733390564,"withdrawal"
"DE",2050,0.114176147537376,"withdrawal"
"FL",2010,2258.1770766635,"withdrawal"
"FL",2012,1901.89653155354,"withdrawal"
"FL",2014,1969.28422220445,"withdrawal"
"FL",2016,1935.99340230395,"withdrawal"
"FL",2018,1693.42516102669,"withdrawal"
"FL",2020,1669.03738138039,"withdrawal"
"FL",2022,1743.63177217723,"withdrawal"
"FL",2024,1778.39452217504,"withdrawal"
"FL",2026,1895.00349794281,"withdrawal"
"FL",2028,1879.24587643776,"withdrawal"
"FL",2030,1764.61127491998,"withdrawal"
"FL",2032,1709.8338786828,"withdrawal"
"FL",2034,1641.27528730961,"withdrawal"
"FL",2036,1196.89842508388,"withdrawal"
"FL",2038,1041.27611760788,"withdrawal"
