"time","type","value"
2010,"comp_p",49.130210466603
2012,"comp_p",34.0051085690454
2014,"comp_p",44.486805301671
2016,"comp_p",29.3244636337148
2018,"comp_p",32.039723747196
2020,"comp_p",35.924078581693
2022,"comp_p",35.3766808432948
2024,"comp_p",36.4791013824233
2026,"comp_p",37.5149507483997
2028,"comp_p",37.3086173823481
2030,"comp_p",37.5791037773749
2032,"comp_p",37.6100062757127
2034,"comp_p",37.3805568256485
2036,"comp_p",37.6749794726831
2038,"comp_p",37.643598436993
2040,"comp_p",38.1523024811658
2042,"comp_p",38.2079564832546
2044,"comp_p",38.6409894295577
2046,"comp_p",38.9602002634054
2048,"comp_p",40.2723100833354
2050,"comp_p",40.4742458251631
