"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.12030841250836
2010,"USA","Coal Usage (Quads)",19.5801790921485
2010,"USA","Coal Price (2016$/MMBtu)",2.5090000259545
2010,"USA","Gas Price (2016$/MMBtu)",5.58851275749779
2012,"USA","Gas Usage (Quads)",9.09476658964388
2012,"USA","Coal Usage (Quads)",14.7421612653187
2012,"USA","Coal Price (2016$/MMBtu)",2.47773313036099
2012,"USA","Gas Price (2016$/MMBtu)",3.63689117614281
2014,"USA","Gas Usage (Quads)",7.93379615285908
2014,"USA","Coal Usage (Quads)",16.891661336955
2014,"USA","Coal Price (2016$/MMBtu)",2.41461986513116
2014,"USA","Gas Price (2016$/MMBtu)",5.04340479331472
2016,"USA","Gas Usage (Quads)",10.7956156306571
2016,"USA","Coal Usage (Quads)",11.3967689778028
2016,"USA","Coal Price (2016$/MMBtu)",2.1540041874171
2016,"USA","Gas Price (2016$/MMBtu)",2.98253222442591
2018,"USA","Gas Usage (Quads)",9.65508088943661
2018,"USA","Coal Usage (Quads)",11.1964120150774
2018,"USA","Coal Price (2016$/MMBtu)",2.13716516640631
2018,"USA","Gas Price (2016$/MMBtu)",3.51732234290432
2020,"USA","Gas Usage (Quads)",9.552707595596
2020,"USA","Coal Usage (Quads)",11.134791967629
2020,"USA","Coal Price (2016$/MMBtu)",2.22786532004666
2020,"USA","Gas Price (2016$/MMBtu)",4.05300983370671
2022,"USA","Gas Usage (Quads)",9.55402453225949
2022,"USA","Coal Usage (Quads)",10.7208560177913
2022,"USA","Coal Price (2016$/MMBtu)",2.22787704900286
2022,"USA","Gas Price (2016$/MMBtu)",4.00901566522415
2024,"USA","Gas Usage (Quads)",9.12970935446021
2024,"USA","Coal Usage (Quads)",11.4740165002719
2024,"USA","Coal Price (2016$/MMBtu)",2.23829744178168
2024,"USA","Gas Price (2016$/MMBtu)",4.15513870450262
2026,"USA","Gas Usage (Quads)",8.82128136010695
2026,"USA","Coal Usage (Quads)",11.6317788119553
2026,"USA","Coal Price (2016$/MMBtu)",2.26830041698561
2026,"USA","Gas Price (2016$/MMBtu)",4.24190028024115
2028,"USA","Gas Usage (Quads)",8.8196719109084
2028,"USA","Coal Usage (Quads)",11.2113710840756
2028,"USA","Coal Price (2016$/MMBtu)",2.26656728451178
2028,"USA","Gas Price (2016$/MMBtu)",4.23680466156489
2030,"USA","Gas Usage (Quads)",8.81811266904448
2030,"USA","Coal Usage (Quads)",10.3942574708339
2030,"USA","Coal Price (2016$/MMBtu)",2.28423131774442
2030,"USA","Gas Price (2016$/MMBtu)",4.27033610200614
2032,"USA","Gas Usage (Quads)",9.00772285351416
2032,"USA","Coal Usage (Quads)",10.2609092643464
2032,"USA","Coal Price (2016$/MMBtu)",2.28668124375872
2032,"USA","Gas Price (2016$/MMBtu)",4.30924238357303
2034,"USA","Gas Usage (Quads)",9.30876228989524
2034,"USA","Coal Usage (Quads)",9.71326173991527
2034,"USA","Coal Price (2016$/MMBtu)",2.2940349871908
2034,"USA","Gas Price (2016$/MMBtu)",4.34989642825601
2036,"USA","Gas Usage (Quads)",9.3952293695222
2036,"USA","Coal Usage (Quads)",9.37163853533577
2036,"USA","Coal Price (2016$/MMBtu)",2.30775032712681
2036,"USA","Gas Price (2016$/MMBtu)",4.44441936369115
2038,"USA","Gas Usage (Quads)",9.50179160732407
2038,"USA","Coal Usage (Quads)",8.9065928280475
2038,"USA","Coal Price (2016$/MMBtu)",2.32916408914383
2038,"USA","Gas Price (2016$/MMBtu)",4.51968673017647
2040,"USA","Gas Usage (Quads)",9.76089653884062
2040,"USA","Coal Usage (Quads)",8.29999890580126
2040,"USA","Coal Price (2016$/MMBtu)",2.35010403581105
2040,"USA","Gas Price (2016$/MMBtu)",4.61744936964074
2042,"USA","Gas Usage (Quads)",9.98185429067193
2042,"USA","Coal Usage (Quads)",7.88579252026288
2042,"USA","Coal Price (2016$/MMBtu)",2.36634749037946
2042,"USA","Gas Price (2016$/MMBtu)",4.69859637349399
2044,"USA","Gas Usage (Quads)",9.98266167610637
2044,"USA","Coal Usage (Quads)",7.24464309685951
2044,"USA","Coal Price (2016$/MMBtu)",2.36882095608994
2044,"USA","Gas Price (2016$/MMBtu)",4.79037123164568
2046,"USA","Gas Usage (Quads)",10.3323019415868
2046,"USA","Coal Usage (Quads)",6.59325045641796
2046,"USA","Coal Price (2016$/MMBtu)",2.38639236326383
2046,"USA","Gas Price (2016$/MMBtu)",4.92317862498634
2048,"USA","Gas Usage (Quads)",10.3732034826403
2048,"USA","Coal Usage (Quads)",5.89018057882354
2048,"USA","Coal Price (2016$/MMBtu)",2.39258310680832
2048,"USA","Gas Price (2016$/MMBtu)",5.03805612426696
2050,"USA","Gas Usage (Quads)",10.1018352131899
2050,"USA","Coal Usage (Quads)",5.0934577109437
2050,"USA","Coal Price (2016$/MMBtu)",2.38032912794141
2050,"USA","Gas Price (2016$/MMBtu)",5.08073210430155
