"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.826902140491
2014,"comp_p",43.7338977805611
2016,"comp_p",29.0205789002266
2018,"comp_p",31.8396697672155
2020,"comp_p",35.7168521693668
2022,"comp_p",35.1789976528857
2024,"comp_p",36.4373231777684
2026,"comp_p",37.2547955846693
2028,"comp_p",37.0716720348945
2030,"comp_p",36.9462800342659
2032,"comp_p",36.877046380615
2034,"comp_p",36.5089896591116
2036,"comp_p",36.5057375929887
2038,"comp_p",36.6686316292063
2040,"comp_p",37.0638708749334
2042,"comp_p",37.1533690207966
2044,"comp_p",37.4198384656328
2046,"comp_p",37.5323173729153
2048,"comp_p",38.4374452846665
2050,"comp_p",38.355593222583
