"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.12030841250836
2010,"USA","Coal Usage (Quads)",19.5801790921485
2010,"USA","Coal Price (2016$/MMBtu)",2.5090000259545
2010,"USA","Gas Price (2016$/MMBtu)",5.58851275749779
2012,"USA","Gas Usage (Quads)",9.09476658964388
2012,"USA","Coal Usage (Quads)",14.7421612653187
2012,"USA","Coal Price (2016$/MMBtu)",2.47773313036099
2012,"USA","Gas Price (2016$/MMBtu)",3.63689117614281
2014,"USA","Gas Usage (Quads)",7.93379615285908
2014,"USA","Coal Usage (Quads)",16.891661336955
2014,"USA","Coal Price (2016$/MMBtu)",2.41461986513116
2014,"USA","Gas Price (2016$/MMBtu)",5.04340479331472
2016,"USA","Gas Usage (Quads)",10.7956156306571
2016,"USA","Coal Usage (Quads)",11.3967689778028
2016,"USA","Coal Price (2016$/MMBtu)",2.1540041874171
2016,"USA","Gas Price (2016$/MMBtu)",2.98253222442591
2018,"USA","Gas Usage (Quads)",9.65508088943187
2018,"USA","Coal Usage (Quads)",11.196412015067
2018,"USA","Coal Price (2016$/MMBtu)",2.13716516640146
2018,"USA","Gas Price (2016$/MMBtu)",3.51732234290982
2020,"USA","Gas Usage (Quads)",9.55270735246251
2020,"USA","Coal Usage (Quads)",11.1347922400307
2020,"USA","Coal Price (2016$/MMBtu)",2.22786531214731
2020,"USA","Gas Price (2016$/MMBtu)",4.05300980330557
2022,"USA","Gas Usage (Quads)",9.55402408077708
2022,"USA","Coal Usage (Quads)",10.7205959365466
2022,"USA","Coal Price (2016$/MMBtu)",2.22787300590269
2022,"USA","Gas Price (2016$/MMBtu)",4.00901779353249
2024,"USA","Gas Usage (Quads)",9.12971120971685
2024,"USA","Coal Usage (Quads)",11.473757812837
2024,"USA","Coal Price (2016$/MMBtu)",2.23831577269865
2024,"USA","Gas Price (2016$/MMBtu)",4.15512585649296
2026,"USA","Gas Usage (Quads)",8.82064235836648
2026,"USA","Coal Usage (Quads)",11.6319382272916
2026,"USA","Coal Price (2016$/MMBtu)",2.26829899525145
2026,"USA","Gas Price (2016$/MMBtu)",4.24177319037844
2028,"USA","Gas Usage (Quads)",8.81904375566074
2028,"USA","Coal Usage (Quads)",11.2180309097078
2028,"USA","Coal Price (2016$/MMBtu)",2.26663049441529
2028,"USA","Gas Price (2016$/MMBtu)",4.23717989271822
2030,"USA","Gas Usage (Quads)",8.82091511453478
2030,"USA","Coal Usage (Quads)",10.3775582364673
2030,"USA","Coal Price (2016$/MMBtu)",2.28447427592082
2030,"USA","Gas Price (2016$/MMBtu)",4.27110052654472
2032,"USA","Gas Usage (Quads)",9.10038659925741
2032,"USA","Coal Usage (Quads)",10.177551016622
2032,"USA","Coal Price (2016$/MMBtu)",2.28583740821632
2032,"USA","Gas Price (2016$/MMBtu)",4.327975088779
2034,"USA","Gas Usage (Quads)",9.42808306931083
2034,"USA","Coal Usage (Quads)",9.66458598249994
2034,"USA","Coal Price (2016$/MMBtu)",2.29415817239718
2034,"USA","Gas Price (2016$/MMBtu)",4.37436263163379
2036,"USA","Gas Usage (Quads)",9.53278035625914
2036,"USA","Coal Usage (Quads)",9.20560431524657
2036,"USA","Coal Price (2016$/MMBtu)",2.30303822697853
2036,"USA","Gas Price (2016$/MMBtu)",4.47381734476805
2038,"USA","Gas Usage (Quads)",9.85030408095033
2038,"USA","Coal Usage (Quads)",8.72845019151461
2038,"USA","Coal Price (2016$/MMBtu)",2.32423018706935
2038,"USA","Gas Price (2016$/MMBtu)",4.58768357102942
2040,"USA","Gas Usage (Quads)",10.028354348369
2040,"USA","Coal Usage (Quads)",8.31349172039554
2040,"USA","Coal Price (2016$/MMBtu)",2.34738478663883
2040,"USA","Gas Price (2016$/MMBtu)",4.6709243901234
2042,"USA","Gas Usage (Quads)",10.1161895742558
2042,"USA","Coal Usage (Quads)",7.85296964586245
2042,"USA","Coal Price (2016$/MMBtu)",2.36354113830286
2042,"USA","Gas Price (2016$/MMBtu)",4.72085376949596
2044,"USA","Gas Usage (Quads)",10.171562654208
2044,"USA","Coal Usage (Quads)",7.32478408512967
2044,"USA","Coal Price (2016$/MMBtu)",2.36793818781639
2044,"USA","Gas Price (2016$/MMBtu)",4.82100478637922
2046,"USA","Gas Usage (Quads)",10.4969264910508
2046,"USA","Coal Usage (Quads)",6.39939024825455
2046,"USA","Coal Price (2016$/MMBtu)",2.3823434179717
2046,"USA","Gas Price (2016$/MMBtu)",4.9440093799336
2048,"USA","Gas Usage (Quads)",10.5179333728883
2048,"USA","Coal Usage (Quads)",5.62602089555739
2048,"USA","Coal Price (2016$/MMBtu)",2.38473023107186
2048,"USA","Gas Price (2016$/MMBtu)",5.05489819620068
2050,"USA","Gas Usage (Quads)",10.4630214988207
2050,"USA","Coal Usage (Quads)",4.98678784285073
2050,"USA","Coal Price (2016$/MMBtu)",2.38195171148879
2050,"USA","Gas Price (2016$/MMBtu)",5.15988151900419
