"time","tech","value"
2010,"Nuclear",0.199901311390912
2010,"Coal",0.458271624481349
2010,"Oil-Gas-Steam",0.00309675689571129
2010,"NG-CC",0.222441003668864
2010,"NG-CT",0.00153735735980325
2010,"Hydro",0.0668162920499461
2010,"Imports",0.00643906275603243
2010,"Geothermal",0.00463948471690072
2010,"Biopower",0.00977166219925267
2010,"Land-based Wind",0.026216872276915
2010,"Offshore Wind",0
2010,"CSP",0.000313004713165202
2010,"Utility PV",0.000375295761223825
2010,"Rooftop PV",0.000180271729923575
2012,"Nuclear",0.204634965036914
2012,"Coal",0.355971263100075
2012,"Oil-Gas-Steam",0.00154830333291702
2012,"NG-CC",0.295607193844969
2012,"NG-CT",0.00207322501602685
2012,"Hydro",0.0758134062591793
2012,"Imports",0.0119678068893235
2012,"Geothermal",0.00499535231432637
2012,"Biopower",0.00946984973778321
2012,"Land-based Wind",0.0359084028276219
2012,"Offshore Wind",0
2012,"CSP",0.000332035624788147
2012,"Utility PV",0.0010688444047941
2012,"Rooftop PV",0.000609351611281766
2014,"Nuclear",0.195288118227118
2014,"Coal",0.401186429743605
2014,"Oil-Gas-Steam",0.00146664179379993
2014,"NG-CC",0.25792411957736
2014,"NG-CT",0.00126322619487052
2014,"Hydro",0.0665868702905254
2014,"Imports",0.0116444344166183
2014,"Geothermal",0.00509014142193993
2014,"Biopower",0.0103448596072177
2014,"Land-based Wind",0.0433871899229688
2014,"Offshore Wind",0
2014,"CSP",0.000838684895391637
2014,"Utility PV",0.00376267483291258
2014,"Rooftop PV",0.00121660907567272
2016,"Nuclear",0.199116279852956
2016,"Coal",0.277478416516153
2016,"Oil-Gas-Steam",0.000941238552551247
2016,"NG-CC",0.354655596085175
2016,"NG-CT",0.00193877735998729
2016,"Hydro",0.0688666460358435
2016,"Imports",0.0123234015490117
2016,"Geothermal",0.00523923030737999
2016,"Biopower",0.00920253035444738
2016,"Land-based Wind",0.0571854483117902
2016,"Offshore Wind",2.12765088530931e-05
2016,"CSP",0.00137390279897051
2016,"Utility PV",0.00936098459680095
2016,"Rooftop PV",0.00229627117007987
2018,"Nuclear",0.197357128902369
2018,"Coal",0.27097491468701
2018,"Oil-Gas-Steam",0.000822922975128118
2018,"NG-CC",0.324705115222073
2018,"NG-CT",0.00126811699675622
2018,"Hydro",0.0705164941177869
2018,"Imports",0.00961234881682516
2018,"Geothermal",0.00535974201895578
2018,"Biopower",0.0103787424030317
2018,"Land-based Wind",0.0788063891005041
2018,"Offshore Wind",2.78258437629413e-05
2018,"CSP",0.00136875067010591
2018,"Utility PV",0.0222956811867394
2018,"Rooftop PV",0.00650582705895205
2020,"Nuclear",0.185773657906185
2020,"Coal",0.262390976927108
2020,"Oil-Gas-Steam",0.000661971198504089
2020,"NG-CC",0.316461834110873
2020,"NG-CT",0.0011717027961393
2020,"Hydro",0.070253203578373
2020,"Imports",0.00917825459645434
2020,"Geothermal",0.00522472373783877
2020,"Biopower",0.0104064031818607
2020,"Land-based Wind",0.101876879759729
2020,"Offshore Wind",0.000259368049559318
2020,"CSP",0.0013341434455957
2020,"Utility PV",0.0274193287598803
2020,"Rooftop PV",0.00758755195190044
2022,"Nuclear",0.178884867631398
2022,"Coal",0.250635197462972
2022,"Oil-Gas-Steam",9.59032642992363e-05
2022,"NG-CC",0.315104081308088
2022,"NG-CT",0.00106624604235332
2022,"Hydro",0.0696216639311425
2022,"Imports",0.0098439379263598
2022,"Geothermal",0.00517775619731102
2022,"Biopower",0.0103780710640163
2022,"Land-based Wind",0.109489358021733
2022,"Offshore Wind",0.00127719801498623
2022,"CSP",0.00132193111022974
2022,"Utility PV",0.0383458161047637
2022,"Rooftop PV",0.00875797192034648
2024,"Nuclear",0.174114455867766
2024,"Coal",0.263483443290162
2024,"Oil-Gas-Steam",6.39311291307822e-05
2024,"NG-CC",0.297450456525625
2024,"NG-CT",0.000987603103769788
2024,"Hydro",0.0686254265189087
2024,"Imports",0.0103405362905144
2024,"Geothermal",0.00510300366785785
2024,"Biopower",0.010257037028036
2024,"Land-based Wind",0.108210534702949
2024,"Offshore Wind",0.00229861795650088
2024,"CSP",0.0013026456233466
2024,"Utility PV",0.048061801892025
2024,"Rooftop PV",0.00970050640340805
2026,"Nuclear",0.169803400170019
2026,"Coal",0.264009756989087
2026,"Oil-Gas-Steam",0
2026,"NG-CC",0.284394629725308
2026,"NG-CT",0.00090923218115819
2026,"Hydro",0.0680931992116469
2026,"Imports",0.0118429125828226
2026,"Geothermal",0.00605942201049437
2026,"Biopower",0.0102650975761063
2026,"Land-based Wind",0.107008842331051
2026,"Offshore Wind",0.00396673308300342
2026,"CSP",0.00128622236587372
2026,"Utility PV",0.0614988047525069
2026,"Rooftop PV",0.0108617470209227
2028,"Nuclear",0.167281784807001
2028,"Coal",0.251329842175757
2028,"Oil-Gas-Steam",0
2028,"NG-CC",0.280631272560686
2028,"NG-CT",0.000850716044658324
2028,"Hydro",0.0672259549125905
2028,"Imports",0.0117061476889829
2028,"Geothermal",0.00599105608549199
2028,"Biopower",0.00997574683320509
2028,"Land-based Wind",0.10629319246175
2028,"Offshore Wind",0.00480913826638591
2028,"CSP",0.00126548822578014
2028,"Utility PV",0.0803631205081029
2028,"Rooftop PV",0.0122765394296091
2030,"Nuclear",0.16036450048714
2030,"Coal",0.230587041723303
2030,"Oil-Gas-Steam",0
2030,"NG-CC",0.282607950423738
2030,"NG-CT",0.00057020553743116
2030,"Hydro",0.0665174435870027
2030,"Imports",0.0115878872126721
2030,"Geothermal",0.00591928345381566
2030,"Biopower",0.00982455315881559
2030,"Land-based Wind",0.105072327066962
2030,"Offshore Wind",0.00563352963230291
2030,"CSP",0.00237243353873233
2030,"Utility PV",0.105015070297472
2030,"Rooftop PV",0.0139277738806123
2032,"Nuclear",0.150244339543478
2032,"Coal",0.223644400100286
2032,"Oil-Gas-Steam",0
2032,"NG-CC",0.2935101328959
2032,"NG-CT",0.000493643362103873
2032,"Hydro",0.0658836778655787
2032,"Imports",0.0115108714197883
2032,"Geothermal",0.00585318151242837
2032,"Biopower",0.00964158602638817
2032,"Land-based Wind",0.106255212890278
2032,"Offshore Wind",0.00557016531697006
2032,"CSP",0.00251324679816069
2032,"Utility PV",0.109311825029066
2032,"Rooftop PV",0.0155677172395734
2034,"Nuclear",0.146803461311787
2034,"Coal",0.209568811842362
2034,"Oil-Gas-Steam",0
2034,"NG-CC",0.304017111717821
2034,"NG-CT",0.000434819386762489
2034,"Hydro",0.0649955050955059
2034,"Imports",0.0112621091931549
2034,"Geothermal",0.00598133147883406
2034,"Biopower",0.00917190948090883
2034,"Land-based Wind",0.111826905703206
2034,"Offshore Wind",0.00549337929720397
2034,"CSP",0.003854780791898
2034,"Utility PV",0.109512699889987
2034,"Rooftop PV",0.0170771748105678
2036,"Nuclear",0.13725653235371
2036,"Coal",0.196439812821795
2036,"Oil-Gas-Steam",0
2036,"NG-CC",0.30688763069308
2036,"NG-CT",0.000291683487161229
2036,"Hydro",0.0639990006218406
2036,"Imports",0.0107708580732561
2036,"Geothermal",0.0059351831834668
2036,"Biopower",0.00859818601056335
2036,"Land-based Wind",0.124961744699577
2036,"Offshore Wind",0.00540453805033672
2036,"CSP",0.00552739200150192
2036,"Utility PV",0.115464558515139
2036,"Rooftop PV",0.0184628794885719
2038,"Nuclear",0.131379113095875
2038,"Coal",0.183368170742063
2038,"Oil-Gas-Steam",0
2038,"NG-CC",0.313659685546709
2038,"NG-CT",0.000282380368734959
2038,"Hydro",0.062947150800424
2038,"Imports",0.0104897775698156
2038,"Geothermal",0.00590538663695653
2038,"Biopower",0.00725574476014249
2038,"Land-based Wind",0.136586229595321
2038,"Offshore Wind",0.00530981544575694
2038,"CSP",0.00736320568234214
2038,"Utility PV",0.115489229205045
2038,"Rooftop PV",0.019964110550815
2040,"Nuclear",0.127771754196662
2040,"Coal",0.171865815618302
2040,"Oil-Gas-Steam",0
2040,"NG-CC",0.315963102943921
2040,"NG-CT",0.000239297957601079
2040,"Hydro",0.0619461424824562
2040,"Imports",0.0102440955055315
2040,"Geothermal",0.00581055919127838
2040,"Biopower",0.00561680741120486
2040,"Land-based Wind",0.145674757327622
2040,"Offshore Wind",0.0052236095960271
2040,"CSP",0.00994789439236602
2040,"Utility PV",0.118291182236566
2040,"Rooftop PV",0.0214049811404622
2042,"Nuclear",0.121847234220048
2042,"Coal",0.159673254095007
2042,"Oil-Gas-Steam",0
2042,"NG-CC",0.314372779517419
2042,"NG-CT",0.000205610227239464
2042,"Hydro",0.0612657939429834
2042,"Imports",0.0100758340673815
2042,"Geothermal",0.00568730671667919
2042,"Biopower",0.00467071505232455
2042,"Land-based Wind",0.150892073586132
2042,"Offshore Wind",0.00513691677326388
2042,"CSP",0.0135885974286871
2042,"Utility PV",0.13014981311802
2042,"Rooftop PV",0.0224340712548147
2044,"Nuclear",0.112391397534945
2044,"Coal",0.146211563260688
2044,"Oil-Gas-Steam",0
2044,"NG-CC",0.311564202318164
2044,"NG-CT",0.000210005064339292
2044,"Hydro",0.0601740067688137
2044,"Imports",0.00989502336952683
2044,"Geothermal",0.00558524807920269
2044,"Biopower",0.00428394985049552
2044,"Land-based Wind",0.167150131596038
2044,"Offshore Wind",0.00504471910264667
2044,"CSP",0.0184297789740299
2044,"Utility PV",0.135811194907256
2044,"Rooftop PV",0.023248779173853
2046,"Nuclear",0.0951099158546011
2046,"Coal",0.125308907569533
2046,"Oil-Gas-Steam",0
2046,"NG-CC",0.316082909269318
2046,"NG-CT",0.000247100495361054
2046,"Hydro",0.0590074107351893
2046,"Imports",0.00970254899191334
2046,"Geothermal",0.00540042504265477
2046,"Biopower",0.0040240177007895
2046,"Land-based Wind",0.184456400869823
2046,"Offshore Wind",0.00492504867915202
2046,"CSP",0.0254566451993874
2046,"Utility PV",0.146230972167788
2046,"Rooftop PV",0.0240476974244892
2048,"Nuclear",0.0810555347302391
2048,"Coal",0.107676143608256
2048,"Oil-Gas-Steam",0
2048,"NG-CC",0.310757668411997
2048,"NG-CT",0.000262918588669677
2048,"Hydro",0.0578479108907695
2048,"Imports",0.00950983347102892
2048,"Geothermal",0.00520697149832358
2048,"Biopower",0.00372494445566909
2048,"Land-based Wind",0.197142458029835
2048,"Offshore Wind",0.00482624325542417
2048,"CSP",0.0351730713077491
2048,"Utility PV",0.162330127530977
2048,"Rooftop PV",0.0244861742210629
2050,"Nuclear",0.0738586534515688
2050,"Coal",0.0932541642838892
2050,"Oil-Gas-Steam",0
2050,"NG-CC",0.30330513016279
