"time","tech","value"
2010,"Nuclear",0.199901311390912
2010,"Coal",0.458271624481349
2010,"Oil-Gas-Steam",0.00309675689571129
2010,"NG-CC",0.222441003668864
2010,"NG-CT",0.00153735735980325
2010,"Hydro",0.0668162920499461
2010,"Imports",0.00643906275603243
2010,"Geothermal",0.00463948471690072
2010,"Biopower",0.00977166219925267
2010,"Land-based Wind",0.026216872276915
2010,"Offshore Wind",0
2010,"CSP",0.000313004713165202
2010,"Utility PV",0.000375295761223825
2010,"Rooftop PV",0.000180271729923575
2012,"Nuclear",0.204634965036914
2012,"Coal",0.355971263100075
2012,"Oil-Gas-Steam",0.00154830333291702
2012,"NG-CC",0.295607193844969
2012,"NG-CT",0.00207322501602685
2012,"Hydro",0.0758134062591793
2012,"Imports",0.0119678068893235
2012,"Geothermal",0.00499535231432637
2012,"Biopower",0.00946984973778321
2012,"Land-based Wind",0.0359084028276219
2012,"Offshore Wind",0
2012,"CSP",0.000332035624788147
2012,"Utility PV",0.0010688444047941
2012,"Rooftop PV",0.000609351611281766
2014,"Nuclear",0.195288118227118
2014,"Coal",0.401186429743605
2014,"Oil-Gas-Steam",0.00146664179379993
2014,"NG-CC",0.25792411957736
2014,"NG-CT",0.00126322619487052
2014,"Hydro",0.0665868702905254
2014,"Imports",0.0116444344166183
2014,"Geothermal",0.00509014142193993
2014,"Biopower",0.0103448596072177
2014,"Land-based Wind",0.0433871899229688
2014,"Offshore Wind",0
2014,"CSP",0.000838684895391637
2014,"Utility PV",0.00376267483291258
2014,"Rooftop PV",0.00121660907567272
2016,"Nuclear",0.1991162798377
2016,"Coal",0.277478408765228
2016,"Oil-Gas-Steam",0.000941238552586614
2016,"NG-CC",0.354655603357979
2016,"NG-CT",0.00193877747588028
2016,"Hydro",0.0688666460307559
2016,"Imports",0.0123234015481012
2016,"Geothermal",0.00523923031191832
2016,"Biopower",0.00920253035411895
2016,"Land-based Wind",0.0571854484122587
2016,"Offshore Wind",2.12765088515213e-05
2016,"CSP",0.00137390279886901
2016,"Utility PV",0.0093609845959859
2016,"Rooftop PV",0.00229627144976658
2018,"Nuclear",0.197357129693054
2018,"Coal",0.270975117605667
2018,"Oil-Gas-Steam",0.000822924991385743
2018,"NG-CC",0.324705136236621
2018,"NG-CT",0.00126811730320841
2018,"Hydro",0.0705164945681404
2018,"Imports",0.00961234885533594
2018,"Geothermal",0.00535974204042897
2018,"Biopower",0.0103787424429832
2018,"Land-based Wind",0.0788063887137723
2018,"Offshore Wind",2.78258442291738e-05
2018,"CSP",0.00136875067642455
2018,"Utility PV",0.0222953226503935
2018,"Rooftop PV",0.00650595837835691
2020,"Nuclear",0.187932610785362
2020,"Coal",0.260217975138776
2020,"Oil-Gas-Steam",0.000591460010169395
2020,"NG-CC",0.316524384814759
2020,"NG-CT",0.00112190886002942
2020,"Hydro",0.0710690932814193
2020,"Imports",0.00928491896105104
2020,"Geothermal",0.00528544245421706
2020,"Biopower",0.0104764120672937
2020,"Land-based Wind",0.101257593967188
2020,"Offshore Wind",0.000262375188106025
2020,"CSP",0.00134961448240836
2020,"Utility PV",0.0269562775718891
2020,"Rooftop PV",0.00766993241733213
2022,"Nuclear",0.182249103520667
2022,"Coal",0.246973651712231
2022,"Oil-Gas-Steam",0.000246733775260404
2022,"NG-CC",0.315750149502257
2022,"NG-CT",0.0010986235238421
2022,"Hydro",0.0709304670932808
2022,"Imports",0.0100290700155191
2022,"Geothermal",0.00527513275831096
2022,"Biopower",0.0105323807734851
2022,"Land-based Wind",0.106904002409996
2022,"Offshore Wind",0.00130120141354456
2022,"CSP",0.00134667557545216
2022,"Utility PV",0.0384524786627523
2022,"Rooftop PV",0.0089103292634016
2024,"Nuclear",0.178363033114518
2024,"Coal",0.262057695218272
2024,"Oil-Gas-Steam",0.000125673728409568
2024,"NG-CC",0.299695914255593
2024,"NG-CT",0.00102316993812036
2024,"Hydro",0.07029028843614
2024,"Imports",0.0105928563347297
2024,"Geothermal",0.00522752236543122
2024,"Biopower",0.0104853827661816
2024,"Land-based Wind",0.10609519067239
2024,"Offshore Wind",0.00235468635898072
2024,"CSP",0.00133416951497791
2024,"Utility PV",0.0424501041810292
2024,"Rooftop PV",0.00990431311522613
2026,"Nuclear",0.17460576498018
2026,"Coal",0.264995123501764
2026,"Oil-Gas-Steam",1.36325071065059e-05
2026,"NG-CC",0.289988413838064
2026,"NG-CT",0.000941786247595467
2026,"Hydro",0.0697250767679546
2026,"Imports",0.0121778527935692
2026,"Geothermal",0.00539756438289294
2026,"Biopower",0.010529887196197
2026,"Land-based Wind",0.105338969338185
2026,"Offshore Wind",0.00407886191760712
2026,"CSP",0.00132283570518502
2026,"Utility PV",0.0497626125951504
2026,"Rooftop PV",0.0111216182285493
2028,"Nuclear",0.172638537290906
2028,"Coal",0.25637241889232
2028,"Oil-Gas-Steam",0
2028,"NG-CC",0.286793801560649
2028,"NG-CT",0.000912219278223761
2028,"Hydro",0.0690865865289115
2028,"Imports",0.0120810058110568
2028,"Geothermal",0.00614525427929768
2028,"Biopower",0.0102880826359567
2028,"Land-based Wind",0.105312561637327
2028,"Offshore Wind",0.00496280697645824
2028,"CSP",0.00130776478381139
2028,"Utility PV",0.0614798808952905
2028,"Rooftop PV",0.0126190794297918
2030,"Nuclear",0.166075608991112
2030,"Coal",0.24524821477241
2030,"Oil-Gas-Steam",0
2030,"NG-CC",0.285905773799026
2030,"NG-CT",0.00084403162163789
2030,"Hydro",0.0688427281624103
2030,"Imports",0.0120005700757891
2030,"Geothermal",0.00627529489979303
2030,"Biopower",0.01018460528333
2030,"Land-based Wind",0.105805301648137
2030,"Offshore Wind",0.00583377430648761
2030,"CSP",0.00128675136800153
2030,"Utility PV",0.0773165374293456
2030,"Rooftop PV",0.0143808076425206
2032,"Nuclear",0.156454363854854
2032,"Coal",0.237584360832761
2032,"Oil-Gas-Steam",0
2032,"NG-CC",0.285483387084031
2032,"NG-CT",0.000673144910919196
2032,"Hydro",0.0685336220561798
2032,"Imports",0.0119866483547411
2032,"Geothermal",0.00623948778683668
2032,"Biopower",0.0100392859858909
2032,"Land-based Wind",0.102635310593535
2032,"Offshore Wind",0.00580033027921696
2032,"CSP",0.00127454246212351
2032,"Utility PV",0.0971939861113224
2032,"Rooftop PV",0.0161015296875883
2034,"Nuclear",0.153673589958712
2034,"Coal",0.216257391742303
2034,"Oil-Gas-Steam",0
2034,"NG-CC",0.287932370901573
2034,"NG-CT",0.000514880764437426
2034,"Hydro",0.0680151299322994
2034,"Imports",0.0117891549337751
2034,"Geothermal",0.00618561351289669
2034,"Biopower",0.00958564235832263
2034,"Land-based Wind",0.11223708236651
2034,"Offshore Wind",0.00575021296555334
2034,"CSP",0.00125917572897485
2034,"Utility PV",0.109102083783297
2034,"Rooftop PV",0.0176976710513455
2036,"Nuclear",0.144481728223788
2036,"Coal",0.204826010694373
2036,"Oil-Gas-Steam",0
2036,"NG-CC",0.300356751618525
2036,"NG-CT",0.000429504652687317
2036,"Hydro",0.0673227868964668
2036,"Imports",0.0113378369844496
2036,"Geothermal",0.00638920620682513
2036,"Biopower",0.00903424472419203
2036,"Land-based Wind",0.120579794548737
2036,"Offshore Wind",0.00568860018172534
2036,"CSP",0.00124188262830135
2036,"Utility PV",0.109155580580694
2036,"Rooftop PV",0.0191560720592354
2038,"Nuclear",0.138896514687358
2038,"Coal",0.194203173301038
2038,"Oil-Gas-Steam",0
2038,"NG-CC",0.306437057887566
2038,"NG-CT",0.000353439752847056
2038,"Hydro",0.0665118692161196
2038,"Imports",0.0110899937589757
2038,"Geothermal",0.0063043620234526
2038,"Biopower",0.00766784818120889
2038,"Land-based Wind",0.128658166032558
2038,"Offshore Wind",0.0056128898375458
2038,"CSP",0.00122566763344315
2038,"Utility PV",0.112273285941831
2038,"Rooftop PV",0.0207657317460566
2040,"Nuclear",0.135609386456693
2040,"Coal",0.178864489640945
2040,"Oil-Gas-Steam",0
2040,"NG-CC",0.306472566998634
2040,"NG-CT",0.00020962468730516
2040,"Hydro",0.0657089663149775
2040,"Imports",0.0108724773721952
2040,"Geothermal",0.00630499066017988
2040,"Biopower",0.00593921750232692
2040,"Land-based Wind",0.135711179846295
2040,"Offshore Wind",0.00554421735017845
2040,"CSP",0.00121306694165829
2040,"Utility PV",0.125256843720323
2040,"Rooftop PV",0.0222929725082877
2042,"Nuclear",0.13000359020849
2042,"Coal",0.159725826468182
2042,"Oil-Gas-Steam",0
2042,"NG-CC",0.318851998951308
2042,"NG-CT",0.000152231374831497
2042,"Hydro",0.0653373254327023
2042,"Imports",0.0107503023067312
2042,"Geothermal",0.00681935715601101
2042,"Biopower",0.00495266039757094
2042,"Land-based Wind",0.14285478464886
2042,"Offshore Wind",0.00548162083093104
2042,"CSP",0.00119168887427871
2042,"Utility PV",0.130357246904317
2042,"Rooftop PV",0.0235213664457867
2044,"Nuclear",0.120642205555379
2044,"Coal",0.147286958486103
2044,"Oil-Gas-Steam",0
2044,"NG-CC",0.317837749506794
2044,"NG-CT",9.33364057325174e-05
2044,"Hydro",0.0645815341645892
2044,"Imports",0.0106214307278328
2044,"Geothermal",0.00673760863409108
2044,"Biopower",0.00457705034607599
2044,"Land-based Wind",0.162023300799341
2044,"Offshore Wind",0.00541547047247566
2044,"CSP",0.000930212928009859
2044,"Utility PV",0.134742820072863
2044,"Rooftop PV",0.0245103219007135
2046,"Nuclear",0.102871762091006
2046,"Coal",0.127166983607143
2046,"Oil-Gas-Steam",0
2046,"NG-CC",0.324403508433138
2046,"NG-CT",5.15119273173573e-05
2046,"Hydro",0.0638089447510572
2046,"Imports",0.0104943664664609
2046,"Geothermal",0.00667418313940117
2046,"Biopower",0.00434676825153511
2046,"Land-based Wind",0.185087786737546
2046,"Offshore Wind",0.00532566009760752
2046,"CSP",0.000807900153919371
2046,"Utility PV",0.143437199513099
2046,"Rooftop PV",0.0255234248307695
2048,"Nuclear",0.0882723532311193
2048,"Coal",0.111901071693194
2048,"Oil-Gas-Steam",0
2048,"NG-CC",0.327058479741185
2048,"NG-CT",7.32960301026825e-05
2048,"Hydro",0.0629736519226145
2048,"Imports",0.0103565460658248
2048,"Geothermal",0.00740024624974539
2048,"Biopower",0.00405199295810909
2048,"Land-based Wind",0.198185428720476
2048,"Offshore Wind",0.00525372827843949
2048,"CSP",0.000796961170278957
2048,"Utility PV",0.157530120646091
2048,"Rooftop PV",0.0261461232928193
2050,"Nuclear",0.0809997093779059
2050,"Coal",0.0992338810117522
2050,"Oil-Gas-Steam",0
