"time","tech","value"
2010,"Nuclear",797.901458986368
2010,"Coal",1829.18058536731
2010,"Oil-Gas-Steam",12.3606334947058
2010,"NG-CC",887.868119177569
2010,"NG-CT",6.13632632940401
2010,"Hydro",266.695683683918
2010,"Imports",25.70137
2010,"Geothermal",18.518395896468
2010,"Biopower",39.0033635660285
2010,"Land-based Wind",104.644039072375
2010,"Offshore Wind",0
2010,"CSP",1.24935107011748
2010,"Utility PV",1.49798434711771
2010,"Rooftop PV",0.719550438759934
2010,"Storage",-1.67676561236027
2010,"Curtailment",-0.0432213351784757
2012,"Nuclear",803.263675802331
2012,"Coal",1397.31147717686
2012,"Oil-Gas-Steam",6.0776310941367
2012,"NG-CC",1160.36143226397
2012,"NG-CT",8.13813195041551
2012,"Hydro",297.594086014862
2012,"Imports",46.97782
2012,"Geothermal",19.6085017103976
2012,"Biopower",37.172466143776
2012,"Land-based Wind",140.953016715903
2012,"Offshore Wind",0
2012,"CSP",1.30335574087516
2012,"Utility PV",4.19558742222174
2012,"Rooftop PV",2.39191779882763
2012,"Storage",-2.45017462207635
2012,"Curtailment",-0.329409237580233
2014,"Nuclear",777.666839744153
2014,"Coal",1597.58507480782
2014,"Oil-Gas-Steam",5.84038956991042
2014,"NG-CC",1027.09287583102
2014,"NG-CT",5.03035787207753
2014,"Hydro",265.158994092331
2014,"Imports",46.3699
2014,"Geothermal",20.2697134336008
2014,"Biopower",41.1947964442252
2014,"Land-based Wind",172.774356059565
2014,"Offshore Wind",0
2014,"CSP",3.33977017168986
2014,"Utility PV",14.9835405904877
2014,"Rooftop PV",4.84472144886016
2014,"Storage",-0.917153177646491
2014,"Curtailment",-0.221809310408219
2016,"Nuclear",784.838028614484
2016,"Coal",1093.71070761213
2016,"Oil-Gas-Steam",3.70999202410852
2016,"NG-CC",1397.91284169952
2016,"NG-CT",7.64189795697432
2016,"Hydro",271.445221616863
2016,"Imports",48.574
2016,"Geothermal",20.6509844037608
2016,"Biopower",36.2727537260074
2016,"Land-based Wind",225.402536818663
2016,"Offshore Wind",0.0838636262009195
2016,"CSP",5.41538424206797
2016,"Utility PV",36.8973180002788
2016,"Rooftop PV",9.05099853847964
2016,"Storage",-1.99368598845889
2016,"Curtailment",-2.88855920281536
2018,"Nuclear",780.776586546927
2018,"Coal",1072.02120183019
2018,"Oil-Gas-Steam",3.25562378596416
2018,"NG-CC",1284.58580796844
2018,"NG-CT",5.01687626324962
2018,"Hydro",278.974608162359
2018,"Imports",38.028
2018,"Geothermal",21.2040026200557
2018,"Biopower",41.0599764492184
2018,"Land-based Wind",311.770764368768
2018,"Offshore Wind",0.110083520716128
2018,"CSP",5.41499809322659
2018,"Utility PV",88.2038867408056
2018,"Rooftop PV",25.738619034287
2018,"Storage",-0.861447940267983
2018,"Curtailment",-6.62052584381255
2020,"Nuclear",753.94323294681
2020,"Coal",1043.93580564402
2020,"Oil-Gas-Steam",2.37280411506208
2020,"NG-CC",1269.82441736145
2020,"NG-CT",4.50084522035563
2020,"Hydro",285.113167572539
2020,"Imports",37.249
2020,"Geothermal",21.2040026200557
2020,"Biopower",42.0290015165033
2020,"Land-based Wind",406.222621167265
2020,"Offshore Wind",1.0525900573563
2020,"CSP",5.41434880219336
2020,"Utility PV",108.142503718916
2020,"Rooftop PV",30.770038361311
2020,"Storage",-0.574066035658043
2020,"Curtailment",-12.1315458310343
2022,"Nuclear",732.571225333932
2022,"Coal",992.738988367689
2022,"Oil-Gas-Steam",0.991774777390245
2022,"NG-CC",1269.19402867741
2022,"NG-CT",4.41604356616452
2022,"Hydro",285.113167572539
2022,"Imports",40.313
2022,"Geothermal",21.2040026200557
2022,"Biopower",42.3361154588099
2022,"Land-based Wind",429.712928764621
2022,"Offshore Wind",5.23032868481839
2022,"CSP",5.41311730690844
2022,"Utility PV",154.564158983119
2022,"Rooftop PV",35.8160929218437
2022,"Storage",-0.818167201564682
2022,"Curtailment",-13.8290896025832
2024,"Nuclear",723.480447733932
2024,"Coal",1062.96475989455
2024,"Oil-Gas-Steam",0.509760815963307
2024,"NG-CC",1215.63381404517
2024,"NG-CT",4.1502066432339
2024,"Hydro",285.113167572539
2024,"Imports",42.967
2024,"Geothermal",21.2040026200557
2024,"Biopower",42.5310631125464
2024,"Land-based Wind",430.345877785088
2024,"Offshore Wind",9.55113574556997
2024,"CSP",5.41169064684748
2024,"Utility PV",172.187139021821
2024,"Rooftop PV",40.1741143440873
2024,"Storage",-0.485859238493586
2024,"Curtailment",-14.5860147264588
2026,"Nuclear",714.389670133932
2026,"Coal",1084.21264834535
2026,"Oil-Gas-Steam",0.0557766363328311
2026,"NG-CC",1186.47129049807
2026,"NG-CT",3.85326547970952
2026,"Hydro",285.276231274359
2026,"Imports",49.825
2026,"Geothermal",22.083831192282
2026,"Biopower",43.0824414159099
2026,"Land-based Wind",430.988470319389
2026,"Offshore Wind",16.688434200165
2026,"CSP",5.41230791077137
2026,"Utility PV",203.600931509264
2026,"Rooftop PV",45.5034756644535
2026,"Storage",-0.623159408275063
2026,"Curtailment",-14.1592820700871
2028,"Nuclear",714.389670133932
2028,"Coal",1060.88600284712
2028,"Oil-Gas-Steam",0
2028,"NG-CC",1186.77169366958
2028,"NG-CT",3.77482362563097
2028,"Hydro",285.884858245194
2028,"Imports",49.992
2028,"Geothermal",25.4294681035151
2028,"Biopower",42.5727654783535
2028,"Land-based Wind",435.790335979707
2028,"Offshore Wind",20.5364230633871
2028,"CSP",5.41161705364496
2028,"Utility PV",254.407807908214
2028,"Rooftop PV",52.2185841742401
2028,"Storage",-0.911829178268418
2028,"Curtailment",-13.332688454771
2030,"Nuclear",693.152823157933
2030,"Coal",1023.59698378728
2030,"Oil-Gas-Steam",0
2030,"NG-CC",1193.29018553564
2030,"NG-CT",3.52275029986
2030,"Hydro",287.330160458557
2030,"Imports",50.087
2030,"Geothermal",26.1913137176748
2030,"Biopower",42.5076743525125
2030,"Land-based Wind",441.60153310898
2030,"Offshore Wind",24.3485310984138
2030,"CSP",5.370537846291
2030,"Utility PV",322.697454018158
2030,"Rooftop PV",60.0214413017013
2030,"Storage",-1.27386263641976
2030,"Curtailment",-14.1880089379735
2032,"Nuclear",656.743865236287
2032,"Coal",997.300858912152
2032,"Oil-Gas-Steam",0
2032,"NG-CC",1198.36518761632
2032,"NG-CT",2.82564052397631
2032,"Hydro",287.681562462356
2032,"Imports",50.316
2032,"Geothermal",26.1913137176748
2032,"Biopower",42.1416144627528
2032,"Land-based Wind",430.829213887942
2032,"Offshore Wind",24.3478752101412
2032,"CSP",5.35010927377722
2032,"Utility PV",407.988326715449
2032,"Rooftop PV",67.5889159157862
2032,"Storage",-1.91058057406145
2032,"Curtailment",-16.2479050465805
2034,"Nuclear",650.689409601522
2034,"Coal",915.683655158775
2034,"Oil-Gas-Steam",0
2034,"NG-CC",1219.17204171158
2034,"NG-CT",2.18012386329351
2034,"Hydro",287.991741141138
2034,"Imports",49.918
2034,"Geothermal",26.1913137176748
2034,"Biopower",40.5878197318361
2034,"Land-based Wind",475.237683196466
2034,"Offshore Wind",24.3477274178614
2034,"CSP",5.33164034165757
2034,"Utility PV",461.963376415708
2034,"Rooftop PV",74.9360194605719
2034,"Storage",-2.06880177686329
2034,"Curtailment",-15.4049664594529
2036,"Nuclear",618.408018818802
2036,"Coal",876.692499690149
2036,"Oil-Gas-Steam",0
2036,"NG-CC",1285.58140874094
2036,"NG-CT",1.83835786439665
2036,"Hydro",288.153746344444
2036,"Imports",48.528
2036,"Geothermal",27.346962143667
2036,"Biopower",38.6682070466261
2036,"Land-based Wind",516.103404722323
2036,"Offshore Wind",24.3482412030966
2036,"CSP",5.31548303868417
2036,"Utility PV",467.205695555967
2036,"Rooftop PV",81.991465053306
2036,"Storage",-2.40104378315389
2036,"Curtailment",-19.1667487770341
2038,"Nuclear",602.503110530802
2038,"Coal",842.411461887299
2038,"Oil-Gas-Steam",0
2038,"NG-CC",1329.25783612892
2038,"NG-CT",1.53314538492859
2038,"Hydro",288.514137162705
2038,"Imports",48.106
2038,"Geothermal",27.346962143667
2038,"Biopower",33.2614708918741
2038,"Land-based Wind",558.091363230297
2038,"Offshore Wind",24.3475050025563
2038,"CSP",5.31668172731793
2038,"Utility PV",487.017288819159
2038,"Rooftop PV",90.0772636203958
2038,"Storage",-2.49226021457307
2038,"Curtailment",-20.7731879426069
2040,"Nuclear",595.522579087602
2040,"Coal",785.475437662124
2040,"Oil-Gas-Steam",0
2040,"NG-CC",1345.86062430796
2040,"NG-CT",0.920557475306232
2040,"Hydro",288.55799817052
2040,"Imports",47.746
2040,"Geothermal",27.6880855903927
2040,"Biopower",26.08180906325
2040,"Land-based Wind",595.969600223041
2040,"Offshore Wind",24.3471834927511
2040,"CSP",5.32712943091854
2040,"Utility PV",550.059848877206
2040,"Rooftop PV",97.8985955954029
2040,"Storage",-2.90782685133097
2040,"Curtailment",-23.6273750881203
2042,"Nuclear",577.393197046002
2042,"Coal",709.400451536576
2042,"Oil-Gas-Steam",0
2042,"NG-CC",1416.13762176686
2042,"NG-CT",0.676114867779444
2042,"Hydro",290.186810668245
2042,"Imports",47.746
2042,"Geothermal",30.287243789138
2042,"Biopower",21.9965649890942
2042,"Land-based Wind",634.470022631242
2042,"Offshore Wind",24.3458705370319
2042,"CSP",5.29272343864085
2042,"Utility PV",578.9639149772
2042,"Rooftop PV",104.466937791818
2042,"Storage",-3.14607573873273
2042,"Curtailment",-22.6889436970877
2044,"Nuclear",542.317028096125
2044,"Coal",662.0918876258
2044,"Oil-Gas-Steam",0
2044,"NG-CC",1428.76054806675
2044,"NG-CT",0.419570596683078
2044,"Hydro",290.310223663404
2044,"Imports",47.746
2044,"Geothermal",30.287243789138
2044,"Biopower",20.5749913946231
2044,"Land-based Wind",728.33544916823
2044,"Offshore Wind",24.3439005351007
2044,"CSP",4.18154084876484
2044,"Utility PV",605.702833455433
2044,"Rooftop PV",110.180055724965
2044,"Storage",-3.69622503453503
2044,"Curtailment",-26.0955447778014
2046,"Nuclear",468.033508120249
2046,"Coal",578.568970190946
2046,"Oil-Gas-Steam",0
2046,"NG-CC",1475.93186907948
2046,"NG-CT",0.234362740195405
2046,"Hydro",290.310223663404
2046,"Imports",47.746
2046,"Geothermal",30.3653916786951
2046,"Biopower",19.7764007575949
2046,"Land-based Wind",842.090038861693
2046,"Offshore Wind",24.2300445513336
2046,"CSP",3.67568646209503
2046,"Utility PV",652.593231791534
2046,"Rooftop PV",116.123393047555
2046,"Storage",-4.36156452278643
2046,"Curtailment",-31.9736022969817
2048,"Nuclear",406.955345014183
2048,"Coal",515.889036277627
2048,"Oil-Gas-Steam",0
2048,"NG-CC",1507.81294018982
2048,"NG-CT",0.337911136689755
2048,"Hydro",290.32265830584
2048,"Imports",47.746
2048,"Geothermal",34.1167948459468
2048,"Biopower",18.680596267156
2048,"Land-based Wind",913.679272949213
2048,"Offshore Wind",24.220865604038
2048,"CSP",3.67416972746391
2048,"Utility PV",726.24918506257
2048,"Rooftop PV",120.539492105231
2048,"Storage",-5.51633288446969
2048,"Curtailment",-37.1095573154767
2050,"Nuclear",378.708133034407
2050,"Coal",463.960649986849
2050,"Oil-Gas-Steam",0
2050,"NG-CC",1513.72617334049
2050,"NG-CT",0.200615411819859
2050,"Hydro",290.359131013915
2050,"Imports",47.746
2050,"Geothermal",40.3133417098598
2050,"Biopower",18.374764016975
2050,"Land-based Wind",974.785591993346
2050,"Offshore Wind",24.2829110719554
2050,"CSP",3.65959481159992
2050,"Utility PV",794.665870219338
2050,"Rooftop PV",124.643048283891
2050,"Storage",-6.29738880514589
2050,"Curtailment",-41.6559662104052
