"time","type","value"
2010,"comp_p",48.907239011456
2012,"comp_p",33.8534512367071
2014,"comp_p",43.7418481927782
2016,"comp_p",29.028454742159
2018,"comp_p",31.9308556572101
2020,"comp_p",35.357586519256
2022,"comp_p",34.1075122939961
2024,"comp_p",34.9066170373934
2026,"comp_p",35.7616475486954
2028,"comp_p",35.2418105481666
2030,"comp_p",35.4714984652619
2032,"comp_p",35.453249755565
2034,"comp_p",35.2606828176883
2036,"comp_p",35.2412297067465
2038,"comp_p",35.3398643267857
2040,"comp_p",35.5064718106713
2042,"comp_p",35.5440229626823
2044,"comp_p",35.4098157542654
2046,"comp_p",35.8261059292146
2048,"comp_p",36.8302965053539
2050,"comp_p",36.4934366669435
