"time","type","value"
2010,"comp_p",48.8937519920329
2012,"comp_p",33.826902140491
2014,"comp_p",43.7338977805611
2016,"comp_p",29.0205789002266
2018,"comp_p",31.8396697672193
2020,"comp_p",35.7168521955927
2022,"comp_p",35.1671578148716
2024,"comp_p",36.4283536351873
2026,"comp_p",37.2841070708178
2028,"comp_p",36.9966248362045
2030,"comp_p",37.0482884443247
2032,"comp_p",36.9593610404184
2034,"comp_p",36.7691149487998
2036,"comp_p",36.6898363763409
2038,"comp_p",36.9500330415196
2040,"comp_p",37.2324425268954
2042,"comp_p",37.4069498666192
2044,"comp_p",37.7148994779321
2046,"comp_p",38.0586261204987
2048,"comp_p",39.1552373902193
2050,"comp_p",39.3113732958485
