"time","country","type","value"
2010,"USA","Gas Usage (Quads)",7.12030841250836
2010,"USA","Coal Usage (Quads)",19.5801790921485
2010,"USA","Coal Price (2016$/MMBtu)",2.5090000259545
2010,"USA","Gas Price (2016$/MMBtu)",5.58851275749779
2012,"USA","Gas Usage (Quads)",9.09476658964388
2012,"USA","Coal Usage (Quads)",14.7421612653187
2012,"USA","Coal Price (2016$/MMBtu)",2.47773313036099
2012,"USA","Gas Price (2016$/MMBtu)",3.63689117614281
2014,"USA","Gas Usage (Quads)",7.93379615285908
2014,"USA","Coal Usage (Quads)",16.891661336955
2014,"USA","Coal Price (2016$/MMBtu)",2.41461986513116
2014,"USA","Gas Price (2016$/MMBtu)",5.04340479331472
2016,"USA","Gas Usage (Quads)",10.7956156306571
2016,"USA","Coal Usage (Quads)",11.3967689778028
2016,"USA","Coal Price (2016$/MMBtu)",2.1540041874171
2016,"USA","Gas Price (2016$/MMBtu)",2.98253222442591
2018,"USA","Gas Usage (Quads)",9.6550808894389
2018,"USA","Coal Usage (Quads)",11.1964120150606
2018,"USA","Coal Price (2016$/MMBtu)",2.13716516640229
2018,"USA","Gas Price (2016$/MMBtu)",3.51732234290989
2020,"USA","Gas Usage (Quads)",9.55270759543345
2020,"USA","Coal Usage (Quads)",11.1347919675026
2020,"USA","Coal Price (2016$/MMBtu)",2.22786532005063
2020,"USA","Gas Price (2016$/MMBtu)",4.05300983362736
2022,"USA","Gas Usage (Quads)",9.55402453232509
2022,"USA","Coal Usage (Quads)",10.7202555656945
2022,"USA","Coal Price (2016$/MMBtu)",2.2278699823262
2022,"USA","Gas Price (2016$/MMBtu)",4.00903446893775
2024,"USA","Gas Usage (Quads)",9.12821424140253
2024,"USA","Coal Usage (Quads)",11.4738607991681
2024,"USA","Coal Price (2016$/MMBtu)",2.23827630706484
2024,"USA","Gas Price (2016$/MMBtu)",4.15443673401798
2026,"USA","Gas Usage (Quads)",8.83287231805049
2026,"USA","Coal Usage (Quads)",11.6317508855743
2026,"USA","Coal Price (2016$/MMBtu)",2.26839717119452
2026,"USA","Gas Price (2016$/MMBtu)",4.24455717042908
2028,"USA","Gas Usage (Quads)",8.83188654017995
2028,"USA","Coal Usage (Quads)",11.1923316924206
2028,"USA","Coal Price (2016$/MMBtu)",2.26562387637557
2028,"USA","Gas Price (2016$/MMBtu)",4.23914388522179
2030,"USA","Gas Usage (Quads)",8.83534296400211
2030,"USA","Coal Usage (Quads)",10.4195453062658
2030,"USA","Coal Price (2016$/MMBtu)",2.28527058593967
2030,"USA","Gas Price (2016$/MMBtu)",4.27311610568896
2032,"USA","Gas Usage (Quads)",9.10463163037036
2032,"USA","Coal Usage (Quads)",10.2208873202683
2032,"USA","Coal Price (2016$/MMBtu)",2.2870285363838
2032,"USA","Gas Price (2016$/MMBtu)",4.32797146471148
2034,"USA","Gas Usage (Quads)",9.3897175599824
2034,"USA","Coal Usage (Quads)",9.69880422047552
2034,"USA","Coal Price (2016$/MMBtu)",2.29485310137678
2034,"USA","Gas Price (2016$/MMBtu)",4.36493874025579
2036,"USA","Gas Usage (Quads)",9.57955826042471
2036,"USA","Coal Usage (Quads)",9.146442140114
2036,"USA","Coal Price (2016$/MMBtu)",2.30215618949064
2036,"USA","Gas Price (2016$/MMBtu)",4.48111007939521
2038,"USA","Gas Usage (Quads)",9.89465349065701
2038,"USA","Coal Usage (Quads)",8.74953856775689
2038,"USA","Coal Price (2016$/MMBtu)",2.32429607385603
2038,"USA","Gas Price (2016$/MMBtu)",4.59722098986229
2040,"USA","Gas Usage (Quads)",10.1061522979176
2040,"USA","Coal Usage (Quads)",8.25788129555092
2040,"USA","Coal Price (2016$/MMBtu)",2.34616725572983
2040,"USA","Gas Price (2016$/MMBtu)",4.68810851765956
2042,"USA","Gas Usage (Quads)",10.4980147071299
2042,"USA","Coal Usage (Quads)",7.72077315898907
2042,"USA","Coal Price (2016$/MMBtu)",2.35884227848309
2042,"USA","Gas Price (2016$/MMBtu)",4.80109183281927
2044,"USA","Gas Usage (Quads)",10.5013155667664
2044,"USA","Coal Usage (Quads)",7.20411836537779
2044,"USA","Coal Price (2016$/MMBtu)",2.36629806219762
2044,"USA","Gas Price (2016$/MMBtu)",4.89410631564808
2046,"USA","Gas Usage (Quads)",10.7392811865448
2046,"USA","Coal Usage (Quads)",6.4638046600568
2046,"USA","Coal Price (2016$/MMBtu)",2.38346911796957
2046,"USA","Gas Price (2016$/MMBtu)",4.99577039985109
2048,"USA","Gas Usage (Quads)",11.0321348174542
2048,"USA","Coal Usage (Quads)",5.74267682709948
2048,"USA","Coal Price (2016$/MMBtu)",2.38167858888859
2048,"USA","Gas Price (2016$/MMBtu)",5.16322267171734
2050,"USA","Gas Usage (Quads)",11.031188339672
2050,"USA","Coal Usage (Quads)",5.14634170789891
2050,"USA","Coal Price (2016$/MMBtu)",2.37464863639091
2050,"USA","Gas Price (2016$/MMBtu)",5.28105255237442
